# AndroidClient mimuroto
1.059848 0.128000  1.404433 0.128000 
1.404433 1.280000  3.612740 1.280000 
6.404433 2.048000  9.815226 2.048000 
11.404433 2.304000  15.311301 2.304000 
16.404433 2.304000  20.399951 2.304000 
21.404433 2.304000  25.459175 2.304000 
26.404433 2.304000  31.540206 2.304000 
31.540206 2.048000  39.374605 2.048000 
39.374605 1.792000  50.975597 1.792000 
50.975597 1.536000  59.599615 1.536000 
59.599615 1.280000  64.970751 1.280000 
64.970751 1.280000  73.299736 1.280000 
73.299736 1.024000  80.887364 1.024000 
80.887364 1.024000  85.865919 1.024000 
85.887364 1.024000  90.529010 1.024000 
90.887364 1.024000  96.707782 1.024000 
96.707782 1.024000  104.586933 1.024000 
104.586933 1.024000  112.384283 1.024000 
112.384283 1.024000  119.823738 1.024000 
119.823738 0.896000  126.800929 0.896000 
126.800929 0.896000  132.996390 0.896000 
132.996390 0.896000  139.426661 0.896000 
139.426661 0.896000  146.248894 0.896000 
146.248894 0.896000  152.695958 0.896000 
152.695958 0.896000  158.371141 0.896000 
158.371141 0.768000  164.340640 0.768000 
164.340640 0.768000  170.297258 0.768000 
170.297258 0.768000  175.756329 0.768000 
175.756329 0.768000  181.755192 0.768000 
181.755192 0.768000  187.124069 0.768000 
187.124069 0.768000  192.408387 0.768000 
192.408387 0.768000  198.423226 0.768000 
198.423226 0.768000  204.442063 0.768000 
204.442063 0.768000  210.368871 0.768000 
210.368871 0.768000  215.836787 0.768000 
215.836787 0.768000  221.339604 0.768000 
221.339604 0.768000  226.872231 0.768000 
226.872231 0.768000  232.844454 0.768000 
232.844454 0.768000  238.980764 0.768000 
238.980764 0.640000  242.979927 0.640000 
243.980764 0.640000  248.729919 0.640000 
248.980764 0.640000  253.902202 0.640000 
253.980764 0.640000  258.487113 0.640000 
258.980764 0.640000  264.480436 0.640000 
264.480436 0.640000  270.313101 0.640000 
270.313101 0.640000  275.130543 0.640000 
275.313101 0.640000  279.880179 0.640000 
280.313101 0.640000  284.725252 0.640000 
285.313101 0.640000  290.253792 0.640000 
290.313101 0.640000  294.964060 0.640000 
295.313101 0.640000  300.175819 0.640000 
300.313101 0.640000  305.374364 0.640000 
305.374364 0.640000  309.908483 0.640000 
310.374364 0.640000  314.900649 0.640000 
315.374364 0.640000  320.423020 0.640000 
320.423020 0.640000  324.788277 0.640000 
325.423020 0.640000  329.668731 0.640000 
330.423020 0.640000  334.997125 0.640000 
335.423020 0.640000  338.959910 0.640000 
340.423020 0.640000  344.907525 0.640000 
345.423020 0.640000  349.956828 0.640000 
350.423020 0.640000  354.588386 0.640000 
355.423020 0.640000  360.145994 0.640000 
360.423020 0.640000  364.604529 0.640000 
365.423020 0.640000  369.868140 0.640000 
370.423020 0.640000  374.570562 0.640000 
375.423020 0.640000  379.885745 0.640000 
380.423020 0.640000  385.606946 0.640000 
385.606946 0.640000  389.937840 0.640000 
390.606946 0.640000  395.689055 0.640000 
395.689055 0.640000  400.863184 0.640000 
400.863184 0.640000  405.701887 0.640000 
405.863184 0.640000  411.091837 0.640000 
411.091837 0.640000  415.883862 0.640000 
416.091837 0.640000  421.091643 0.640000 
421.091837 0.640000  425.629089 0.640000 
426.091837 0.640000  430.799862 0.640000 
431.091837 0.640000  436.582725 0.640000 
436.582725 0.640000  441.030993 0.640000 
441.582725 0.640000  446.375497 0.640000 
446.582725 0.640000  450.881868 0.640000 
451.582725 0.640000  456.541697 0.640000 
456.582725 0.640000  461.480750 0.640000 
461.582725 0.640000  467.166109 0.640000 
467.166109 0.640000  471.850536 0.640000 
472.166109 0.640000  477.331183 0.640000 
477.331183 0.640000  481.732528 0.640000 
482.331183 0.640000  486.939216 0.640000 
487.331183 0.640000  492.224248 0.640000 
492.331183 0.640000  497.619527 0.640000 
497.619527 0.640000  502.759492 0.640000 
502.759492 0.640000  506.262927 0.640000 
507.759492 0.640000  511.491715 0.640000 
512.759492 0.640000  515.971480 0.640000 
517.759492 0.640000  521.745444 0.640000 
522.759492 0.640000  526.931004 0.640000 
527.759492 0.640000  531.481299 0.640000 
532.759492 0.640000  536.366591 0.640000 
537.759492 0.640000  540.914299 0.640000 
542.759492 0.640000  547.588109 0.640000 
547.759492 0.640000  554.143440 0.640000 
554.143440 0.512000  558.861506 0.512000 
559.143440 0.512000  561.886269 0.512000 
564.143440 0.512000  566.223430 0.512000 
569.143440 0.512000  570.615896 0.512000 
574.143440 0.512000  575.272855 0.512000 
579.143440 0.512000  579.940077 0.512000 
584.143440 0.512000  584.930174 0.512000 
589.143440 0.512000  589.939783 0.512000 
594.143440 0.512000  594.934483 0.512000 
599.143440 0.512000  599.942418 0.512000 
604.143440 0.512000  604.942142 0.512000 
609.143440 0.512000  609.934528 0.512000 
614.143440 0.512000  614.926615 0.512000 
619.143440 0.512000  619.934430 0.512000 
624.143440 0.512000  624.942909 0.512000 
629.143440 0.512000  629.943126 0.512000 
634.143440 0.512000  634.947007 0.512000 
639.143440 0.512000  639.948356 0.512000 
644.143440 0.512000  644.963595 0.512000 
649.143440 0.512000  649.963553 0.512000 
654.143440 0.512000  654.951960 0.512000 
659.143440 0.512000  659.956737 0.512000 
664.143440 0.512000  664.963162 0.512000 
669.143440 0.512000  669.958742 0.512000 
674.143440 0.512000  674.933659 0.512000 
679.143440 0.640000  680.145527 0.640000 
684.143440 0.640000  685.133293 0.640000 
689.143440 0.640000  690.151398 0.640000 
694.143440 0.640000  695.115159 0.640000 
699.143440 0.640000  700.137183 0.640000 
704.143440 0.640000  705.161321 0.640000 
709.143440 0.640000  710.134032 0.640000 
714.143440 0.640000  715.134312 0.640000 
719.143440 0.640000  720.173858 0.640000 
724.143440 0.640000  725.181704 0.640000 
729.143440 0.640000  730.181505 0.640000 
734.143440 0.640000  735.196441 0.640000 
739.143440 0.640000  740.173276 0.640000 
744.143440 0.640000  745.199543 0.640000 
749.143440 0.640000  750.189799 0.640000 
754.143440 0.640000  755.303609 0.640000 
759.143440 0.768000  760.614192 0.768000 
764.143440 0.768000  765.738950 0.768000 
769.143440 0.768000  770.854821 0.768000 
774.143440 0.768000  775.914929 0.768000 
779.143440 0.768000  780.929830 0.768000 
784.143440 0.768000  785.904758 0.768000 
789.143440 0.768000  790.908771 0.768000 
794.143440 0.768000  795.924250 0.768000 
799.143440 0.768000  800.916715 0.768000 
804.143440 0.768000  805.933191 0.768000 
809.143440 0.768000  810.913988 0.768000 
814.143440 0.768000  815.909116 0.768000 
819.143440 0.896000  821.217101 0.896000 
824.143440 0.896000  826.216460 0.896000 
829.143440 0.896000  831.203470 0.896000 
834.143440 0.896000  836.218968 0.896000 
839.143440 0.896000  841.218543 0.896000 
844.143440 0.896000  846.214551 0.896000 
849.143440 0.896000  851.221854 0.896000 
854.143440 0.896000  856.237769 0.896000 
859.143440 0.896000  861.222670 0.896000 
864.143440 0.896000  866.227359 0.896000 
869.143440 0.896000  871.237937 0.896000 
874.143440 1.024000  876.496038 1.024000 
879.143440 1.024000  881.504801 1.024000 
884.143440 1.024000  886.501538 1.024000 
889.143440 1.024000  891.530856 1.024000 
894.143440 1.024000  896.515421 1.024000 
899.143440 1.024000  900.229668 1.024000 
904.143440 1.024000  905.006075 1.024000 
909.143440 1.024000  909.995903 1.024000 
914.143440 1.024000  914.982205 1.024000 
919.143440 1.024000  920.008653 1.024000 
924.143440 1.024000  924.997053 1.024000 
929.143440 1.280000  929.634204 1.280000 
934.143440 1.280000  934.654209 1.280000 
939.143440 1.280000  939.648107 1.280000 
944.143440 1.280000  944.637662 1.280000 
