# AIMDClient mimuroto
1.206765 0.128000  1.557965 0.128000 
1.557965 0.256000  2.144867 0.256000 
6.557965 0.384000  7.439827 0.384000 
11.557965 0.512000  12.728157 0.512000 
16.557965 0.640000  18.008647 0.640000 
21.557965 0.768000  23.309808 0.768000 
26.557965 0.896000  28.638225 0.896000 
31.557965 1.024000  34.631472 1.024000 
36.557965 1.024000  39.831123 1.024000 
41.557965 1.024000  44.195843 1.024000 
46.557965 1.024000  49.457292 1.024000 
51.557965 1.024000  54.315289 1.024000 
56.557965 1.024000  59.009577 1.024000 
61.557965 1.280000  65.549150 1.280000 
66.557965 1.280000  70.520904 1.280000 
71.557965 1.280000  74.661321 1.280000 
76.557965 1.280000  79.901700 1.280000 
81.557965 1.280000  84.558573 1.280000 
86.557965 1.280000  90.717449 1.280000 
91.557965 1.280000  95.669775 1.280000 
96.557965 1.280000  100.326854 1.280000 
101.557965 1.280000  104.945582 1.280000 
106.557965 1.280000  109.738812 1.280000 
111.557965 1.280000  114.760076 1.280000 
116.557965 1.280000  119.791590 1.280000 
121.557965 1.280000  124.744817 1.280000 
126.557965 1.280000  129.896625 1.280000 
131.557965 1.280000  135.026834 1.280000 
136.557965 1.280000  139.851596 1.280000 
141.557965 1.280000  144.943542 1.280000 
146.557965 1.280000  149.905953 1.280000 
151.557965 1.280000  155.012520 1.280000 
156.557965 1.280000  159.825100 1.280000 
161.557965 1.280000  164.840603 1.280000 
166.557965 1.280000  169.811678 1.280000 
171.557965 1.280000  174.641017 1.280000 
176.557965 1.280000  179.953789 1.280000 
181.557965 1.280000  184.752349 1.280000 
186.557965 1.280000  189.873094 1.280000 
191.557965 1.280000  194.858441 1.280000 
196.557965 1.280000  199.883004 1.280000 
201.557965 1.280000  204.360287 1.280000 
206.557965 1.280000  209.492322 1.280000 
211.557965 1.280000  214.973636 1.280000 
216.557965 1.280000  220.045365 1.280000 
221.557965 1.280000  225.139066 1.280000 
226.557965 1.280000  229.873604 1.280000 
231.557965 1.280000  234.881139 1.280000 
236.557965 1.280000  239.998098 1.280000 
241.557965 1.280000  244.455895 1.280000 
246.557965 1.280000  249.513294 1.280000 
251.557965 1.280000  254.754425 1.280000 
256.557965 1.280000  259.778087 1.280000 
261.557965 1.280000  264.814826 1.280000 
266.557965 1.280000  269.793070 1.280000 
271.557965 1.280000  274.672670 1.280000 
276.557965 1.280000  279.901817 1.280000 
281.557965 1.280000  284.760797 1.280000 
286.557965 1.280000  289.743799 1.280000 
291.557965 1.280000  294.661791 1.280000 
296.557965 1.280000  299.279460 1.280000 
301.557965 1.280000  304.596769 1.280000 
306.557965 1.280000  309.853630 1.280000 
311.557965 1.280000  314.828982 1.280000 
316.557965 1.280000  319.557144 1.280000 
321.557965 1.280000  324.832249 1.280000 
326.557965 1.280000  329.732933 1.280000 
331.557965 1.280000  334.748044 1.280000 
336.557965 1.280000  339.672146 1.280000 
341.557965 1.280000  344.843415 1.280000 
346.557965 1.280000  349.771829 1.280000 
351.557965 1.280000  354.807021 1.280000 
356.557965 1.280000  359.409228 1.280000 
361.557965 1.280000  364.763330 1.280000 
366.557965 1.280000  369.889050 1.280000 
371.557965 1.280000  374.615851 1.280000 
