# VLDDashClient mimuroto
1.093193 0.128000  1.432964 0.128000 
1.432964 1.792000  4.041482 1.792000 
6.432964 3.072000  10.690323 3.072000 
11.432964 3.328000  16.190755 3.328000 
16.432964 3.328000  21.280778 3.328000 
21.432964 3.328000  26.331787 3.328000 
26.432964 3.328000  33.549044 3.328000 
33.549044 3.072000  40.937968 3.072000 
40.937968 2.816000  46.193514 2.816000 
46.193514 2.816000  51.495184 2.816000 
51.495184 2.816000  56.681551 2.816000 
56.681551 2.816000  62.028978 2.816000 
62.028978 2.816000  70.611554 2.816000 
70.611554 2.560000  75.774505 2.560000 
75.774505 2.560000  80.938721 2.560000 
80.938721 2.560000  85.842283 2.560000 
85.938721 2.560000  92.412658 2.560000 
92.412658 2.560000  100.083974 2.560000 
100.083974 2.304000  105.366417 2.304000 
105.366417 2.304000  110.199343 2.304000 
110.366417 2.304000  115.388503 2.304000 
115.388503 2.304000  120.329361 2.304000 
120.388503 2.304000  125.397497 2.304000 
125.397497 2.304000  130.758790 2.304000 
130.758790 2.304000  136.159328 2.304000 
136.159328 2.304000  141.104580 2.304000 
141.159328 2.304000  146.206214 2.304000 
146.206214 2.304000  151.205779 2.304000 
151.206214 2.304000  156.652367 2.304000 
156.652367 2.304000  161.704430 2.304000 
161.704430 2.304000  166.986612 2.304000 
166.986612 2.304000  171.853034 2.304000 
171.986612 2.304000  177.470731 2.304000 
177.470731 2.304000  182.378104 2.304000 
182.470731 2.304000  187.577162 2.304000 
187.577162 2.304000  192.872023 2.304000 
192.872023 2.304000  198.258103 2.304000 
198.258103 2.304000  202.857921 2.304000 
203.258103 2.304000  207.785883 2.304000 
208.258103 2.304000  213.732177 2.304000 
213.732177 2.304000  218.715526 2.304000 
218.732177 2.304000  224.350220 2.304000 
224.350220 2.304000  229.881173 2.304000 
229.881173 2.304000  235.196044 2.304000 
235.196044 2.304000  240.164055 2.304000 
240.196044 2.304000  244.916217 2.304000 
245.196044 2.304000  249.685086 2.304000 
250.196044 2.304000  254.859281 2.304000 
255.196044 2.304000  259.879279 2.304000 
260.196044 2.304000  264.914748 2.304000 
265.196044 2.304000  269.779525 2.304000 
270.196044 2.304000  274.281285 2.304000 
275.196044 2.304000  279.527975 2.304000 
280.196044 2.304000  284.585636 2.304000 
285.196044 2.304000  289.333384 2.304000 
290.196044 2.304000  294.509541 2.304000 
295.196044 2.304000  298.795175 2.304000 
300.196044 2.304000  304.368829 2.304000 
305.196044 2.304000  309.867127 2.304000 
310.196044 2.304000  314.532471 2.304000 
315.196044 2.304000  319.328782 2.304000 
320.196044 2.304000  324.777160 2.304000 
325.196044 2.304000  328.937534 2.304000 
330.196044 2.304000  334.351735 2.304000 
335.196044 2.304000  339.578310 2.304000 
340.196044 2.304000  344.583633 2.304000 
345.196044 2.304000  349.641515 2.304000 
350.196044 2.304000  354.783307 2.304000 
355.196044 2.304000  359.053926 2.304000 
360.196044 2.304000  364.614076 2.304000 
365.196044 2.304000  369.634885 2.304000 
370.196044 2.304000  374.767460 2.304000 
375.196044 2.304000  379.479747 2.304000 
380.196044 2.304000  384.551614 2.304000 
385.196044 2.304000  390.142361 2.304000 
390.196044 2.304000  394.895002 2.304000 
395.196044 2.304000  400.116350 2.304000 
400.196044 2.304000  405.490639 2.304000 
405.490639 2.304000  410.518170 2.304000 
410.518170 2.304000  415.804351 2.304000 
415.804351 2.304000  420.957229 2.304000 
420.957229 2.304000  426.236520 2.304000 
426.236520 2.304000  431.404669 2.304000 
431.404669 2.304000  436.605987 2.304000 
436.605987 2.304000  441.799974 2.304000 
441.799974 2.304000  446.896593 2.304000 
446.896593 2.304000  452.041756 2.304000 
452.041756 2.304000  457.222925 2.304000 
457.222925 2.304000  462.234386 2.304000 
462.234386 2.304000  466.941681 2.304000 
467.234386 2.304000  472.028540 2.304000 
472.234386 2.304000  476.877931 2.304000 
477.234386 2.304000  481.771155 2.304000 
482.234386 2.304000  486.875975 2.304000 
487.234386 2.304000  492.452009 2.304000 
492.452009 2.304000  497.627206 2.304000 
497.627206 2.304000  502.962872 2.304000 
502.962872 2.304000  509.163200 2.304000 
509.163200 2.304000  513.984121 2.304000 
514.163200 2.304000  517.782781 2.304000 
519.163200 2.304000  521.744056 2.304000 
524.163200 2.304000  526.496696 2.304000 
529.163200 2.304000  532.368240 2.304000 
534.163200 2.304000  539.231621 2.304000 
539.231621 2.304000  544.250955 2.304000 
544.250955 2.304000  549.772234 2.304000 
549.772234 2.304000  555.315399 2.304000 
555.315399 2.304000  561.265520 2.304000 
561.265520 2.304000  566.376163 2.304000 
566.376163 2.304000  570.934153 2.304000 
571.376163 2.304000  574.960098 2.304000 
576.376163 2.304000  578.507407 2.304000 
581.376163 2.304000  582.894710 2.304000 
586.376163 2.304000  587.936818 2.304000 
591.376163 2.304000  592.881037 2.304000 
596.376163 2.304000  597.916179 2.304000 
601.376163 2.304000  602.929729 2.304000 
606.376163 2.304000  607.958873 2.304000 
611.376163 2.304000  612.948653 2.304000 
616.376163 2.304000  617.946335 2.304000 
621.376163 2.304000  622.923323 2.304000 
626.376163 2.560000  628.222814 2.560000 
631.376163 2.560000  633.234148 2.560000 
636.376163 2.560000  638.206576 2.560000 
641.376163 2.560000  643.237966 2.560000 
646.376163 2.560000  648.255626 2.560000 
651.376163 2.560000  653.233118 2.560000 
656.376163 2.560000  658.236632 2.560000 
661.376163 2.560000  663.249003 2.560000 
666.376163 2.560000  668.241095 2.560000 
671.376163 2.560000  673.194121 2.560000 
676.376163 2.560000  678.192849 2.560000 
681.376163 2.560000  683.232231 2.560000 
686.376163 2.560000  688.213869 2.560000 
691.376163 2.560000  693.198410 2.560000 
696.376163 2.560000  698.210432 2.560000 
701.376163 2.560000  703.249033 2.560000 
706.376163 2.560000  708.188857 2.560000 
711.376163 2.560000  713.210158 2.560000 
716.376163 2.816000  718.685117 2.816000 
721.376163 2.816000  723.706264 2.816000 
