#play delay
11.271724 0.000000
21.316857 0.045133
26.436577 0.119720
34.802569 3.365992
42.442836 2.640267
48.510162 1.067326
54.663554 1.153392
66.316794 1.653240
73.629441 2.312647
78.700057 0.070616
88.902114 0.202057
96.217829 2.315715
102.760797 1.542968
108.512393 0.751596
113.853188 0.340795
119.662972 0.809784
124.969290 0.306318
130.767741 0.798451
136.172022 0.404281
146.220350 0.048328
151.225392 0.005042
156.674511 0.449119
161.719535 0.045024
166.999868 0.280333
177.494458 0.494590
187.578214 0.083756
192.874512 0.296298
198.260763 0.386251
213.734277 0.473514
224.353432 0.619155
229.883743 0.530311
235.199297 0.315554
405.549378 0.350081
415.845139 0.295761
421.004965 0.159826
426.290932 0.285967
431.595909 0.304977
436.689630 0.093721
441.920584 0.230954
447.053225 0.132641
452.106785 0.053560
457.290421 0.183636
462.349925 0.059504
492.589511 0.239586
497.801345 0.211834
503.209486 0.408141
509.396981 1.187495
539.576779 0.179798
544.609776 0.032997
550.066226 0.456450
555.618662 0.552436
561.618749 1.000087
566.637211 0.018462
786.866762 0.229551
792.127864 0.261102
797.466142 0.338278
802.730505 0.264363
808.042289 0.311784
813.227333 0.185044
818.449260 0.221927
823.931253 0.481993
829.443057 0.511804
835.016547 0.573490
840.581331 0.564784
846.164395 0.583064
851.674891 0.510496
857.184179 0.509288
862.562508 0.378329
