# AndroidClient mimuroto
1.005263 0.128000  1.089551 0.128000 
1.139551 5.120000  2.603494 5.120000 
2.603494 5.120000  4.076193 5.120000 
4.076193 5.120000  5.553812 5.120000 
6.139551 5.120000  7.622474 5.120000 
11.139551 5.120000  12.621851 5.120000 
16.139551 5.120000  17.620338 5.120000 
21.139551 5.120000  22.611715 5.120000 
26.139551 5.120000  27.611842 5.120000 
31.139551 5.120000  33.158189 5.120000 
36.139551 5.120000  38.999037 5.120000 
41.139551 5.120000  43.073116 5.120000 
46.139551 5.120000  48.091231 5.120000 
51.139551 5.120000  53.040774 5.120000 
56.139551 5.120000  58.112508 5.120000 
61.139551 5.120000  63.076219 5.120000 
66.139551 5.120000  69.953210 5.120000 
71.139551 5.120000  74.925977 5.120000 
76.139551 5.120000  80.013440 5.120000 
81.139551 5.120000  84.760738 5.120000 
86.139551 5.120000  89.445251 5.120000 
91.139551 5.120000  93.064273 5.120000 
96.139551 5.120000  101.123246 5.120000 
101.139551 5.120000  106.142962 5.120000 
106.142962 5.120000  111.894834 5.120000 
111.894834 5.120000  117.290487 5.120000 
117.290487 5.120000  122.770937 5.120000 
122.770937 5.120000  129.295736 5.120000 
129.295736 5.120000  136.454694 5.120000 
136.454694 5.120000  143.625628 5.120000 
143.625628 5.120000  150.827065 5.120000 
150.827065 5.120000  155.982159 3.584000 
155.982159 5.120000  161.591710 3.328000 
161.641710 5.120000  165.988942 2.560000 
165.988942 5.120000  170.404923 2.560000 
170.404923 5.120000  174.667275 2.560000 
174.667275 5.120000  178.953053 2.560000 
178.953053 5.120000  183.356593 2.560000 
183.356593 5.120000  187.688458 2.560000 
187.688458 5.120000  191.906830 2.560000 
191.906830 5.120000  196.320367 2.560000 
196.320367 5.120000  200.663443 2.560000 
200.663443 5.120000  205.052775 2.560000 
205.052775 5.120000  209.450948 2.560000 
209.450948 5.120000  213.773421 2.560000 
213.773421 5.120000  218.100043 2.560000 
218.100043 5.120000  222.470746 2.560000 
222.470746 5.120000  226.743049 2.560000 
226.743049 5.120000  231.045732 2.560000 
231.641710 5.120000  235.907929 2.560000 
236.641710 5.120000  240.693715 2.560000 
241.641710 5.120000  245.754145 2.560000 
246.641710 5.120000  250.748706 2.560000 
251.641710 5.120000  255.824789 2.560000 
256.641710 5.120000  260.835887 2.560000 
261.641710 5.120000  265.746897 2.560000 
266.641710 5.120000  270.734740 2.560000 
271.641710 5.120000  275.810815 2.560000 
276.641710 5.120000  280.878823 2.560000 
281.641710 4.864000  285.791319 2.560000 
286.641710 4.864000  290.804140 2.560000 
291.641710 4.864000  295.608935 2.560000 
296.641710 4.864000  300.560322 2.560000 
301.641710 4.864000  305.558052 2.560000 
306.641710 4.864000  310.499897 2.560000 
311.641710 4.864000  315.220358 2.560000 
316.641710 4.864000  320.529718 2.560000 
321.641710 4.864000  324.829150 2.560000 
326.641710 4.608000  330.493580 2.560000 
331.641710 4.608000  334.138632 2.560000 
336.641710 4.608000  340.042792 2.560000 
341.641710 4.608000  343.305942 2.560000 
346.641710 4.608000  349.552693 2.560000 
351.641710 4.608000  353.228697 2.560000 
356.641710 4.608000  360.003627 2.560000 
361.641710 4.608000  364.062941 2.560000 
366.641710 4.608000  370.450784 2.560000 
371.641710 4.608000  374.757588 2.560000 
376.641710 4.608000  380.612553 2.560000 
381.641710 4.608000  385.442734 2.560000 
386.641710 4.608000  390.694924 2.560000 
391.641710 4.608000  395.450494 2.560000 
396.641710 4.608000  400.734105 2.560000 
401.641710 4.608000  405.568592 2.560000 
