# AndroidClient simpson
94.009614 0.100000  94.181552 0.100000 
94.231552 4.000000  101.200344 4.000000 
101.200344 4.000000  109.581754 4.000000 
109.581754 4.000000  118.257432 4.000000 
118.257432 4.000000  127.369215 4.000000 
127.369215 4.000000  138.677956 4.000000 
138.677956 4.000000  149.962649 4.000000 
149.962649 4.000000  162.295429 4.000000 
162.295429 4.000000  173.670497 3.400000 
173.670497 3.900000  184.003273 3.100000 
184.003273 3.800000  193.196214 2.700000 
193.196214 3.700000  202.301445 2.700000 
202.301445 3.600000  211.385674 2.700000 
211.385674 3.600000  220.516217 2.700000 
220.516217 3.500000  229.606389 2.700000 
229.606389 3.500000  238.540682 2.700000 
238.540682 3.500000  247.095472 2.700000 
247.095472 3.400000  255.723538 2.700000 
255.723538 3.400000  264.441668 2.700000 
264.441668 3.400000  272.767681 2.700000 
272.767681 3.400000  281.314686 2.700000 
281.314686 3.400000  289.994117 2.700000 
289.994117 3.400000  297.744609 2.700000 
297.744609 3.400000  305.588744 2.700000 
305.588744 3.400000  313.018550 2.700000 
314.231552 3.400000  321.423921 2.700000 
324.231552 3.400000  331.005074 2.700000 
334.231552 3.400000  339.945129 2.700000 
344.231552 3.400000  349.076500 2.700000 
354.231552 3.500000  361.268698 3.500000 
364.231552 3.500000  372.740055 3.500000 
374.231552 3.500000  384.177843 3.500000 
384.231552 3.500000  394.854691 3.500000 
394.854691 3.500000  405.601366 3.500000 
405.601366 3.500000  416.197237 3.500000 
416.197237 3.500000  426.988822 3.500000 
426.988822 3.500000  437.643718 3.500000 
437.643718 3.500000  448.451638 3.500000 
448.451638 3.500000  459.270784 3.500000 
459.270784 3.500000  470.030381 3.500000 
470.030381 3.500000  480.691794 3.500000 
480.691794 3.400000  491.103854 3.400000 
491.103854 3.400000  501.428366 3.400000 
501.428366 3.400000  511.680778 3.400000 
511.680778 3.400000  521.861786 3.400000 
521.861786 3.400000  532.150680 3.400000 
532.150680 3.400000  542.357719 3.400000 
542.357719 3.400000  552.660194 3.400000 
552.660194 3.400000  562.815567 3.400000 
562.815567 3.400000  572.681032 3.400000 
572.681032 3.400000  582.189821 3.400000 
582.189821 3.400000  591.951299 3.400000 
591.951299 3.400000  601.728129 3.400000 
601.728129 3.400000  611.662997 3.400000 
611.662997 3.400000  621.588465 3.400000 
621.588465 3.400000  631.453655 3.400000 
631.453655 3.400000  641.482773 3.400000 
641.482773 3.400000  651.534303 3.400000 
651.534303 3.400000  661.383540 3.400000 
661.383540 3.400000  671.444380 3.400000 
671.444380 3.400000  681.409964 3.400000 
681.409964 3.400000  691.512961 3.400000 
691.512961 3.400000  701.443361 3.400000 
701.443361 3.400000  711.592344 3.400000 
711.592344 3.400000  722.403286 3.400000 
722.403286 3.400000  733.155000 3.400000 
733.155000 3.400000  744.116812 3.400000 
744.116812 3.400000  754.931989 3.400000 
754.931989 3.400000  765.991790 3.400000 
765.991790 3.400000  777.052938 3.400000 
777.052938 3.400000  787.966638 3.400000 
787.966638 3.400000  798.965328 3.400000 
798.965328 3.400000  809.743566 3.400000 
809.743566 3.400000  820.643757 3.400000 
820.643757 3.400000  831.705482 3.400000 
831.705482 3.300000  842.246794 3.300000 
842.246794 3.300000  852.917673 3.300000 
852.917673 3.300000  862.658662 3.000000 
862.658662 3.300000  872.309166 3.000000 
872.309166 3.300000  881.940186 3.000000 
881.940186 3.300000  891.662337 3.000000 
891.662337 3.300000  899.134306 3.000000 
899.134306 3.300000  904.319790 3.000000 
904.319790 3.300000  909.913917 3.000000 
909.913917 3.400000  914.781860 3.400000 
914.781860 3.400000  919.634754 3.400000 
924.231552 3.400000  929.027987 3.400000 
934.231552 3.400000  937.508395 3.400000 
944.231552 3.500000  947.641431 3.500000 
954.231552 3.500000  957.646567 3.500000 
