# VLDDashClient mimuroto
156.010875 0.128000  156.230777 0.128000 
156.280777 2.816000  161.035514 2.816000 
161.035514 2.816000  165.840655 2.816000 
165.840655 2.816000  170.611865 2.816000 
170.611865 2.816000  175.453949 2.816000 
175.453949 2.816000  180.276728 2.816000 
180.276728 2.816000  185.094482 2.816000 
185.094482 2.816000  189.820644 2.816000 
189.820644 2.816000  194.518285 2.816000 
194.518285 2.816000  199.315393 2.816000 
199.315393 2.816000  204.039809 2.816000 
204.039809 2.816000  208.749299 2.816000 
208.749299 2.816000  213.540105 2.816000 
213.540105 2.816000  218.349553 2.816000 
218.349553 2.816000  223.037333 2.816000 
223.037333 2.816000  227.787972 2.816000 
227.787972 2.816000  232.421206 2.816000 
232.421206 2.816000  237.093870 2.816000 
237.093870 2.816000  241.513710 2.816000 
241.513710 2.816000  245.983498 2.816000 
245.983498 2.816000  250.460388 2.816000 
250.460388 2.816000  254.948067 2.816000 
254.948067 2.816000  259.465479 2.816000 
259.465479 2.816000  263.998863 2.816000 
263.998863 2.816000  268.387364 2.816000 
268.387364 2.816000  272.763325 2.816000 
272.763325 2.816000  277.197899 2.816000 
277.197899 2.816000  281.664205 2.816000 
281.664205 2.816000  286.180168 2.816000 
286.280777 2.816000  290.730853 2.816000 
291.280777 2.816000  295.547910 2.816000 
296.280777 2.816000  300.435664 2.816000 
301.280777 2.816000  305.507854 2.816000 
306.280777 2.816000  310.357792 2.816000 
311.280777 3.072000  315.215266 2.816000 
316.280777 3.072000  320.369103 2.816000 
321.280777 3.072000  324.781924 2.816000 
326.280777 3.072000  330.359821 2.816000 
331.280777 3.072000  333.780071 2.816000 
336.280777 3.072000  340.036950 2.816000 
341.280777 3.072000  342.695563 2.816000 
346.280777 3.072000  349.473328 2.816000 
351.280777 3.072000  352.676997 2.816000 
356.280777 3.072000  359.910524 2.816000 
361.280777 3.072000  363.972146 2.816000 
366.280777 3.328000  370.796966 3.328000 
371.280777 3.328000  375.363460 3.328000 
376.280777 3.328000  381.396692 3.328000 
381.396692 3.328000  386.137603 3.328000 
386.280777 3.328000  391.551513 3.328000 
391.551513 3.328000  396.374529 3.328000 
396.374529 3.328000  401.576122 3.328000 
401.576122 3.328000  406.454763 3.328000 
406.454763 3.328000  411.714184 3.328000 
411.714184 3.328000  416.537229 3.328000 
416.537229 3.328000  421.809632 3.328000 
421.809632 3.328000  426.727056 3.328000 
426.727056 3.328000  431.897915 3.328000 
431.897915 3.328000  436.801401 3.328000 
436.801401 3.328000  442.042657 3.328000 
442.042657 3.328000  446.935115 3.328000 
446.935115 3.328000  452.038946 3.328000 
452.038946 3.328000  457.090447 3.328000 
457.090447 3.328000  462.253615 3.328000 
462.253615 3.328000  467.221243 3.328000 
467.221243 3.328000  472.372316 3.328000 
472.372316 3.328000  477.433714 3.328000 
477.433714 3.328000  482.592366 3.328000 
482.592366 3.328000  487.685077 3.328000 
487.685077 3.328000  492.788658 3.328000 
492.788658 3.328000  497.783920 3.328000 
497.783920 3.328000  503.042961 3.328000 
503.042961 3.328000  508.142885 3.328000 
508.142885 3.328000  513.190826 3.328000 
513.190826 3.328000  518.439900 3.328000 
518.439900 3.328000  523.413924 3.328000 
523.413924 3.328000  528.706360 3.328000 
528.706360 3.072000  533.293820 3.072000 
533.293820 3.328000  538.110159 3.072000 
538.110159 3.072000  542.733254 3.072000 
542.733254 3.072000  547.272189 3.072000 
547.272189 3.072000  552.057647 3.072000 
552.057647 3.072000  556.568370 3.072000 
556.568370 3.072000  561.358300 3.072000 
561.358300 3.072000  565.940531 3.072000 
566.280777 3.072000  570.960596 3.072000 
571.280777 3.072000  575.545173 3.072000 
576.280777 3.072000  580.850565 3.072000 
581.280777 3.328000  585.773293 3.328000 
586.280777 3.328000  591.230955 3.328000 
591.280777 3.328000  595.866760 3.328000 
596.280777 3.328000  601.363273 3.328000 
601.363273 3.328000  606.066458 3.328000 
606.280777 3.328000  611.350163 3.328000 
611.350163 3.328000  615.924813 3.328000 
616.280777 3.328000  621.377750 3.328000 
621.377750 3.328000  625.995299 3.328000 
626.280777 3.328000  631.354497 3.328000 
631.354497 3.328000  636.110029 3.328000 
636.280777 3.328000  641.413157 3.328000 
