# AndroidClient simpson
0 63.197665
1 73.197665
2 83.197665
3 93.197665
4 103.197665
5 113.197665
6 123.197665
7 133.197665
8 143.197665
9 153.197665
10 163.197665
11 173.197665
12 183.197665
13 193.197665
14 203.197665
15 213.197665
16 223.197665
17 233.197665
18 243.197665
19 253.197665
20 263.197665
21 273.197665
22 283.197665
23 293.197665
24 303.197665
25 313.197665
26 323.197665
27 333.197665
28 343.197665
29 353.197665
30 363.197665
31 373.197665
32 383.197665
33 393.197665
34 403.197665
35 413.197665
36 423.197665
37 433.197665
38 443.197665
39 453.197665
40 463.197665
41 473.197665
42 483.197665
43 493.197665
44 503.197665
45 513.197665
46 523.197665
47 533.197665
48 543.197665
49 553.197665
50 563.197665
51 573.197665
52 583.197665
53 593.197665
54 603.197665
55 613.197665
56 623.197665
57 633.197665
58 643.197665
59 653.197665
60 663.197665
61 673.197665
62 683.197665
63 693.197665
64 703.197665
65 713.197665
66 723.197665
67 733.197665
68 743.197665
69 753.197665
70 763.197665
71 773.197665
72 783.197665
73 793.197665
74 803.197665
75 813.197665
76 823.197665
77 833.197665
78 843.197665
79 853.197665
80 863.197665
81 873.197665
82 883.197665
83 893.197665
84 903.197665
85 913.197665
86 923.197665
87 933.197665
88 943.197665
89 953.197665
