# VLDDashClient mimuroto
1.066857 0.128000  1.192493 0.128000 
1.192493 4.864000  11.278660 4.864000 
11.278660 2.304000  15.019062 2.304000 
15.019062 2.560000  21.233469 2.560000 
25.019062 2.304000  29.087056 2.304000 
30.019062 2.304000  34.396032 2.304000 
35.019062 2.304000  40.127936 2.304000 
45.019062 2.304000  49.196380 2.304000 
50.019062 2.304000  54.933183 2.304000 
55.019062 2.304000  58.975351 2.304000 
60.019062 2.304000  61.742938 2.304000 
65.019062 2.560000  68.353677 2.560000 
70.019062 2.560000  74.847156 2.560000 
75.019062 2.560000  79.107894 2.560000 
80.019062 2.560000  81.288442 2.560000 
85.019062 2.816000  90.061132 2.816000 
90.061132 2.816000  95.200539 2.816000 
95.200539 2.816000  96.475599 2.816000 
100.200539 2.816000  105.449418 2.816000 
105.449418 2.816000  111.172038 2.816000 
111.172038 2.816000  115.801497 2.816000 
116.172038 2.816000  122.904732 2.816000 
122.904732 2.816000  129.860461 2.816000 
129.860461 2.816000  136.815901 2.816000 
136.815901 2.560000  142.680750 2.560000 
142.680750 2.560000  148.607895 2.560000 
148.607895 2.560000  154.663462 2.560000 
154.663462 2.560000  160.838170 2.560000 
160.838170 2.560000  167.021427 2.560000 
167.021427 2.560000  173.376690 2.560000 
173.376690 2.560000  179.739381 2.560000 
179.739381 2.560000  186.100833 2.560000 
186.100833 2.560000  192.522709 2.560000 
192.522709 2.304000  197.812382 2.304000 
197.812382 2.304000  203.092002 2.304000 
203.092002 2.304000  208.337834 2.304000 
208.337834 2.304000  213.584825 2.304000 
213.584825 2.304000  218.839397 2.304000 
218.839397 2.304000  224.092529 2.304000 
224.092529 2.304000  229.356358 2.304000 
229.356358 2.304000  234.638671 2.304000 
234.638671 2.304000  239.916232 2.304000 
239.916232 2.304000  245.201661 2.304000 
245.201661 2.304000  250.506619 2.304000 
250.506619 2.304000  255.773854 2.304000 
255.773854 2.304000  261.104782 2.304000 
261.104782 2.304000  266.478425 2.304000 
266.478425 2.304000  271.785942 2.304000 
271.785942 2.304000  277.081101 2.304000 
277.081101 2.304000  282.397796 2.304000 
282.397796 2.304000  287.764014 2.304000 
287.764014 2.304000  293.079096 2.304000 
293.079096 2.304000  298.395959 2.304000 
298.395959 2.304000  303.730845 2.304000 
303.730845 2.304000  309.063912 2.304000 
309.063912 2.304000  314.417501 2.304000 
314.417501 2.304000  319.757054 2.304000 
319.757054 2.304000  325.096347 2.304000 
325.096347 2.304000  330.433035 2.304000 
330.433035 2.304000  335.765673 2.304000 
335.765673 2.304000  341.080384 2.304000 
341.080384 2.304000  346.399399 2.304000 
346.399399 2.304000  351.684752 2.304000 
351.684752 2.304000  357.012170 2.304000 
357.012170 2.304000  362.385842 2.304000 
362.385842 2.304000  367.709842 2.304000 
367.709842 2.304000  373.047449 2.304000 
373.047449 2.304000  378.358091 2.304000 
378.358091 2.304000  383.685188 2.304000 
383.685188 2.304000  388.952000 2.304000 
388.952000 2.304000  394.315448 2.304000 
394.315448 2.304000  399.636160 2.304000 
399.636160 2.304000  404.910012 2.304000 
404.910012 2.304000  410.109858 2.304000 
410.109858 2.304000  415.431142 2.304000 
415.431142 2.304000  420.699871 2.304000 
420.699871 2.304000  426.137408 2.304000 
426.137408 2.304000  431.264725 2.304000 
431.264725 2.304000  436.631813 2.304000 
436.631813 2.304000  441.621101 2.304000 
441.631813 2.304000  447.029725 2.304000 
447.029725 2.304000  452.054977 2.304000 
452.054977 2.304000  457.316454 2.304000 
457.316454 2.304000  462.603348 2.304000 
462.603348 2.304000  467.536039 2.304000 
467.603348 2.304000  472.833124 2.304000 
472.833124 2.304000  478.006395 2.304000 
478.006395 2.304000  483.314573 2.304000 
483.314573 2.304000  488.038617 2.304000 
488.314573 2.304000  493.639247 2.304000 
493.639247 2.304000  499.032795 2.304000 
499.032795 2.304000  504.100718 2.304000 
504.100718 2.304000  509.206013 2.304000 
509.206013 2.304000  514.545560 2.304000 
514.545560 2.304000  519.610760 2.304000 
519.610760 2.304000  524.488622 2.304000 
524.610760 2.304000  529.929974 2.304000 
529.929974 2.304000  535.368193 2.304000 
