#play delay
18.290054 13.290054
118.565533 0.275479
124.341448 0.775915
130.086095 0.744647
135.840199 0.754104
141.661535 0.821336
147.568071 0.906536
153.606358 1.038287
168.676927 0.070569
173.836638 0.159711
178.977345 0.140707
184.138385 0.161040
189.294400 0.156015
194.570369 0.275969
199.852868 0.282499
205.117488 0.264620
210.368704 0.251216
215.626707 0.258003
220.865237 0.238530
226.130384 0.265147
231.405796 0.275412
236.675062 0.269266
241.959323 0.284261
247.270683 0.311360
252.557001 0.286318
257.829784 0.272783
263.186077 0.356293
268.555282 0.369205
273.829789 0.274507
279.156476 0.326687
284.482226 0.325750
289.826370 0.344144
295.158113 0.331743
300.478864 0.320751
305.814384 0.335520
311.162884 0.348500
316.480946 0.318062
321.827970 0.347024
327.176095 0.348125
332.515059 0.338964
337.827499 0.312440
343.145984 0.318485
348.458274 0.312290
353.760059 0.301785
359.099139 0.339080
364.469548 0.370409
369.786979 0.317431
375.119789 0.332810
380.413705 0.293916
385.788660 0.374955
391.053388 0.264728
396.441802 0.388414
401.776200 0.334398
406.958304 0.182104
412.217165 0.258861
417.540792 0.323627
422.800797 0.260005
432.997009 0.196212
443.098826 0.101817
453.229996 0.131170
458.493135 0.263139
468.550841 0.057706
478.883384 0.332543
494.259020 0.375636
499.681852 0.422832
509.891915 0.210063
514.891915 0.000000
520.014758 0.122843
530.388025 0.373267
550.722412 0.334387
556.269021 0.546609
571.432396 0.163375
576.757702 0.325306
602.121184 0.363482
607.441720 0.320536
613.041066 0.599346
633.323177 0.282111
638.674557 0.351380
644.010107 0.335550
669.287044 0.276937
674.689799 0.402755
705.026221 0.336422
710.221576 0.195355
735.415235 0.193659
740.720165 0.304930
750.884116 0.163951
771.249115 0.364999
791.537339 0.288224
796.920840 0.383501
827.251524 0.330684
832.564305 0.312781
837.876993 0.312688
843.203394 0.326401
868.499607 0.296213
893.792822 0.293215
913.982494 0.189672
939.203849 0.221355
944.572482 0.368633
