# VLDDashClient mimuroto
1.770384 0.128000  2.072957 0.128000 
2.072957 2.048000  6.773250 2.048000 
6.773250 2.048000  11.504032 2.048000 
11.504032 2.048000  16.271065 2.048000 
16.504032 2.048000  21.066410 2.048000 
21.504032 2.048000  25.536581 2.048000 
26.504032 2.048000  30.063881 2.048000 
31.504032 2.304000  35.794542 2.304000 
36.504032 2.304000  41.232079 2.304000 
41.504032 2.304000  45.751782 2.304000 
46.504032 2.304000  51.436143 2.304000 
51.504032 2.304000  55.150283 2.304000 
56.504032 2.304000  59.903314 2.304000 
61.504032 2.304000  66.110382 2.304000 
66.504032 2.304000  70.946398 2.304000 
71.504032 2.304000  74.804305 2.304000 
76.504032 2.560000  81.393340 2.560000 
81.504032 2.560000  86.370203 2.560000 
86.504032 2.560000  91.476792 2.560000 
91.504032 2.560000  97.155012 2.560000 
101.504032 2.560000  106.237475 2.560000 
106.504032 2.560000  112.055684 2.560000 
116.504032 2.304000  120.172903 2.304000 
121.504032 2.560000  127.052242 2.560000 
127.052242 2.560000  132.901262 2.560000 
132.901262 2.304000  138.181338 2.304000 
138.181338 2.304000  143.440632 2.304000 
143.440632 2.304000  148.674618 2.304000 
148.674618 2.304000  153.930299 2.304000 
153.930299 2.304000  159.167387 2.304000 
159.167387 2.304000  164.435838 2.304000 
164.435838 2.304000  169.668491 2.304000 
169.668491 2.304000  174.917291 2.304000 
174.917291 2.304000  180.191299 2.304000 
180.191299 2.304000  185.479371 2.304000 
185.479371 2.304000  190.735285 2.304000 
190.735285 2.304000  195.979095 2.304000 
195.979095 2.304000  201.207338 2.304000 
201.207338 2.304000  206.462786 2.304000 
206.462786 2.304000  211.690506 2.304000 
211.690506 2.304000  216.967324 2.304000 
216.967324 2.304000  222.214433 2.304000 
222.214433 2.304000  227.513238 2.304000 
227.513238 2.304000  232.743373 2.304000 
232.743373 2.304000  237.980527 2.304000 
237.980527 2.304000  243.274781 2.304000 
243.274781 2.304000  248.537453 2.304000 
248.537453 2.304000  253.800393 2.304000 
253.800393 2.304000  259.104704 2.304000 
259.104704 2.304000  264.439340 2.304000 
264.439340 2.304000  269.774573 2.304000 
269.774573 2.304000  275.114691 2.304000 
275.114691 2.304000  280.460640 2.304000 
280.460640 2.304000  285.823558 2.304000 
285.823558 2.304000  291.117563 2.304000 
291.117563 2.304000  296.465224 2.304000 
296.465224 2.304000  301.754673 2.304000 
301.754673 2.304000  307.059406 2.304000 
307.059406 2.304000  312.310997 2.304000 
312.310997 2.304000  317.508434 2.304000 
317.508434 2.304000  322.721396 2.304000 
322.721396 2.304000  327.867089 2.304000 
327.867089 2.304000  332.976118 2.304000 
332.976118 2.304000  338.087344 2.304000 
338.087344 2.304000  343.148591 2.304000 
343.148591 2.304000  348.195258 2.304000 
348.195258 2.304000  353.298274 2.304000 
353.298274 2.304000  358.359228 2.304000 
358.359228 2.304000  363.391241 2.304000 
363.391241 2.304000  368.430125 2.304000 
368.430125 2.304000  373.442568 2.304000 
373.442568 2.304000  378.498344 2.304000 
378.498344 2.304000  383.558382 2.304000 
383.558382 2.304000  388.629636 2.304000 
388.629636 2.304000  393.709258 2.304000 
393.709258 2.304000  398.742022 2.304000 
398.742022 2.304000  403.765528 2.304000 
403.765528 2.304000  408.854862 2.304000 
408.854862 2.304000  413.863845 2.304000 
413.863845 2.304000  418.926993 2.304000 
418.926993 2.304000  424.075432 2.304000 
424.075432 2.304000  429.152009 2.304000 
429.152009 2.304000  434.217819 2.304000 
434.217819 2.304000  439.286069 2.304000 
439.286069 2.304000  444.347718 2.304000 
444.347718 2.048000  448.882396 2.048000 
449.347718 2.048000  453.795163 2.048000 
454.347718 2.048000  458.674217 2.048000 
459.347718 2.048000  463.532729 2.048000 
464.347718 2.304000  468.964197 2.304000 
469.347718 2.304000  473.996253 2.304000 
474.347718 2.304000  479.132763 2.304000 
479.347718 2.304000  484.221596 2.304000 
484.347718 2.304000  489.364907 2.304000 
489.364907 2.304000  494.432915 2.304000 
494.432915 2.304000  499.526165 2.304000 
499.526165 2.304000  504.564915 2.304000 
504.564915 2.304000  509.558320 2.304000 
509.564915 2.304000  514.659387 2.304000 
514.659387 2.304000  519.755762 2.304000 
519.755762 2.304000  524.858426 2.304000 
524.858426 2.304000  529.945095 2.304000 
529.945095 2.304000  534.989115 2.304000 
534.989115 2.304000  540.043209 2.304000 
540.043209 2.304000  545.109067 2.304000 
545.109067 2.304000  550.181993 2.304000 
550.181993 2.304000  555.230358 2.304000 
555.230358 2.304000  560.288202 2.304000 
560.288202 2.304000  565.348373 2.304000 
565.348373 2.304000  570.440009 2.304000 
570.440009 2.304000  575.481999 2.304000 
575.481999 2.304000  580.576616 2.304000 
580.576616 2.304000  585.670364 2.304000 
585.670364 2.304000  590.753578 2.304000 
590.753578 2.048000  595.265357 2.048000 
595.753578 2.048000  600.129763 2.048000 
600.753578 2.048000  605.038728 2.048000 
605.753578 2.304000  610.460866 2.304000 
610.753578 2.304000  615.550279 2.304000 
615.753578 2.304000  620.671195 2.304000 
620.753578 2.304000  625.732188 2.304000 
625.753578 2.304000  630.734475 2.304000 
630.753578 2.304000  635.811615 2.304000 
635.811615 2.304000  640.869961 2.304000 
640.869961 2.304000  645.898746 2.304000 
645.898746 2.304000  650.938501 2.304000 
650.938501 2.304000  655.992893 2.304000 
655.992893 2.304000  661.051662 2.304000 
661.051662 2.304000  666.044990 2.304000 
666.051662 2.304000  671.105659 2.304000 
671.105659 2.304000  676.172195 2.304000 
676.172195 2.304000  681.209709 2.304000 
681.209709 2.304000  686.242875 2.304000 
686.242875 2.304000  691.295033 2.304000 
