#play delay
17.149694 12.149694
112.241282 0.091588
127.511564 0.270282
132.777251 0.265687
138.060611 0.283360
143.310762 0.250151
148.544019 0.233257
153.795512 0.251493
159.038876 0.243364
164.311551 0.272675
169.543300 0.231749
174.785845 0.242545
180.058110 0.272265
185.350326 0.292216
190.609938 0.259612
195.849648 0.239710
201.083315 0.233667
206.342158 0.258843
211.571442 0.229284
216.848030 0.276588
222.105803 0.257773
227.402634 0.296831
232.633306 0.230672
237.870598 0.237292
243.163054 0.292456
248.421351 0.258297
253.691711 0.270360
258.994320 0.302609
264.320006 0.325686
269.654511 0.334505
274.999594 0.345083
280.344996 0.345402
285.708466 0.363470
291.003776 0.295310
296.345908 0.342132
301.640820 0.294912
306.951910 0.311090
312.190574 0.238664
317.391995 0.201421
322.599807 0.207812
327.748787 0.148980
772.926943 0.178156
778.124987 0.198044
783.339488 0.214501
