# AndroidClient mimuroto
1.246962 0.128000  1.389770 0.128000 
1.389770 3.584000  10.095850 3.584000 
10.095850 1.536000  12.068713 1.536000 
15.095850 1.792000  16.723179 1.792000 
20.095850 2.048000  21.806765 2.048000 
25.095850 2.560000  28.523723 2.560000 
30.095850 2.560000  35.190038 2.560000 
35.190038 2.304000  40.323088 2.304000 
40.323088 2.304000  45.614647 2.304000 
45.614647 2.048000  49.989668 2.048000 
50.614647 2.048000  54.786095 2.048000 
55.614647 2.048000  59.429010 2.048000 
60.614647 2.048000  64.023542 2.048000 
65.614647 2.048000  68.562668 2.048000 
70.614647 2.048000  73.229308 2.048000 
75.614647 2.048000  78.306508 2.048000 
80.614647 2.304000  83.876066 2.304000 
85.614647 2.304000  89.448745 2.304000 
90.614647 2.304000  94.885517 2.304000 
95.614647 2.304000  100.285098 2.304000 
100.614647 2.304000  105.737713 2.304000 
105.737713 2.048000  110.078181 2.048000 
110.737713 2.048000  115.122237 2.048000 
115.737713 2.048000  119.989756 2.048000 
120.737713 2.048000  124.935937 2.048000 
125.737713 2.048000  129.983079 2.048000 
130.737713 2.048000  134.768633 2.048000 
135.737713 2.048000  139.397142 2.048000 
140.737713 2.048000  144.026017 2.048000 
145.737713 2.048000  148.977883 2.048000 
150.737713 2.048000  153.997975 2.048000 
155.737713 2.048000  159.001545 2.048000 
160.737713 2.048000  163.985397 2.048000 
165.737713 2.048000  168.947456 2.048000 
170.737713 2.048000  173.982761 2.048000 
175.737713 2.048000  178.940016 2.048000 
180.737713 2.048000  184.052704 2.048000 
185.737713 2.048000  189.146796 2.048000 
190.737713 2.048000  194.241943 2.048000 
195.737713 2.048000  199.329566 2.048000 
200.737713 2.048000  204.427944 2.048000 
205.737713 2.048000  209.545534 2.048000 
210.737713 2.048000  214.594903 2.048000 
215.737713 2.048000  219.686730 2.048000 
220.737713 2.048000  224.758972 2.048000 
225.737713 2.048000  229.770973 2.048000 
230.737713 2.048000  234.759083 2.048000 
235.737713 2.048000  239.733084 2.048000 
240.737713 2.048000  244.734667 2.048000 
245.737713 2.048000  249.713340 2.048000 
250.737713 2.048000  254.679646 2.048000 
255.737713 2.048000  259.724762 2.048000 
260.737713 2.048000  264.810374 2.048000 
265.737713 2.048000  269.835650 2.048000 
270.737713 2.048000  274.881722 2.048000 
275.737713 2.048000  279.955959 2.048000 
280.737713 2.048000  285.019938 2.048000 
285.737713 2.048000  290.041725 2.048000 
290.737713 2.048000  295.121153 2.048000 
295.737713 2.048000  300.171558 2.048000 
300.737713 2.048000  305.139851 2.048000 
305.737713 2.048000  310.206138 2.048000 
310.737713 2.048000  314.949597 2.048000 
315.737713 2.048000  319.626723 2.048000 
320.737713 2.048000  324.438676 2.048000 
325.737713 2.048000  329.263323 2.048000 
330.737713 2.048000  334.061107 2.048000 
335.737713 2.048000  338.898363 2.048000 
340.737713 2.048000  343.715323 2.048000 
345.737713 2.048000  348.576750 2.048000 
350.737713 2.048000  353.821142 2.048000 
355.737713 2.048000  358.872977 2.048000 
360.737713 2.048000  363.944618 2.048000 
365.737713 2.048000  369.054399 2.048000 
370.737713 2.048000  374.127936 2.048000 
375.737713 2.048000  379.199048 2.048000 
380.737713 2.048000  384.388691 2.048000 
385.737713 2.048000  389.531648 2.048000 
390.737713 2.048000  394.755888 2.048000 
395.737713 2.048000  399.872225 2.048000 
400.737713 2.048000  404.907061 2.048000 
405.737713 2.048000  410.072662 2.048000 
410.737713 2.048000  415.129376 2.048000 
415.737713 2.048000  420.187820 2.048000 
420.737713 2.048000  424.865698 2.048000 
425.737713 2.048000  429.577847 2.048000 
430.737713 2.048000  434.454064 2.048000 
435.737713 2.048000  439.458372 2.048000 
440.737713 2.048000  444.468284 2.048000 
445.737713 2.048000  449.491973 2.048000 
450.737713 2.048000  454.443172 2.048000 
455.737713 2.048000  459.431831 2.048000 
460.737713 2.048000  464.450914 2.048000 
465.737713 2.048000  469.484371 2.048000 
470.737713 2.048000  474.414588 2.048000 
475.737713 2.048000  479.544798 2.048000 
480.737713 2.048000  484.469731 2.048000 
485.737713 2.048000  489.456056 2.048000 
490.737713 2.048000  494.468557 2.048000 
495.737713 2.048000  499.465474 2.048000 
500.737713 2.048000  504.552159 2.048000 
505.737713 2.048000  509.674275 2.048000 
510.737713 2.048000  514.717420 2.048000 
515.737713 2.048000  519.505990 2.048000 
520.737713 2.048000  524.447793 2.048000 
525.737713 2.048000  529.446857 2.048000 
530.737713 2.048000  534.452319 2.048000 
535.737713 2.048000  539.477612 2.048000 
540.737713 2.048000  544.466073 2.048000 
545.737713 2.048000  549.778033 2.048000 
550.737713 2.048000  554.893282 2.048000 
555.737713 2.048000  559.684507 2.048000 
560.737713 2.048000  564.500855 2.048000 
565.737713 2.048000  569.424099 2.048000 
570.737713 2.048000  574.445337 2.048000 
575.737713 2.048000  579.458427 2.048000 
580.737713 2.048000  584.445020 2.048000 
585.737713 2.048000  589.435011 2.048000 
590.737713 2.048000  594.429146 2.048000 
595.737713 2.048000  599.445223 2.048000 
600.737713 2.048000  604.483320 2.048000 
605.737713 2.048000  609.444295 2.048000 
610.737713 2.048000  614.438598 2.048000 
615.737713 2.048000  619.452699 2.048000 
620.737713 2.048000  624.461943 2.048000 
625.737713 2.048000  629.447353 2.048000 
630.737713 2.048000  634.466100 2.048000 
635.737713 2.048000  639.466880 2.048000 
640.737713 2.048000  644.492282 2.048000 
645.737713 2.048000  649.416763 2.048000 
650.737713 2.048000  654.435586 2.048000 
655.737713 2.048000  659.457936 2.048000 
660.737713 2.048000  664.362482 2.048000 
665.737713 2.048000  669.354948 2.048000 
670.737713 2.048000  674.365849 2.048000 
675.737713 2.048000  679.359784 2.048000 
680.737713 2.048000  684.351566 2.048000 
685.737713 2.048000  689.375235 2.048000 
