# AndroidClient mimuroto
1.021191 0.128000  1.271724 0.128000 
1.271724 1.792000  4.599757 1.792000 
6.271724 2.048000  10.018045 2.048000 
11.271724 2.048000  15.050656 2.048000 
16.271724 2.048000  20.047080 2.048000 
21.271724 2.048000  25.032371 2.048000 
26.271724 2.048000  30.044562 2.048000 
31.271724 2.048000  35.022761 2.048000 
36.271724 2.048000  40.069567 2.048000 
41.271724 2.048000  45.053844 2.048000 
46.271724 2.048000  49.996932 2.048000 
51.271724 2.048000  55.130372 2.048000 
56.271724 2.048000  60.072109 2.048000 
61.271724 2.048000  65.088189 2.048000 
66.271724 2.048000  70.017525 2.048000 
71.271724 2.048000  75.015089 2.048000 
76.271724 2.048000  80.045541 2.048000 
81.271724 2.048000  85.037030 2.048000 
86.271724 2.048000  90.068331 2.048000 
91.271724 2.048000  95.011066 2.048000 
96.271724 2.048000  100.041391 2.048000 
101.271724 2.048000  105.030165 2.048000 
106.271724 2.048000  110.050041 2.048000 
111.271724 2.048000  115.082187 2.048000 
116.271724 2.048000  120.031607 2.048000 
121.271724 2.048000  125.063796 2.048000 
126.271724 2.048000  130.037885 2.048000 
131.271724 2.048000  135.082953 2.048000 
136.271724 2.048000  140.054905 2.048000 
141.271724 2.048000  145.052518 2.048000 
146.271724 2.048000  150.067065 2.048000 
151.271724 2.048000  155.051870 2.048000 
156.271724 2.048000  160.081927 2.048000 
161.271724 2.048000  165.039276 2.048000 
166.271724 2.048000  170.053490 2.048000 
171.271724 2.048000  175.010200 2.048000 
176.271724 2.048000  180.077145 2.048000 
181.271724 2.048000  185.093604 2.048000 
186.271724 2.048000  190.103989 2.048000 
191.271724 2.048000  195.056009 2.048000 
196.271724 2.048000  200.082008 2.048000 
201.271724 2.048000  205.114678 2.048000 
206.271724 2.048000  210.100764 2.048000 
211.271724 2.048000  215.098449 2.048000 
216.271724 2.048000  220.106302 2.048000 
221.271724 2.048000  225.108927 2.048000 
226.271724 2.048000  230.060558 2.048000 
231.271724 2.048000  235.097711 2.048000 
236.271724 2.048000  240.073829 2.048000 
241.271724 2.048000  245.087602 2.048000 
246.271724 2.048000  250.131336 2.048000 
251.271724 2.048000  255.104874 2.048000 
256.271724 2.048000  260.149991 2.048000 
261.271724 2.048000  265.135073 2.048000 
266.271724 2.048000  270.115811 2.048000 
271.271724 2.048000  275.135314 2.048000 
276.271724 2.048000  280.158964 2.048000 
