# AndroidClient mimuroto
1.157036 0.128000  1.516871 0.128000 
1.516871 1.536000  4.108029 1.536000 
6.516871 2.816000  10.975669 2.816000 
11.516871 2.816000  16.154725 2.816000 
16.516871 2.816000  21.152389 2.816000 
21.516871 2.816000  26.180479 2.816000 
26.516871 2.816000  31.144320 2.816000 
31.516871 2.816000  36.161543 2.816000 
36.516871 2.816000  41.178044 2.816000 
41.516871 2.816000  46.161694 2.816000 
46.516871 2.816000  51.217034 2.816000 
51.516871 2.816000  56.224489 2.816000 
56.516871 2.816000  61.237988 2.816000 
61.516871 2.816000  66.210677 2.816000 
66.516871 2.816000  71.191123 2.816000 
71.516871 2.816000  76.176278 2.816000 
76.516871 2.816000  81.145345 2.816000 
81.516871 2.816000  86.182193 2.816000 
86.516871 2.816000  91.168858 2.816000 
91.516871 2.816000  96.197370 2.816000 
96.516871 2.816000  101.175139 2.816000 
101.516871 2.816000  106.169906 2.816000 
106.516871 2.816000  111.172705 2.816000 
111.516871 2.816000  116.149198 2.816000 
116.516871 2.816000  121.193487 2.816000 
121.516871 2.816000  126.182801 2.816000 
126.516871 2.816000  131.195974 2.816000 
131.516871 2.816000  136.167586 2.816000 
136.516871 2.816000  141.196596 2.816000 
141.516871 2.816000  146.179196 2.816000 
146.516871 2.816000  151.153462 2.816000 
151.516871 2.816000  156.167692 2.816000 
156.516871 2.816000  161.158668 2.816000 
161.516871 2.816000  166.188433 2.816000 
166.516871 2.816000  171.177443 2.816000 
171.516871 2.816000  176.146420 2.816000 
176.516871 2.816000  181.151998 2.816000 
181.516871 2.816000  186.164541 2.816000 
186.516871 2.816000  191.139521 2.816000 
191.516871 2.816000  196.158799 2.816000 
196.516871 2.816000  201.155658 2.816000 
201.516871 2.816000  206.168317 2.816000 
206.516871 2.816000  211.179151 2.816000 
211.516871 2.816000  216.198587 2.816000 
216.516871 2.816000  221.243121 2.816000 
221.516871 2.816000  226.283470 2.816000 
226.516871 2.816000  231.271923 2.816000 
231.516871 2.816000  236.258008 2.816000 
236.516871 2.816000  241.174785 2.816000 
241.516871 2.816000  246.137313 2.816000 
246.516871 2.816000  251.117653 2.816000 
251.516871 2.816000  256.066460 2.816000 
256.516871 2.816000  261.048842 2.816000 
