# VLDDashClient mimuroto
1.020683 0.128000  1.347279 0.128000 
1.347279 1.792000  4.264446 1.792000 
6.347279 2.816000  10.495203 2.816000 
11.347279 3.072000  15.896833 3.072000 
16.347279 3.072000  20.899966 3.072000 
21.347279 3.072000  25.948844 3.072000 
26.347279 3.072000  30.903227 3.072000 
31.347279 3.072000  35.910239 3.072000 
36.347279 3.072000  40.953352 3.072000 
41.347279 3.072000  45.946411 3.072000 
46.347279 3.328000  51.280692 3.328000 
51.347279 3.328000  56.407315 3.328000 
56.407315 3.328000  61.614011 3.328000 
61.614011 3.072000  66.468633 3.072000 
66.614011 3.072000  71.447389 3.072000 
71.614011 3.072000  76.441970 3.072000 
76.614011 3.072000  81.404552 3.072000 
81.614011 3.072000  86.447987 3.072000 
86.614011 3.072000  91.430855 3.072000 
91.614011 3.072000  96.466355 3.072000 
96.614011 3.072000  101.444080 3.072000 
101.614011 3.072000  106.428112 3.072000 
106.614011 3.072000  111.439354 3.072000 
111.614011 3.072000  116.407759 3.072000 
116.614011 3.072000  121.449866 3.072000 
121.614011 3.072000  126.447506 3.072000 
126.614011 3.072000  131.460472 3.072000 
131.614011 3.072000  136.427907 3.072000 
136.614011 3.072000  141.464640 3.072000 
141.614011 3.072000  146.435942 3.072000 
146.614011 3.072000  151.420751 3.072000 
151.614011 3.072000  156.424438 3.072000 
156.614011 3.072000  161.415915 3.072000 
161.614011 3.072000  166.455607 3.072000 
166.614011 3.072000  171.439458 3.072000 
171.614011 3.072000  176.409385 3.072000 
176.614011 3.072000  181.412150 3.072000 
181.614011 3.072000  186.425543 3.072000 
186.614011 3.072000  191.406414 3.072000 
191.614011 3.072000  196.422817 3.072000 
196.614011 3.072000  201.418498 3.072000 
201.614011 3.072000  206.428284 3.072000 
206.614011 3.072000  211.437199 3.072000 
211.614011 3.072000  216.540942 3.072000 
216.614011 3.072000  221.678407 3.072000 
221.678407 3.072000  226.784776 3.072000 
226.784776 3.072000  231.846415 3.072000 
231.846415 3.072000  236.759981 3.072000 
236.846415 3.072000  241.686596 3.072000 
241.846415 3.072000  246.683485 3.072000 
246.846415 3.072000  251.637303 3.072000 
251.846415 3.072000  256.619285 3.072000 
256.846415 3.072000  261.607815 3.072000 
261.846415 3.072000  266.599086 3.072000 
266.846415 3.072000  271.517823 3.072000 
271.846415 3.072000  276.520572 3.072000 
276.846415 3.072000  281.621597 3.072000 
281.846415 3.072000  286.747218 3.072000 
286.846415 3.072000  291.825380 3.072000 
291.846415 3.072000  296.901758 3.072000 
296.901758 3.072000  301.966530 3.072000 
301.966530 3.072000  307.060786 3.072000 
307.060786 3.072000  312.117164 3.072000 
312.117164 3.072000  317.218781 3.072000 
317.218781 3.072000  322.282867 3.072000 
322.282867 3.072000  327.317220 3.072000 
327.317220 3.072000  332.380492 3.072000 
332.380492 3.072000  337.427504 3.072000 
337.427504 3.072000  342.353311 3.072000 
342.427504 3.072000  347.290991 3.072000 
347.427504 3.072000  352.240602 3.072000 
352.427504 3.072000  357.264518 3.072000 
357.427504 3.072000  362.340736 3.072000 
362.427504 3.072000  367.453026 3.072000 
367.453026 3.072000  372.499734 3.072000 
372.499734 3.072000  377.564976 3.072000 
377.564976 3.072000  382.646206 3.072000 
382.646206 3.072000  387.701432 3.072000 
387.701432 3.072000  392.791162 3.072000 
