#play delay
11.452417 0.000000
221.463470 0.011053
226.555469 0.091999
231.625103 0.069634
256.625103 0.000000
296.659218 0.034115
301.725363 0.066145
306.822506 0.097143
311.874724 0.052218
316.982836 0.108112
322.042257 0.059421
327.084156 0.041899
332.144559 0.060403
372.183176 0.038617
377.249455 0.066279
382.329074 0.079619
387.386829 0.057755
392.476225 0.089396
397.549037 0.072812
402.614238 0.065201
407.716675 0.102437
447.793767 0.077092
452.856354 0.062587
457.899232 0.042878
462.971064 0.071832
468.042424 0.071360
503.081797 0.039373
508.169126 0.087329
513.225406 0.056280
518.297325 0.071919
523.368772 0.071447
528.450630 0.081858
533.513284 0.062654
538.560442 0.047158
543.634238 0.073796
548.691705 0.057467
553.778142 0.086437
558.862002 0.083860
563.948943 0.086941
569.037302 0.088359
574.126633 0.089331
579.219526 0.092893
584.325960 0.106434
619.346989 0.021029
624.451585 0.104596
629.514471 0.062886
659.524013 0.009542
704.604741 0.080728
709.678205 0.073464
714.760735 0.082530
744.821678 0.060943
749.899100 0.077422
754.952873 0.053773
760.038792 0.085919
765.102091 0.063299
825.114900 0.012809
830.188952 0.074052
835.243182 0.054230
840.338051 0.094869
845.429888 0.091837
850.489199 0.059311
855.570945 0.081746
895.595768 0.024823
