# AndroidClient mimuroto
1.085937 0.128000  1.294453 0.128000 
1.294453 2.304000  4.469512 2.304000 
6.294453 2.816000  11.180358 2.816000 
11.294453 2.304000  15.557428 2.304000 
16.294453 2.304000  20.806005 2.304000 
21.294453 2.304000  25.438890 2.304000 
26.294453 2.048000  29.918967 2.048000 
31.294453 2.048000  39.061058 2.048000 
39.061058 1.792000  46.147420 1.280000 
46.147420 1.536000  53.586863 1.024000 
53.586863 1.536000  59.346193 1.024000 
59.346193 1.280000  62.996335 0.896000 
64.346193 1.280000  69.851950 0.896000 
69.851950 1.280000  76.526979 0.896000 
76.526979 1.280000  82.003751 0.896000 
82.003751 1.024000  85.431111 0.768000 
87.003751 1.024000  93.441496 1.024000 
93.441496 1.024000  98.254135 0.768000 
98.441496 1.024000  104.113056 0.768000 
104.113056 1.024000  110.182227 0.768000 
110.182227 1.024000  115.981543 0.768000 
115.981543 1.024000  122.676086 0.768000 
122.676086 0.896000  127.766335 0.640000 
127.766335 0.896000  132.733430 0.640000 
132.766335 0.896000  138.196497 0.640000 
138.196497 0.896000  143.038201 0.640000 
143.196497 0.896000  148.202487 0.640000 
148.202487 0.896000  153.867458 0.640000 
153.867458 0.896000  158.563982 0.640000 
158.867458 0.768000  163.089460 0.512000 
163.867458 0.768000  167.877832 0.512000 
168.867458 0.768000  172.916662 0.512000 
173.867458 0.768000  177.896483 0.512000 
178.867458 0.768000  183.285845 0.512000 
183.867458 0.768000  188.162630 0.512000 
188.867458 0.768000  192.827590 0.512000 
193.867458 0.768000  198.615386 0.512000 
198.867458 0.768000  203.333588 0.512000 
203.867458 0.768000  208.339092 0.512000 
208.867458 0.768000  213.031494 0.512000 
213.867458 0.768000  217.626920 0.512000 
218.867458 0.768000  223.197284 0.512000 
223.867458 0.768000  227.561278 0.512000 
228.867458 0.768000  232.296864 0.512000 
233.867458 0.768000  238.088407 0.512000 
238.867458 0.768000  242.138887 0.512000 
243.867458 0.768000  247.262629 0.512000 
248.867458 0.640000  251.950361 0.384000 
253.867458 0.640000  256.487888 0.384000 
258.867458 0.640000  261.570973 0.384000 
263.867458 0.640000  266.581031 0.384000 
268.867458 0.640000  271.619040 0.384000 
273.867458 0.640000  276.941590 0.384000 
278.867458 0.640000  281.773640 0.384000 
283.867458 0.640000  286.114517 0.384000 
288.867458 0.640000  291.576024 0.384000 
293.867458 0.640000  296.908850 0.384000 
298.867458 0.640000  301.861204 0.384000 
303.867458 0.640000  306.345259 0.384000 
308.867458 0.640000  311.268210 0.384000 
313.867458 0.640000  316.820163 0.384000 
318.867458 0.640000  322.215258 0.384000 
323.867458 0.640000  326.081516 0.384000 
328.867458 0.640000  331.349110 0.384000 
333.867458 0.640000  336.224599 0.384000 
338.867458 0.640000  341.360260 0.384000 
343.867458 0.640000  346.345373 0.384000 
348.867458 0.640000  351.422978 0.384000 
353.867458 0.640000  356.376203 0.384000 
358.867458 0.640000  361.831060 0.384000 
363.867458 0.640000  366.718224 0.384000 
368.867458 0.640000  371.450757 0.384000 
373.867458 0.640000  376.534433 0.384000 
378.867458 0.640000  381.576409 0.384000 
383.867458 0.640000  386.281118 0.384000 
388.867458 0.640000  391.501541 0.384000 
393.867458 0.640000  396.522584 0.384000 
398.867458 0.640000  401.762214 0.384000 
403.867458 0.640000  407.512944 0.384000 
408.867458 0.640000  411.768452 0.384000 
413.867458 0.640000  416.953254 0.384000 
418.867458 0.640000  421.957619 0.384000 
423.867458 0.640000  426.614186 0.384000 
428.867458 0.640000  432.287475 0.384000 
433.867458 0.640000  437.096078 0.384000 
438.867458 0.640000  441.961915 0.384000 
443.867458 0.640000  446.902329 0.384000 
448.867458 0.640000  451.343105 0.384000 
453.867458 0.640000  457.384694 0.384000 
458.867458 0.640000  461.318404 0.384000 
463.867458 0.640000  467.008971 0.384000 
468.867458 0.640000  471.861798 0.384000 
473.867458 0.640000  476.740011 0.384000 
478.867458 0.640000  481.877615 0.384000 
483.867458 0.640000  486.941768 0.384000 
488.867458 0.640000  491.734438 0.384000 
493.867458 0.640000  497.116325 0.384000 
498.867458 0.640000  501.859022 0.384000 
503.867458 0.640000  506.197272 0.384000 
508.867458 0.640000  511.701607 0.384000 
513.867458 0.640000  515.803636 0.384000 
518.867458 0.640000  523.391247 0.640000 
523.867458 0.512000  529.473084 0.512000 
529.473084 0.512000  532.972497 0.512000 
534.473084 0.512000  537.866931 0.512000 
539.473084 0.512000  540.781448 0.256000 
544.473084 0.512000  550.294157 0.768000 
550.294157 0.512000  556.199591 0.768000 
556.199591 0.512000  559.964275 0.512000 
561.199591 0.512000  562.640464 0.256000 
566.199591 0.512000  567.756782 0.512000 
571.199591 0.512000  572.509120 0.768000 
576.199591 0.512000  577.071479 0.768000 
581.199591 0.512000  581.814266 0.768000 
586.199591 0.512000  586.802022 0.768000 
591.199591 0.512000  591.794623 0.768000 
596.199591 0.512000  596.819670 0.768000 
601.199591 0.512000  601.786789 0.768000 
606.199591 0.512000  606.811580 0.768000 
611.199591 0.512000  611.810432 0.768000 
616.199591 0.512000  616.802297 0.768000 
621.199591 0.512000  621.819296 0.768000 
626.199591 0.512000  626.797621 0.768000 
631.199591 0.640000  631.902724 0.896000 
636.199591 0.640000  636.920667 0.896000 
641.199591 0.640000  641.905768 0.896000 
646.199591 0.640000  646.897098 0.896000 
651.199591 0.640000  651.897641 0.896000 
656.199591 0.640000  656.897274 0.896000 
661.199591 0.640000  661.907563 0.896000 
666.199591 0.640000  666.924142 0.896000 
671.199591 0.640000  671.898560 0.896000 
676.199591 0.768000  676.998682 1.024000 
681.199591 0.768000  682.011650 1.024000 
686.199591 0.768000  687.000335 1.024000 
691.199591 0.768000  692.018951 1.024000 
696.199591 0.768000  697.008615 1.024000 
701.199591 0.768000  702.007343 1.024000 
706.199591 0.896000  707.181880 1.280000 
711.199591 0.896000  712.211636 1.280000 
716.199591 0.896000  717.203308 1.280000 
721.199591 0.896000  722.213964 1.280000 
726.199591 0.896000  727.204134 1.280000 
731.199591 1.024000  732.398427 1.536000 
736.199591 1.024000  737.397393 1.536000 
741.199591 1.024000  742.415975 1.536000 
746.199591 1.024000  747.620146 1.536000 
751.199591 1.024000  752.639167 1.536000 
756.199591 1.024000  758.019279 1.536000 
761.199591 1.024000  763.111606 1.536000 
