# AIMDClient mimuroto
1.156551 0.128000  1.396870 0.128000 
1.396870 0.256000  1.886663 0.256000 
1.886663 0.384000  2.658464 0.384000 
6.886663 0.512000  8.640891 0.768000 
11.886663 0.768000  14.236503 1.024000 
16.886663 1.024000  20.309478 1.536000 
21.886663 1.536000  25.635603 2.048000 
26.886663 2.048000  30.816510 2.048000 
31.886663 2.048000  37.938500 2.048000 
41.886663 2.048000  46.965505 2.048000 
46.965505 2.048000  52.354192 2.048000 
52.354192 2.048000  56.968506 2.048000 
57.354192 2.048000  62.877984 2.048000 
62.877984 2.048000  68.453665 2.048000 
68.453665 2.048000  73.993354 2.048000 
73.993354 2.048000  79.581848 2.048000 
79.581848 2.048000  84.616012 2.048000 
84.616012 2.048000  89.300016 2.048000 
89.616012 2.048000  96.427411 2.048000 
96.427411 2.048000  102.277173 2.048000 
102.277173 2.048000  108.167460 2.048000 
108.167460 2.048000  113.742302 2.048000 
113.742302 2.048000  119.466880 2.048000 
119.466880 2.048000  125.054915 2.048000 
125.054915 2.048000  130.843094 2.048000 
130.843094 2.048000  136.424717 2.048000 
136.424717 2.048000  142.209395 2.048000 
142.209395 2.048000  147.962164 2.048000 
147.962164 2.048000  153.562638 2.048000 
153.562638 2.048000  159.192385 2.048000 
159.192385 2.048000  164.569977 2.048000 
164.569977 2.048000  169.821962 2.048000 
169.821962 2.048000  174.964409 2.048000 
174.964409 2.048000  180.052852 2.048000 
180.052852 2.048000  185.341405 2.048000 
185.341405 2.048000  190.623708 2.048000 
190.623708 2.048000  195.819153 2.048000 
195.819153 2.048000  201.220542 2.048000 
201.220542 2.048000  206.385196 2.048000 
206.385196 2.048000  211.832963 2.048000 
211.832963 2.048000  217.342513 2.048000 
217.342513 2.048000  222.290704 2.048000 
222.342513 2.048000  227.810592 2.048000 
227.810592 2.048000  232.839744 2.048000 
232.839744 2.048000  237.889279 2.048000 
237.889279 2.048000  243.025873 2.048000 
243.025873 2.048000  247.917087 2.048000 
248.025873 2.048000  252.657856 2.048000 
253.025873 2.048000  257.482538 2.048000 
258.025873 2.048000  262.283060 2.048000 
263.025873 2.048000  267.048736 2.048000 
268.025873 2.048000  271.876067 2.048000 
273.025873 2.048000  276.636646 2.048000 
278.025873 2.048000  281.593151 2.048000 
283.025873 2.048000  286.465181 2.048000 
288.025873 2.048000  291.172564 2.048000 
293.025873 2.048000  296.207138 2.048000 
298.025873 2.048000  301.140925 2.048000 
303.025873 2.048000  306.346727 2.048000 
308.025873 2.048000  311.167188 2.048000 
313.025873 2.048000  316.258846 2.048000 
318.025873 2.048000  321.023076 2.048000 
323.025873 2.048000  326.515383 2.048000 
328.025873 2.048000  331.445852 2.048000 
333.025873 2.048000  336.583253 2.048000 
338.025873 2.048000  341.595169 2.048000 
343.025873 2.048000  346.902465 2.048000 
348.025873 2.048000  352.052864 2.048000 
353.025873 2.048000  357.199113 2.048000 
358.025873 2.048000  362.323464 2.048000 
363.025873 2.048000  367.416125 2.048000 
368.025873 2.048000  372.365063 2.048000 
373.025873 2.048000  377.638203 2.048000 
378.025873 2.048000  382.771639 2.048000 
383.025873 2.048000  387.781387 2.048000 
388.025873 2.048000  392.725934 2.048000 
393.025873 2.048000  397.829060 2.048000 
398.025873 2.048000  402.811014 2.048000 
403.025873 2.048000  408.073812 2.048000 
408.073812 2.048000  412.856948 2.048000 
413.073812 2.048000  417.922104 2.048000 
418.073812 2.048000  423.054019 2.048000 
423.073812 2.048000  427.914994 2.048000 
428.073812 2.048000  432.899852 2.048000 
433.073812 2.048000  437.992518 2.048000 
438.073812 2.048000  443.047297 2.048000 
443.073812 2.048000  448.000121 2.048000 
448.073812 2.048000  452.916921 2.048000 
453.073812 2.048000  458.099703 2.048000 
458.099703 2.048000  463.018968 2.048000 
463.099703 2.048000  467.967126 2.048000 
468.099703 2.048000  472.971697 2.048000 
473.099703 2.048000  477.723224 2.048000 
478.099703 2.048000  482.801942 2.048000 
483.099703 2.048000  487.938766 2.048000 
488.099703 2.048000  492.910454 2.048000 
493.099703 2.048000  497.881018 2.048000 
498.099703 2.048000  502.796433 2.048000 
503.099703 2.048000  507.864444 2.048000 
508.099703 2.048000  512.898994 2.048000 
513.099703 2.048000  517.481084 2.048000 
