# VLDDashClient mimuroto
4.085322 0.128000  4.247313 0.128000 
4.247313 3.840000  8.873893 3.840000 
8.873893 4.096000  15.012801 3.584000 
15.012801 3.328000  19.488632 2.816000 
20.012801 3.328000  24.691047 2.816000 
25.012801 3.072000  26.934096 2.560000 
30.012801 3.328000  35.052469 2.816000 
40.012801 3.328000  43.885426 2.816000 
45.012801 3.328000  52.390381 2.816000 
55.012801 3.072000  60.997417 2.560000 
60.997417 2.816000  68.894656 2.816000 
68.894656 2.816000  76.477970 2.816000 
76.477970 2.560000  83.007037 2.560000 
83.007037 2.560000  88.932607 2.560000 
88.932607 2.560000  97.397767 2.560000 
97.397767 2.304000  103.722218 2.304000 
103.722218 2.304000  110.114973 2.304000 
110.114973 2.304000  116.539123 2.304000 
116.539123 2.304000  122.887883 2.304000 
122.887883 2.304000  129.425286 2.304000 
129.425286 2.048000  135.116471 2.048000 
135.116471 2.048000  140.628032 2.048000 
140.628032 2.048000  146.448216 2.048000 
146.448216 2.048000  152.291679 2.048000 
152.291679 2.048000  158.049768 2.048000 
158.049768 2.048000  163.418205 2.048000 
163.418205 2.048000  168.609941 2.048000 
168.609941 2.048000  173.819032 2.048000 
173.819032 2.048000  178.942764 2.048000 
178.942764 2.048000  184.091310 2.048000 
184.091310 2.048000  189.329689 2.048000 
189.329689 2.048000  194.418545 2.048000 
194.418545 2.048000  199.741179 2.048000 
199.741179 2.048000  205.178521 2.048000 
205.178521 2.048000  210.427546 2.048000 
210.427546 2.048000  215.946514 2.048000 
215.946514 2.048000  221.013484 2.048000 
221.013484 2.048000  226.480468 2.048000 
226.480468 2.048000  231.672035 2.048000 
231.672035 2.048000  236.413296 2.048000 
236.672035 2.048000  242.301966 2.048000 
242.301966 2.048000  247.241320 2.048000 
247.301966 2.048000  251.987122 2.048000 
252.301966 2.048000  256.778950 2.048000 
257.301966 2.048000  261.577443 2.048000 
262.301966 2.048000  266.221856 2.048000 
267.301966 2.048000  270.907832 2.048000 
272.301966 2.048000  275.462902 2.048000 
277.301966 2.048000  280.236424 2.048000 
282.301966 2.048000  285.154059 2.048000 
287.301966 2.048000  289.700721 2.048000 
292.301966 2.048000  294.855064 2.048000 
297.301966 2.048000  299.843449 2.048000 
302.301966 2.048000  305.067045 2.048000 
307.301966 2.048000  309.831681 2.048000 
312.301966 2.048000  314.859313 2.048000 
