#play delay
46.965505 0.078842
52.354192 0.388687
62.877984 0.523792
68.453665 0.575681
73.993354 0.539689
79.581848 0.588494
84.616012 0.034164
96.427411 1.811399
102.277173 0.849762
108.167460 0.890287
113.742302 0.574842
119.466880 0.724578
125.054915 0.588035
130.843094 0.788179
136.424717 0.581623
142.209395 0.784678
147.962164 0.752769
153.562638 0.600474
159.192385 0.629747
164.569977 0.377592
169.821962 0.251985
174.964409 0.142447
180.052852 0.088443
185.341405 0.288553
190.623708 0.282303
195.819153 0.195445
201.220542 0.401389
206.385196 0.164654
211.832963 0.447767
217.342513 0.509550
227.810592 0.468079
232.839744 0.029152
237.889279 0.049535
243.025873 0.136594
408.073812 0.047939
458.099703 0.025891
533.141461 0.041758
538.221020 0.079559
558.431118 0.210098
