# AndroidClient mimuroto
1.238076 0.128000  1.501488 0.128000 
1.501488 1.792000  4.010015 1.792000 
6.501488 2.560000  11.066670 2.560000 
11.501488 2.304000  15.353079 2.304000 
16.501488 2.304000  19.976107 2.304000 
21.501488 2.304000  25.315064 2.304000 
26.501488 2.304000  30.597873 2.304000 
31.501488 2.304000  37.145153 2.304000 
37.145153 2.048000  40.038514 2.048000 
42.145153 2.304000  45.785893 2.304000 
47.145153 2.304000  51.254909 2.304000 
52.145153 2.304000  56.610426 2.304000 
57.145153 2.304000  60.930544 2.304000 
62.145153 2.304000  68.605736 2.304000 
68.605736 2.048000  71.150513 2.048000 
73.605736 2.048000  76.203216 2.048000 
78.605736 2.048000  82.162957 2.048000 
83.605736 2.048000  86.997096 2.048000 
88.605736 2.048000  93.405992 2.048000 
93.605736 2.048000  96.553136 2.048000 
98.605736 2.048000  101.071513 2.048000 
103.605736 2.304000  106.978121 2.304000 
108.605736 2.304000  112.060335 2.304000 
113.605736 2.304000  116.521311 2.304000 
118.605736 2.304000  121.394351 2.304000 
123.605736 2.304000  126.528495 2.304000 
128.605736 2.304000  131.530932 2.304000 
133.605736 2.304000  136.890951 2.304000 
138.605736 2.304000  141.969162 2.304000 
143.605736 2.304000  146.788856 2.304000 
148.605736 2.304000  151.699109 2.304000 
153.605736 2.304000  156.445183 2.304000 
158.605736 2.304000  161.699796 2.304000 
163.605736 2.304000  166.981724 2.304000 
168.605736 2.304000  172.059328 2.304000 
173.605736 2.304000  176.532226 2.304000 
178.605736 2.304000  181.451246 2.304000 
183.605736 2.560000  186.509417 2.560000 
188.605736 2.560000  192.241268 2.560000 
193.605736 2.560000  197.235506 2.560000 
198.605736 2.560000  202.568977 2.560000 
203.605736 2.560000  207.072357 2.560000 
208.605736 2.560000  211.869340 2.560000 
213.605736 2.560000  216.844114 2.560000 
218.605736 2.560000  221.962944 2.560000 
223.605736 2.560000  226.622607 2.560000 
228.605736 2.560000  232.021091 2.560000 
233.605736 2.560000  237.080487 2.560000 
238.605736 2.560000  241.875015 2.560000 
243.605736 2.560000  247.619655 2.560000 
248.605736 2.560000  252.329617 2.560000 
253.605736 2.560000  258.074206 2.560000 
258.605736 2.560000  262.899400 2.560000 
263.605736 2.560000  267.447035 2.560000 
268.605736 2.560000  272.813805 2.560000 
273.605736 2.560000  277.387375 2.560000 
278.605736 2.560000  282.864957 2.560000 
283.605736 2.560000  288.486558 2.560000 
288.605736 2.560000  293.213763 2.560000 
293.605736 2.560000  298.053525 2.560000 
298.605736 2.560000  303.860767 2.560000 
303.860767 2.560000  309.667462 2.560000 
309.667462 2.560000  314.794748 2.560000 
314.794748 2.560000  319.678795 2.560000 
319.794748 2.560000  324.649478 2.560000 
324.794748 2.304000  328.945483 2.304000 
329.794748 2.304000  333.081981 2.304000 
334.794748 2.304000  338.557170 2.304000 
339.794748 2.304000  343.074352 2.304000 
344.794748 2.304000  348.369952 2.304000 
349.794748 2.304000  353.571380 2.304000 
354.794748 2.304000  358.172795 2.304000 
359.794748 2.304000  362.319673 2.304000 
364.794748 2.560000  368.269412 2.560000 
369.794748 2.560000  372.436127 2.560000 
374.794748 2.560000  377.272188 2.560000 
379.794748 2.560000  383.470557 2.560000 
384.794748 2.560000  389.065298 2.560000 
389.794748 2.560000  394.582888 2.560000 
394.794748 2.560000  400.363490 2.560000 
400.363490 2.560000  405.785570 2.560000 
405.785570 2.560000  411.738180 2.560000 
411.738180 2.304000  416.459967 2.304000 
416.738180 2.304000  421.978730 2.304000 
421.978730 2.304000  427.115901 2.304000 
427.115901 2.304000  432.080109 2.304000 
432.115901 2.304000  437.587895 2.304000 
437.587895 2.304000  442.637550 2.304000 
442.637550 2.304000  448.199281 2.304000 
448.199281 2.304000  453.028443 2.304000 
453.199281 2.304000  458.627100 2.304000 
458.627100 2.304000  463.699025 2.304000 
463.699025 2.304000  469.003330 2.304000 
469.003330 2.304000  474.061002 2.304000 
474.061002 2.304000  479.117026 2.304000 
479.117026 2.304000  484.175477 2.304000 
484.175477 2.304000  489.238433 2.304000 
489.238433 2.304000  494.211171 2.304000 
494.238433 2.304000  499.259549 2.304000 
499.259549 2.304000  504.369761 2.304000 
504.369761 2.304000  509.322280 2.304000 
509.369761 2.304000  514.515202 2.304000 
514.515202 2.304000  519.499151 2.304000 
519.515202 2.304000  524.321064 2.304000 
524.515202 2.304000  530.391736 2.304000 
530.391736 2.304000  536.324024 2.304000 
536.324024 2.304000  541.426273 2.304000 
541.426273 2.304000  546.654366 2.304000 
546.654366 2.304000  552.071514 2.304000 
552.071514 2.048000  556.679742 2.048000 
557.071514 2.048000  561.438160 2.048000 
562.071514 2.048000  566.722339 2.048000 
567.071514 2.048000  572.000450 2.048000 
572.071514 2.048000  576.119959 2.048000 
577.071514 2.048000  580.750209 2.048000 
582.071514 2.048000  585.222016 2.048000 
587.071514 2.048000  590.348701 2.048000 
592.071514 2.048000  594.918282 2.048000 
597.071514 2.048000  599.657604 2.048000 
602.071514 2.048000  604.267873 2.048000 
607.071514 2.048000  609.017183 2.048000 
612.071514 2.048000  613.286471 2.048000 
617.071514 2.304000  618.503070 2.304000 
622.071514 2.304000  623.530891 2.304000 
627.071514 2.304000  629.270582 2.304000 
632.071514 2.304000  634.138551 2.304000 
637.071514 2.304000  638.900493 2.304000 
642.071514 2.304000  643.536361 2.304000 
647.071514 2.304000  648.638684 2.304000 
652.071514 2.304000  653.540972 2.304000 
657.071514 2.304000  658.502054 2.304000 
662.071514 2.304000  663.564114 2.304000 
667.071514 2.304000  668.720253 2.304000 
672.071514 2.304000  673.726557 2.304000 
677.071514 2.304000  678.562664 2.304000 
682.071514 2.304000  683.609117 2.304000 
687.071514 2.304000  688.591755 2.304000 
692.071514 2.304000  693.584930 2.304000 
697.071514 2.304000  698.670786 2.304000 
702.071514 2.304000  704.070627 2.304000 
707.071514 2.304000  708.915639 2.304000 
