# VLDDashClient mimuroto
4.085322 0.128000  4.247313 0.128000 
4.247313 3.840000  8.873893 3.840000 
8.873893 4.096000  12.374986 2.304000 
12.374986 3.584000  15.740874 2.304000 
17.374986 3.584000  20.630132 2.304000 
22.374986 3.584000  25.961912 2.048000 
27.374986 3.328000  31.829335 2.304000 
32.374986 3.072000  37.744964 2.304000 
42.374986 3.072000  45.688341 2.048000 
47.374986 3.072000  51.367278 2.304000 
52.374986 2.816000  56.757773 2.304000 
57.374986 2.816000  61.518920 2.816000 
62.374986 2.816000  69.712733 2.816000 
72.374986 2.816000  75.535244 2.048000 
77.374986 2.816000  82.128408 2.816000 
82.374986 2.816000  87.214062 2.816000 
87.374986 2.816000  93.928855 2.816000 
93.928855 2.816000  96.912254 2.304000 
98.928855 2.816000  102.002220 2.816000 
103.928855 2.816000  108.035051 2.816000 
108.928855 2.816000  111.962820 2.048000 
113.928855 2.816000  116.542851 2.048000 
118.928855 2.816000  122.251284 2.816000 
123.928855 2.816000  126.785114 2.304000 
128.928855 3.072000  131.801164 2.304000 
133.928855 3.072000  137.235570 2.304000 
138.928855 3.072000  142.286161 2.304000 
143.928855 3.072000  147.058396 2.304000 
148.928855 3.072000  152.119805 2.304000 
153.928855 3.072000  156.811788 2.304000 
158.928855 3.072000  161.682899 2.048000 
163.928855 3.072000  167.307623 2.304000 
168.928855 3.072000  171.999189 2.048000 
173.928855 3.072000  176.550548 2.048000 
178.928855 3.072000  181.469508 2.048000 
183.928855 3.072000  186.534947 2.304000 
188.928855 3.072000  192.208644 2.304000 
193.928855 3.072000  197.263315 2.304000 
198.928855 3.072000  202.466819 2.304000 
203.928855 3.072000  206.672987 2.048000 
208.928855 3.072000  211.884888 2.304000 
213.928855 3.072000  216.853465 2.304000 
218.928855 3.072000  221.989543 2.304000 
223.928855 3.072000  226.408772 2.048000 
228.928855 3.328000  232.090618 2.304000 
233.928855 3.328000  237.095057 2.304000 
238.928855 3.328000  241.941880 2.304000 
243.928855 3.328000  247.373354 2.304000 
248.928855 3.328000  251.964375 2.048000 
253.928855 3.328000  257.903806 2.304000 
258.928855 3.328000  262.297831 2.048000 
263.928855 3.328000  267.474039 2.304000 
268.928855 3.328000  272.155700 2.048000 
273.928855 3.328000  277.410851 2.304000 
278.928855 3.328000  282.885462 2.304000 
283.928855 3.072000  288.287603 2.304000 
288.928855 3.072000  293.212795 2.304000 
293.928855 3.072000  298.209588 2.304000 
298.928855 3.072000  303.560831 2.304000 
303.928855 3.072000  309.271409 2.304000 
309.271409 3.072000  313.995688 2.304000 
314.271409 3.072000  318.852229 2.304000 
319.271409 3.072000  323.318354 2.048000 
324.271409 3.072000  328.172218 2.048000 
329.271409 3.072000  332.111931 2.048000 
334.271409 3.072000  337.963314 2.304000 
339.271409 3.072000  341.976695 2.048000 
344.271409 3.072000  347.170668 2.048000 
349.271409 3.072000  353.026814 2.304000 
354.271409 3.072000  357.527610 2.304000 
359.271409 3.072000  361.447643 2.048000 
364.271409 3.072000  366.711304 2.048000 
369.271409 3.072000  371.312857 2.048000 
374.271409 3.072000  375.865993 2.048000 
379.271409 3.072000  382.423579 2.304000 
384.271409 3.072000  387.850299 2.048000 
389.271409 3.072000  392.840283 2.048000 
394.271409 3.072000  399.267993 2.304000 
399.271409 3.072000  404.194294 2.304000 
404.271409 3.072000  409.582425 2.304000 
409.582425 3.072000  414.124173 2.048000 
414.582425 3.072000  419.821612 2.304000 
419.821612 3.072000  424.784859 2.304000 
424.821612 3.072000  429.873345 2.304000 
429.873345 3.072000  434.616579 2.048000 
434.873345 3.072000  439.665865 2.048000 
439.873345 3.072000  444.744391 2.048000 
444.873345 3.072000  449.398343 2.048000 
449.873345 3.072000  455.296940 2.304000 
455.296940 2.816000  461.227980 2.816000 
461.227980 2.816000  466.120065 2.048000 
466.227980 2.816000  470.829374 2.048000 
471.227980 2.816000  476.642416 2.304000 
476.642416 2.816000  483.001081 2.816000 
483.001081 2.816000  489.201528 2.816000 
489.201528 2.816000  494.175029 2.304000 
494.201528 2.816000  498.829855 2.048000 
499.201528 2.816000  504.320101 2.304000 
