#play delay
16.973604 0.000000
67.419598 0.445994
132.419598 0.000000
307.554096 0.134498
402.888410 0.334314
407.898668 0.010258
413.287917 0.389249
423.613784 0.325867
428.669032 0.055248
433.938822 0.269790
439.157148 0.218326
444.426002 0.268854
454.735082 0.309080
459.779576 0.044494
465.041219 0.261643
470.133289 0.092070
475.193480 0.060191
480.277926 0.084446
485.340438 0.062512
490.358758 0.018320
500.417869 0.059111
505.532635 0.114766
515.655506 0.122871
526.049968 0.394462
531.835008 0.785040
537.520261 0.685253
542.631853 0.111592
547.937604 0.305751
553.745655 0.808051
569.627330 0.881675
759.898127 0.270797
765.084201 0.186074
770.326567 0.242366
775.816598 0.490031
781.222606 0.406008
786.634200 0.411594
792.165267 0.531067
797.839224 0.673957
803.349819 0.510595
809.082433 0.732614
814.703118 0.620685
820.280526 0.577408
825.815287 0.534761
831.353551 0.538264
836.975179 0.621628
842.630095 0.654916
848.299496 0.669401
853.955026 0.655530
859.622487 0.667461
865.358123 0.735636
871.044062 0.685939
876.787380 0.743318
