# AndroidClient mimuroto
1.238076 0.128000  1.501488 0.128000 
1.501488 1.792000  4.010015 1.792000 
6.501488 2.560000  10.884311 2.560000 
11.501488 2.304000  15.559186 2.304000 
16.501488 2.304000  19.946081 2.304000 
21.501488 2.304000  24.766743 2.304000 
26.501488 2.304000  31.100840 2.304000 
31.501488 2.304000  37.516577 2.304000 
37.516577 2.048000  41.358232 2.048000 
42.516577 2.048000  45.677470 2.048000 
47.516577 2.048000  51.192398 2.048000 
52.516577 2.048000  56.502160 2.048000 
57.516577 2.048000  61.848078 2.048000 
62.516577 2.048000  67.445562 2.048000 
67.516577 2.048000  71.543342 2.048000 
72.516577 2.048000  76.290390 2.048000 
77.516577 2.048000  81.676329 2.048000 
82.516577 2.048000  86.686060 2.048000 
87.516577 2.048000  93.435971 2.048000 
93.435971 2.048000  99.903273 2.048000 
99.903273 1.792000  103.753716 1.792000 
104.903273 1.792000  109.124318 1.792000 
109.903273 1.792000  113.791878 1.792000 
114.903273 1.792000  118.501190 1.792000 
119.903273 1.792000  123.483942 1.792000 
124.903273 1.792000  127.980562 1.792000 
129.903273 1.792000  133.087776 1.792000 
134.903273 1.792000  138.475552 1.792000 
139.903273 1.792000  142.357112 1.792000 
144.903273 1.792000  148.227284 1.792000 
149.903273 1.792000  153.368562 1.792000 
154.903273 1.792000  157.484441 1.792000 
159.903273 1.792000  162.221002 1.792000 
164.903273 2.048000  168.663218 2.048000 
169.903273 2.048000  174.206680 2.048000 
174.903273 2.048000  179.529739 2.048000 
179.903273 1.792000  183.628633 1.792000 
184.903273 1.792000  188.393992 1.792000 
189.903273 1.792000  193.321926 1.792000 
194.903273 1.792000  196.708269 1.792000 
199.903273 2.048000  203.315102 2.048000 
204.903273 2.048000  209.241983 2.048000 
209.903273 2.048000  214.378763 2.048000 
214.903273 2.048000  219.439336 2.048000 
219.903273 2.048000  224.615751 2.048000 
224.903273 2.048000  229.329935 2.048000 
229.903273 1.792000  233.444585 1.792000 
234.903273 1.792000  238.300636 1.792000 
239.903273 1.792000  243.500160 1.792000 
244.903273 1.792000  248.776320 1.792000 
249.903273 1.792000  254.122588 1.792000 
254.903273 1.792000  258.402972 1.792000 
259.903273 1.792000  263.577192 1.792000 
264.903273 1.792000  268.181002 1.792000 
269.903273 1.792000  273.390934 1.792000 
274.903273 1.792000  279.144232 1.792000 
279.903273 1.792000  283.627399 1.792000 
284.903273 1.792000  288.492911 1.792000 
289.903273 1.792000  293.111771 1.792000 
294.903273 1.792000  298.491783 1.792000 
299.903273 1.792000  302.998125 1.792000 
304.903273 1.792000  308.126031 1.792000 
309.903273 1.792000  313.090633 1.792000 
314.903273 1.792000  318.378863 1.792000 
319.903273 1.792000  323.246422 1.792000 
324.903273 1.792000  328.616046 1.792000 
329.903273 1.792000  332.980107 1.792000 
334.903273 1.792000  338.658155 1.792000 
339.903273 1.792000  343.353700 1.792000 
344.903273 1.792000  348.699036 1.792000 
349.903273 1.792000  353.434607 1.792000 
354.903273 1.792000  357.855857 1.792000 
359.903273 1.792000  362.994251 1.792000 
