# AIMDClient mimuroto
1.156551 0.128000  1.396870 0.128000 
1.396870 0.256000  1.886663 0.256000 
1.886663 0.384000  2.658464 0.384000 
6.886663 0.512000  8.047016 0.512000 
11.886663 0.640000  13.358215 0.640000 
16.886663 0.768000  18.534413 0.768000 
21.886663 0.896000  23.560760 0.896000 
26.886663 0.896000  28.943216 0.896000 
31.886663 0.896000  34.434841 0.896000 
36.886663 0.896000  39.736121 0.896000 
41.886663 0.896000  43.643162 0.896000 
46.886663 0.896000  48.544525 0.896000 
51.886663 1.024000  54.395031 1.024000 
56.886663 1.024000  59.299997 1.024000 
61.886663 1.024000  64.906078 1.024000 
66.886663 1.024000  69.661525 1.024000 
71.886663 1.024000  74.281118 1.024000 
76.886663 1.024000  79.491295 1.024000 
81.886663 1.024000  84.251870 1.024000 
86.886663 1.024000  90.092445 1.024000 
91.886663 1.024000  95.515102 1.024000 
96.886663 1.024000  100.153600 1.024000 
101.886663 1.024000  104.627105 1.024000 
106.886663 1.024000  109.642892 1.024000 
111.886663 1.024000  114.735800 1.024000 
116.886663 1.024000  119.444205 1.024000 
121.886663 1.024000  124.429234 1.024000 
126.886663 1.024000  129.377803 1.024000 
131.886663 1.024000  134.674377 1.024000 
136.886663 1.024000  139.245036 1.024000 
141.886663 1.024000  144.166031 1.024000 
146.886663 1.024000  149.566612 1.024000 
151.886663 1.024000  154.343123 1.024000 
156.886663 1.024000  159.094350 1.024000 
161.886663 1.024000  164.258629 1.024000 
166.886663 1.024000  169.729401 1.024000 
171.886663 1.024000  174.624145 1.024000 
176.886663 1.024000  179.641667 1.024000 
181.886663 1.024000  184.483520 1.024000 
186.886663 1.024000  189.565377 1.024000 
191.886663 1.024000  194.269476 1.024000 
196.886663 1.024000  199.143901 1.024000 
201.886663 1.024000  204.340246 1.024000 
206.886663 1.024000  209.331139 1.024000 
211.886663 1.024000  214.477346 1.024000 
216.886663 1.024000  219.607858 1.024000 
221.886663 1.024000  224.633256 1.024000 
226.886663 1.024000  229.585589 1.024000 
231.886663 1.024000  234.257752 1.024000 
236.886663 1.024000  239.071541 1.024000 
241.886663 1.024000  244.212948 1.024000 
246.886663 1.024000  249.302678 1.024000 
251.886663 1.024000  254.484836 1.024000 
256.886663 1.024000  259.141174 1.024000 
261.886663 1.024000  264.156688 1.024000 
266.886663 1.024000  269.095225 1.024000 
271.886663 1.024000  274.381295 1.024000 
276.886663 1.024000  279.862487 1.024000 
281.886663 1.024000  284.389848 1.024000 
286.886663 1.024000  289.567424 1.024000 
291.886663 1.024000  294.518215 1.024000 
296.886663 1.024000  299.471708 1.024000 
301.886663 1.024000  304.422021 1.024000 
306.886663 1.024000  309.345699 1.024000 
311.886663 1.024000  314.316923 1.024000 
316.886663 1.024000  319.414603 1.024000 
321.886663 1.024000  324.535497 1.024000 
326.886663 1.024000  329.462814 1.024000 
331.886663 1.024000  334.414121 1.024000 
336.886663 1.024000  339.464659 1.024000 
341.886663 1.024000  344.201544 1.024000 
346.886663 1.024000  349.524645 1.024000 
351.886663 1.024000  354.393956 1.024000 
356.886663 1.024000  359.199285 1.024000 
361.886663 1.024000  364.309988 1.024000 
366.886663 1.024000  369.559424 1.024000 
371.886663 1.024000  374.547034 1.024000 
376.886663 1.024000  379.473755 1.024000 
381.886663 1.024000  384.470531 1.024000 
386.886663 1.024000  389.134800 1.024000 
391.886663 1.024000  394.374181 1.024000 
396.886663 1.024000  399.376604 1.024000 
401.886663 1.024000  404.257226 1.024000 
406.886663 1.024000  409.555009 1.024000 
411.886663 1.024000  414.391668 1.024000 
416.886663 1.024000  419.384607 1.024000 
421.886663 1.024000  424.486303 1.024000 
426.886663 1.024000  429.443691 1.024000 
431.886663 1.024000  434.113639 1.024000 
436.886663 1.024000  439.100218 1.024000 
441.886663 1.024000  444.415575 1.024000 
446.886663 1.024000  449.117453 1.024000 
451.886663 1.024000  454.090189 1.024000 
456.886663 1.024000  459.488137 1.024000 
461.886663 1.024000  464.232393 1.024000 
466.886663 1.024000  469.474598 1.024000 
471.886663 1.024000  474.651892 1.024000 
476.886663 1.024000  479.163048 1.024000 
481.886663 1.024000  484.170564 1.024000 
486.886663 1.024000  488.935155 1.024000 
491.886663 1.024000  494.017242 1.024000 
