# VLDDashClient mimuroto
1.021191 0.128000  1.169285 0.128000 
1.169285 4.096000  5.807931 4.096000 
5.807931 4.352000  12.094867 4.352000 
12.094867 3.840000  18.065963 3.840000 
22.094867 3.584000  25.790619 3.584000 
27.094867 3.840000  35.750389 3.840000 
37.094867 3.328000  42.708133 3.328000 
42.708133 3.072000  46.836599 3.072000 
47.708133 3.328000  53.731423 3.328000 
53.731423 3.072000  59.442610 3.072000 
59.442610 3.072000  66.120632 3.072000 
66.120632 3.072000  72.152969 3.072000 
72.152969 2.816000  77.130894 2.816000 
77.152969 2.816000  82.726514 2.816000 
82.726514 2.816000  89.481654 2.816000 
89.481654 2.816000  97.459745 2.816000 
97.459745 2.560000  103.893659 2.560000 
103.893659 2.560000  109.621322 2.560000 
109.621322 2.560000  114.982301 2.560000 
114.982301 2.560000  120.069699 2.560000 
120.069699 2.560000  124.809381 2.560000 
125.069699 2.560000  129.913409 2.560000 
130.069699 2.560000  135.335664 2.560000 
135.335664 2.560000  139.933679 2.560000 
140.335664 2.560000  145.111614 2.560000 
145.335664 2.560000  150.661089 2.560000 
150.661089 2.560000  155.222964 2.560000 
155.661089 2.560000  160.246914 2.560000 
160.661089 2.560000  165.402283 2.560000 
165.661089 2.560000  171.021635 2.560000 
171.021635 2.560000  176.490051 2.560000 
176.490051 2.560000  181.688739 2.560000 
181.688739 2.560000  186.628252 2.560000 
186.688739 2.560000  191.847437 2.560000 
191.847437 2.560000  196.267822 2.560000 
196.847437 2.560000  201.351371 2.560000 
201.847437 2.560000  206.857257 2.560000 
206.857257 2.560000  211.997784 2.560000 
211.997784 2.560000  217.031255 2.560000 
217.031255 2.560000  222.653330 2.560000 
222.653330 2.560000  227.767976 2.560000 
227.767976 2.560000  233.304398 2.560000 
233.304398 2.560000  237.653455 2.560000 
238.304398 2.560000  243.061042 2.560000 
243.304398 2.560000  247.962224 2.560000 
248.304398 2.560000  253.471558 2.560000 
253.471558 2.560000  258.107544 2.560000 
258.471558 2.560000  263.182068 2.560000 
263.471558 2.560000  267.903982 2.560000 
268.471558 2.560000  272.988305 2.560000 
273.471558 2.560000  279.402471 2.560000 
279.402471 2.560000  284.490685 2.560000 
284.490685 2.560000  289.585058 2.560000 
289.585058 2.560000  294.312001 2.560000 
294.585058 2.560000  299.203579 2.560000 
299.585058 2.560000  304.339121 2.560000 
304.585058 2.560000  309.235577 2.560000 
309.585058 2.560000  314.174959 2.560000 
314.585058 2.560000  319.393282 2.560000 
319.585058 2.560000  324.556098 2.560000 
324.585058 2.560000  329.677782 2.560000 
329.677782 2.560000  334.452125 2.560000 
334.677782 2.560000  339.684684 2.560000 
339.684684 2.560000  344.311719 2.560000 
344.684684 2.560000  349.662254 2.560000 
349.684684 2.560000  354.808605 2.560000 
354.808605 2.560000  359.284386 2.560000 
359.808605 2.560000  364.430836 2.560000 
364.808605 2.560000  369.768512 2.560000 
369.808605 2.560000  374.789567 2.560000 
374.808605 2.560000  379.858582 2.560000 
379.858582 2.560000  384.882948 2.560000 
384.882948 2.560000  389.326032 2.560000 
389.882948 2.560000  394.825782 2.560000 
394.882948 2.560000  399.777427 2.560000 
399.882948 2.560000  404.776266 2.560000 
404.882948 2.560000  409.762968 2.560000 
409.882948 2.560000  414.608453 2.560000 
414.882948 2.560000  419.665587 2.560000 
419.882948 2.560000  424.858107 2.560000 
424.882948 2.560000  430.142841 2.560000 
430.142841 2.560000  434.823158 2.560000 
435.142841 2.560000  439.694044 2.560000 
440.142841 2.560000  445.425689 2.560000 
445.425689 2.560000  450.120981 2.560000 
450.425689 2.560000  455.317401 2.560000 
455.425689 2.560000  460.629666 2.560000 
460.629666 2.560000  465.146315 2.560000 
465.629666 2.560000  470.989343 2.560000 
470.989343 2.560000  476.164078 2.560000 
476.164078 2.560000  480.703457 2.560000 
481.164078 2.560000  485.896483 2.560000 
486.164078 2.560000  490.294657 2.560000 
491.164078 2.560000  495.268831 2.560000 
496.164078 2.560000  500.228407 2.560000 
501.164078 2.560000  506.227265 2.560000 
506.227265 2.560000  510.965386 2.560000 
511.227265 2.560000  515.376470 2.560000 
516.227265 2.560000  519.286881 2.560000 
521.227265 2.560000  524.270503 2.560000 
526.227265 2.560000  529.959563 2.560000 
531.227265 2.560000  535.271188 2.560000 
536.227265 2.560000  539.806658 2.560000 
541.227265 2.560000  544.366523 2.560000 
546.227265 2.560000  549.379776 2.560000 
551.227265 2.560000  554.867263 2.560000 
556.227265 2.560000  560.686031 2.560000 
561.227265 2.560000  565.689398 2.560000 
566.227265 2.560000  569.987856 2.560000 
571.227265 2.560000  574.345026 2.560000 
576.227265 2.560000  579.371597 2.560000 
581.227265 2.560000  584.369482 2.560000 
586.227265 2.560000  589.362153 2.560000 
591.227265 2.560000  594.336564 2.560000 
596.227265 2.560000  599.385774 2.560000 
601.227265 2.560000  604.370439 2.560000 
606.227265 2.560000  609.383410 2.560000 
611.227265 2.560000  614.383431 2.560000 
616.227265 2.560000  619.408987 2.560000 
621.227265 2.560000  624.348993 2.560000 
626.227265 2.560000  629.324756 2.560000 
631.227265 2.560000  634.414129 2.560000 
636.227265 2.560000  639.380765 2.560000 
641.227265 2.816000  644.535673 2.816000 
646.227265 2.816000  649.577296 2.816000 
651.227265 2.816000  654.621099 2.816000 
656.227265 2.816000  659.612955 2.816000 
661.227265 2.816000  664.624747 2.816000 
666.227265 2.816000  669.586083 2.816000 
671.227265 2.816000  674.590145 2.816000 
676.227265 2.816000  679.637460 2.816000 
681.227265 2.816000  684.601504 2.816000 
686.227265 2.816000  689.618914 2.816000 
691.227265 2.816000  694.610441 2.816000 
696.227265 2.816000  699.617175 2.816000 
701.227265 2.816000  704.615613 2.816000 
706.227265 2.816000  709.605385 2.816000 
711.227265 2.816000  714.602549 2.816000 
716.227265 2.816000  719.597529 2.816000 
721.227265 2.816000  724.664167 2.816000 
726.227265 2.816000  729.618244 2.816000 
731.227265 2.816000  734.703677 2.816000 
736.227265 2.816000  739.684904 2.816000 
741.227265 2.816000  744.667137 2.816000 
746.227265 2.816000  749.819065 2.816000 
751.227265 2.816000  754.772346 2.816000 
756.227265 2.816000  759.816072 2.816000 
761.227265 2.816000  764.784855 2.816000 
766.227265 2.816000  769.853561 2.816000 
771.227265 2.816000  774.882247 2.816000 
776.227265 2.816000  779.910036 2.816000 
781.227265 2.816000  784.971565 2.816000 
786.227265 2.816000  790.207901 2.816000 
791.227265 2.816000  795.385359 2.816000 
796.227265 2.816000  800.533087 2.816000 
801.227265 2.816000  805.669876 2.816000 
806.227265 2.816000  810.792072 2.816000 
811.227265 2.816000  815.808271 2.816000 
816.227265 2.816000  820.830272 2.816000 
821.227265 2.816000  825.787192 2.816000 
826.227265 2.816000  830.809215 2.816000 
831.227265 2.816000  835.836408 2.816000 
836.227265 2.816000  840.860138 2.816000 
841.227265 2.816000  845.874411 2.816000 
846.227265 2.816000  850.835448 2.816000 
851.227265 2.816000  855.846035 2.816000 
856.227265 2.816000  860.818388 2.816000 
861.227265 2.816000  865.838371 2.816000 
866.227265 2.816000  870.860182 2.816000 
871.227265 2.816000  875.853168 2.816000 
876.227265 2.816000  880.880737 2.816000 
881.227265 2.816000  885.834070 2.816000 
886.227265 2.816000  890.840446 2.816000 
891.227265 2.816000  894.812375 2.816000 
896.227265 2.816000  898.925728 2.816000 
901.227265 2.816000  903.960511 2.816000 
906.227265 2.816000  908.369911 2.816000 
911.227265 2.816000  913.381292 2.816000 
916.227265 2.816000  918.392636 2.816000 
921.227265 2.816000  923.429391 2.816000 
