#play delay
11.294453 0.000000
38.997363 2.702910
53.057183 9.059820
60.891526 2.834343
69.185078 3.293552
79.099663 4.914585
85.110759 1.011096
90.238675 0.127916
95.288185 0.049510
102.005810 1.717625
108.507985 1.502175
115.290974 1.782989
123.206259 2.915285
131.054231 2.847972
138.917889 2.863658
145.473420 1.555531
152.127840 1.654420
159.128917 2.001077
165.620010 1.491093
171.858522 1.238512
178.267722 1.409200
185.659968 2.392246
191.393225 0.733257
198.155692 1.762467
203.414508 0.258816
208.738406 0.323898
214.579967 0.841561
220.400822 0.820855
226.173291 0.772469
231.600971 0.427680
238.285911 1.684940
243.563556 0.277645
249.090484 0.526928
254.568683 0.478199
260.264402 0.695719
265.914316 0.649914
271.013110 0.098794
281.147212 0.134102
286.988973 0.841761
307.102694 0.113721
347.391859 0.289165
367.410035 0.018176
412.516657 0.106622
492.718554 0.201897
512.718554 0.000000
528.082362 0.363808
553.194519 0.112157
558.386102 0.191583
