# AndroidClient mimuroto
1.219260 0.128000  1.566099 0.128000 
1.566099 1.280000  3.976605 1.280000 
6.566099 1.792000  9.736933 1.792000 
11.566099 2.048000  14.183165 2.048000 
16.566099 2.304000  20.138546 2.304000 
21.566099 2.304000  24.724143 2.304000 
26.566099 2.560000  30.853116 2.560000 
31.566099 2.304000  36.905286 2.304000 
36.905286 2.304000  41.834268 2.304000 
41.905286 2.048000  46.234833 2.048000 
46.905286 2.048000  51.201243 2.048000 
51.905286 2.048000  56.245499 2.048000 
56.905286 2.048000  61.194587 2.048000 
61.905286 2.048000  68.010952 2.048000 
68.010952 2.048000  72.137837 2.048000 
73.010952 1.792000  76.429788 1.792000 
78.010952 2.048000  81.931662 2.048000 
83.010952 2.048000  86.818495 2.048000 
88.010952 2.048000  92.967642 2.048000 
93.010952 1.792000  98.064473 1.792000 
98.064473 1.792000  102.115298 1.792000 
103.064473 1.792000  106.741357 1.792000 
108.064473 1.792000  112.086768 1.792000 
113.064473 1.792000  116.500049 1.792000 
118.064473 1.792000  121.518715 1.792000 
123.064473 1.792000  126.376218 1.792000 
128.064473 1.792000  131.041071 1.792000 
133.064473 1.792000  136.284571 1.792000 
138.064473 1.792000  141.495454 1.792000 
143.064473 1.792000  146.323174 1.792000 
148.064473 1.792000  151.315802 1.792000 
153.064473 1.792000  156.532343 1.792000 
158.064473 1.792000  161.939532 1.792000 
163.064473 1.792000  166.764004 1.792000 
168.064473 1.792000  171.639799 1.792000 
173.064473 1.792000  176.465850 1.792000 
178.064473 1.792000  181.557313 1.792000 
183.064473 1.792000  186.300206 1.792000 
188.064473 1.792000  191.787939 1.792000 
193.064473 1.792000  196.428566 1.792000 
198.064473 1.792000  201.851021 1.792000 
203.064473 1.792000  206.306631 1.792000 
208.064473 1.792000  211.879147 1.792000 
213.064473 1.792000  216.586170 1.792000 
218.064473 1.792000  221.569658 1.792000 
223.064473 1.792000  226.229386 1.792000 
228.064473 1.792000  230.791800 1.792000 
233.064473 1.792000  236.226504 1.792000 
238.064473 1.792000  240.915089 1.792000 
243.064473 1.792000  246.126159 1.792000 
248.064473 2.048000  251.706137 2.048000 
253.064473 2.048000  257.254647 2.048000 
258.064473 2.048000  261.743733 2.048000 
263.064473 2.048000  266.474539 2.048000 
268.064473 2.048000  272.032275 2.048000 
273.064473 2.048000  275.931804 2.048000 
278.064473 2.048000  281.494650 2.048000 
283.064473 2.048000  285.973040 2.048000 
288.064473 2.048000  291.922612 2.048000 
293.064473 2.048000  296.502039 2.048000 
298.064473 2.048000  301.858871 2.048000 
303.064473 2.048000  307.128530 2.048000 
308.064473 2.048000  312.420267 2.048000 
313.064473 2.048000  316.962713 2.048000 
318.064473 2.048000  322.098281 2.048000 
323.064473 2.048000  326.344437 2.048000 
328.064473 2.048000  331.382735 2.048000 
333.064473 2.048000  337.098039 2.048000 
338.064473 2.048000  341.948451 2.048000 
343.064473 2.048000  346.894622 2.048000 
348.064473 2.048000  351.929950 2.048000 
353.064473 2.048000  356.691943 2.048000 
358.064473 2.048000  361.815825 2.048000 
363.064473 2.048000  366.965309 2.048000 
368.064473 2.048000  371.234197 2.048000 
373.064473 2.048000  376.377226 2.048000 
378.064473 2.048000  381.444873 2.048000 
383.064473 2.048000  386.471197 2.048000 
388.064473 2.048000  391.668681 2.048000 
393.064473 2.048000  396.314836 2.048000 
398.064473 2.048000  401.728917 2.048000 
403.064473 2.048000  406.543212 2.048000 
408.064473 2.048000  411.431767 2.048000 
413.064473 2.048000  416.226251 2.048000 
418.064473 2.048000  421.064105 2.048000 
423.064473 2.048000  426.173030 2.048000 
428.064473 2.048000  431.049376 2.048000 
433.064473 2.048000  436.203954 2.048000 
438.064473 2.048000  441.223879 2.048000 
443.064473 2.048000  446.674244 2.048000 
448.064473 2.048000  451.969202 2.048000 
453.064473 2.048000  457.000438 2.048000 
458.064473 2.048000  462.065443 2.048000 
463.064473 2.048000  466.946901 2.048000 
468.064473 2.048000  472.022183 2.048000 
473.064473 2.048000  476.974314 2.048000 
478.064473 2.048000  481.532789 2.048000 
483.064473 2.048000  486.447544 2.048000 
488.064473 2.048000  491.909787 2.048000 
493.064473 2.048000  497.498560 2.048000 
498.064473 2.048000  502.001776 2.048000 
503.064473 2.048000  508.110753 2.048000 
508.110753 2.048000  511.757966 2.048000 
513.110753 2.048000  515.773138 2.048000 
518.110753 2.048000  519.421386 2.048000 
523.110753 2.048000  524.731508 2.048000 
528.110753 2.048000  529.670888 2.048000 
533.110753 2.048000  537.128341 2.048000 
538.110753 2.048000  541.956914 2.048000 
543.110753 2.048000  547.028382 2.048000 
548.110753 2.048000  552.003306 2.048000 
553.110753 2.048000  557.581756 2.048000 
558.110753 2.048000  563.232306 2.048000 
563.232306 2.048000  567.212024 2.048000 
568.232306 2.048000  571.465930 2.048000 
573.232306 2.048000  575.623888 2.048000 
578.232306 2.048000  580.434973 2.048000 
583.232306 2.048000  585.726927 2.048000 
588.232306 2.048000  590.718124 2.048000 
593.232306 2.048000  595.725693 2.048000 
598.232306 2.048000  600.736199 2.048000 
603.232306 2.048000  605.752853 2.048000 
608.232306 2.048000  610.698242 2.048000 
613.232306 2.304000  615.906781 2.304000 
618.232306 2.304000  620.855987 2.304000 
623.232306 2.304000  625.909812 2.304000 
628.232306 2.304000  630.904394 2.304000 
633.232306 2.304000  635.954231 2.304000 
638.232306 2.304000  640.928612 2.304000 
643.232306 2.304000  645.939085 2.304000 
648.232306 2.304000  650.931544 2.304000 
653.232306 2.304000  655.913890 2.304000 
658.232306 2.304000  660.922246 2.304000 
663.232306 2.304000  665.969223 2.304000 
668.232306 2.304000  670.921772 2.304000 
673.232306 2.304000  675.921633 2.304000 
678.232306 2.304000  680.896725 2.304000 
683.232306 2.304000  685.870037 2.304000 
688.232306 2.304000  690.920314 2.304000 
693.232306 2.304000  695.896059 2.304000 
698.232306 2.304000  700.958061 2.304000 
703.232306 2.304000  705.931014 2.304000 
708.232306 2.304000  710.941382 2.304000 
713.232306 2.304000  715.944285 2.304000 
718.232306 2.304000  720.955776 2.304000 
723.232306 2.560000  726.083513 2.560000 
728.232306 2.560000  731.166842 2.560000 
733.232306 2.560000  736.132131 2.560000 
738.232306 2.560000  741.142554 2.560000 
743.232306 2.560000  746.143895 2.560000 
748.232306 2.560000  751.150849 2.560000 
753.232306 2.560000  756.167039 2.560000 
758.232306 2.560000  761.125935 2.560000 
763.232306 2.560000  766.128278 2.560000 
768.232306 2.560000  771.271141 2.560000 
773.232306 2.560000  776.415645 2.560000 
778.232306 2.560000  781.518478 2.560000 
783.232306 2.560000  786.597155 2.560000 
788.232306 2.560000  791.687071 2.560000 
793.232306 2.560000  796.838429 2.560000 
798.232306 2.560000  802.005537 2.560000 
803.232306 2.560000  807.081500 2.560000 
808.232306 2.560000  812.208367 2.560000 
813.232306 2.560000  817.325829 2.560000 
818.232306 2.560000  822.290869 2.560000 
823.232306 2.560000  827.358803 2.560000 
828.232306 2.560000  832.332658 2.560000 
833.232306 2.560000  837.317103 2.560000 
838.232306 2.560000  842.357348 2.560000 
843.232306 2.560000  847.333676 2.560000 
848.232306 2.560000  852.367672 2.560000 
853.232306 2.560000  857.323206 2.560000 
858.232306 2.560000  862.410742 2.560000 
863.232306 2.560000  867.404180 2.560000 
868.232306 2.560000  872.395624 2.560000 
873.232306 2.560000  877.552394 2.560000 
878.232306 2.560000  882.504252 2.560000 
883.232306 2.560000  887.539532 2.560000 
888.232306 2.560000  892.397341 2.560000 
893.232306 2.560000  895.857536 2.560000 
