# AIMDClient mimuroto
1.147979 0.128000  1.502668 0.128000 
1.502668 0.256000  2.095420 0.256000 
2.095420 0.384000  2.982412 0.384000 
7.095420 0.512000  8.302215 0.512000 
12.095420 0.640000  13.201294 0.640000 
17.095420 0.768000  18.593674 0.768000 
22.095420 0.896000  23.820690 0.896000 
27.095420 0.896000  28.905263 0.896000 
32.095420 0.896000  34.719059 0.896000 
37.095420 0.896000  39.475108 0.896000 
42.095420 0.896000  44.431133 0.896000 
47.095420 0.896000  49.410769 0.896000 
52.095420 0.896000  54.415330 0.896000 
57.095420 0.896000  59.328894 0.896000 
62.095420 0.896000  64.975906 0.896000 
67.095420 0.896000  69.800048 0.896000 
72.095420 0.896000  74.408413 0.896000 
77.095420 0.896000  79.147083 0.896000 
82.095420 0.896000  84.369659 0.896000 
87.095420 0.896000  89.201118 0.896000 
92.095420 0.896000  95.008713 0.896000 
97.095420 0.896000  99.937116 0.896000 
102.095420 0.896000  104.277290 0.896000 
107.095420 0.896000  109.437967 0.896000 
112.095420 0.896000  114.488608 0.896000 
117.095420 0.896000  119.466648 0.896000 
122.095420 0.896000  124.214004 0.896000 
127.095420 0.896000  128.784718 0.896000 
132.095420 0.896000  134.028320 0.896000 
137.095420 0.896000  139.356476 0.896000 
142.095420 0.896000  144.195071 0.896000 
147.095420 0.896000  149.146773 0.896000 
152.095420 0.896000  153.969528 0.896000 
157.095420 0.896000  159.085479 0.896000 
162.095420 0.896000  164.455502 0.896000 
167.095420 0.896000  169.376132 0.896000 
172.095420 0.896000  174.198629 0.896000 
177.095420 0.896000  179.103636 0.896000 
182.095420 0.896000  184.291727 0.896000 
187.095420 0.896000  189.373282 0.896000 
192.095420 0.896000  194.196088 0.896000 
197.095420 0.896000  199.483533 0.896000 
202.095420 0.896000  204.234147 0.896000 
207.095420 0.896000  209.302362 0.896000 
212.095420 0.896000  214.342112 0.896000 
217.095420 0.896000  219.536185 0.896000 
222.095420 0.896000  224.437050 0.896000 
227.095420 0.896000  229.073710 0.896000 
232.095420 0.896000  234.324634 0.896000 
237.095420 0.896000  239.127114 0.896000 
242.095420 0.896000  244.209682 0.896000 
247.095420 0.896000  249.210167 0.896000 
252.095420 0.896000  254.492226 0.896000 
257.095420 0.896000  259.229467 0.896000 
262.095420 0.896000  264.255175 0.896000 
267.095420 0.896000  269.226431 0.896000 
272.095420 0.896000  274.164633 0.896000 
277.095420 0.896000  279.354726 0.896000 
282.095420 0.896000  284.227847 0.896000 
287.095420 0.896000  289.403474 0.896000 
292.095420 0.896000  294.277068 0.896000 
297.095420 0.896000  299.467214 0.896000 
302.095420 0.896000  304.488780 0.896000 
307.095420 0.896000  309.495685 0.896000 
312.095420 0.896000  314.632758 0.896000 
