# VLDDashClient mimuroto
1.021191 0.128000  1.271724 0.128000 
1.271724 2.304000  4.674953 2.304000 
4.674953 3.328000  8.452356 3.328000 
8.452356 3.840000  12.672013 3.840000 
13.452356 4.096000  15.543138 4.096000 
18.452356 4.864000  24.483453 4.864000 
28.452356 4.608000  37.250746 4.608000 
38.452356 3.840000  46.284774 3.840000 
46.284774 3.584000  53.295718 3.584000 
53.295718 3.328000  59.605205 3.328000 
59.605205 3.328000  67.794880 3.328000 
67.794880 3.072000  74.507752 3.072000 
74.507752 3.072000  79.743344 3.072000 
79.743344 3.072000  85.655013 3.072000 
85.655013 2.816000  90.944082 2.816000 
90.944082 2.816000  98.415794 2.816000 
98.415794 2.816000  104.763992 2.816000 
104.763992 2.816000  110.469633 2.816000 
110.469633 2.816000  116.123220 2.816000 
116.123220 2.816000  121.459068 2.816000 
121.459068 2.816000  126.379879 2.816000 
126.459068 2.816000  130.575018 2.816000 
131.459068 2.816000  135.467175 2.816000 
136.459068 2.816000  141.121665 2.816000 
141.459068 2.816000  146.268201 2.816000 
146.459068 2.816000  151.295930 2.816000 
151.459068 2.816000  156.444085 2.816000 
156.459068 2.816000  161.841295 2.816000 
161.841295 2.816000  167.589806 2.816000 
167.589806 2.816000  173.260372 2.816000 
173.260372 2.816000  178.441039 2.816000 
178.441039 2.816000  183.890257 2.816000 
183.890257 2.816000  189.317949 2.816000 
189.317949 2.816000  194.898799 2.816000 
194.898799 2.816000  200.349623 2.816000 
200.349623 2.560000  205.088721 2.560000 
205.349623 2.560000  210.448904 2.560000 
210.448904 2.560000  215.768814 2.560000 
215.768814 2.560000  220.783304 2.560000 
220.783304 2.560000  225.205073 2.560000 
225.783304 2.560000  229.865711 2.560000 
230.783304 2.560000  235.213926 2.560000 
235.783304 2.560000  240.008315 2.560000 
240.783304 2.560000  245.096841 2.560000 
245.783304 2.560000  250.367140 2.560000 
250.783304 2.560000  255.916903 2.560000 
255.916903 2.560000  261.054890 2.560000 
261.054890 2.560000  265.573604 2.560000 
