#play delay
16.404433 0.000000
41.549914 5.145481
53.790595 7.240681
61.030849 2.240254
66.247589 0.216740
73.964508 2.716919
82.525294 3.560786
93.005669 0.480375
98.488153 0.482484
105.927589 2.439436
112.845483 1.917894
120.823600 2.978117
129.938989 4.115389
136.079156 1.140167
142.659080 1.579924
149.595703 1.936623
155.979124 1.383421
162.458644 1.479520
168.884941 1.426297
174.744470 0.859529
180.575265 0.830795
186.618697 1.043432
191.707195 0.088498
197.825569 1.118374
203.241048 0.415479
208.793736 0.552688
213.864763 0.071027
219.671108 0.806345
225.970580 1.299472
231.405031 0.434451
236.555743 0.150712
242.647537 1.091794
248.282441 0.634904
254.299061 1.016620
269.651287 0.352226
304.874067 0.222780
309.939295 0.065228
410.321341 0.382046
530.766757 0.445416
551.414952 0.648195
556.555043 0.140091
561.759658 0.204615
