# AndroidClient mimuroto
1.244774 0.128000  1.394365 0.128000 
1.394365 3.328000  5.880952 3.328000 
6.394365 2.816000  10.474886 2.816000 
11.394365 2.816000  15.640355 2.816000 
16.394365 2.560000  19.925649 2.560000 
21.394365 2.816000  25.901948 2.816000 
26.394365 2.560000  29.755861 2.560000 
31.394365 2.560000  35.617664 2.560000 
36.394365 2.560000  40.760105 2.560000 
41.394365 2.560000  46.046879 2.560000 
46.394365 2.560000  50.962515 2.560000 
51.394365 2.560000  56.134296 2.560000 
56.394365 2.304000  60.858297 2.304000 
61.394365 2.304000  65.946327 2.304000 
66.394365 2.304000  70.884630 2.304000 
71.394365 2.304000  75.882673 2.304000 
76.394365 2.304000  80.883653 2.304000 
81.394365 2.304000  85.972580 2.304000 
86.394365 2.304000  91.030145 2.304000 
91.394365 2.304000  96.056996 2.304000 
96.394365 2.304000  101.060374 2.304000 
101.394365 2.048000  105.507217 2.048000 
106.394365 2.048000  110.345902 2.048000 
111.394365 2.048000  115.198366 2.048000 
116.394365 2.048000  120.066729 2.048000 
121.394365 2.048000  124.946069 2.048000 
126.394365 2.048000  129.964704 2.048000 
131.394365 2.048000  134.990967 2.048000 
136.394365 2.048000  140.108845 2.048000 
141.394365 2.048000  145.196070 2.048000 
146.394365 2.048000  150.279699 2.048000 
151.394365 2.048000  155.363762 2.048000 
156.394365 2.048000  160.376731 2.048000 
161.394365 2.048000  165.389188 2.048000 
166.394365 2.048000  170.362550 2.048000 
171.394365 2.048000  175.379280 2.048000 
176.394365 2.048000  180.381188 2.048000 
181.394365 2.048000  185.379582 2.048000 
186.394365 2.048000  190.403899 2.048000 
191.394365 2.048000  195.388757 2.048000 
196.394365 2.048000  200.387585 2.048000 
201.394365 2.048000  205.365057 2.048000 
206.394365 2.048000  210.379143 2.048000 
211.394365 2.048000  215.410377 2.048000 
216.394365 2.048000  220.384253 2.048000 
221.394365 2.048000  225.437401 2.048000 
226.394365 2.048000  230.425740 2.048000 
231.394365 2.048000  235.393993 2.048000 
236.394365 2.048000  240.404910 2.048000 
241.394365 2.048000  245.373113 2.048000 
246.394365 2.048000  250.385895 2.048000 
251.394365 2.048000  255.378775 2.048000 
256.394365 2.048000  260.467895 2.048000 
261.394365 2.048000  265.410320 2.048000 
266.394365 2.048000  270.421564 2.048000 
271.394365 2.048000  275.436853 2.048000 
276.394365 2.048000  280.465350 2.048000 
281.394365 2.048000  285.459716 2.048000 
286.394365 2.048000  290.426774 2.048000 
291.394365 2.048000  295.396347 2.048000 
296.394365 2.048000  300.438656 2.048000 
301.394365 2.048000  305.441902 2.048000 
306.394365 2.048000  310.427434 2.048000 
311.394365 2.048000  315.415509 2.048000 
316.394365 2.048000  320.456453 2.048000 
321.394365 2.048000  325.463516 2.048000 
326.394365 2.048000  330.419338 2.048000 
331.394365 2.048000  335.447375 2.048000 
336.394365 2.048000  340.466317 2.048000 
341.394365 2.048000  345.465454 2.048000 
346.394365 2.048000  350.445236 2.048000 
351.394365 2.048000  355.499896 2.048000 
356.394365 2.048000  360.425700 2.048000 
361.394365 2.048000  365.447856 2.048000 
366.394365 2.048000  370.441451 2.048000 
371.394365 2.048000  375.470418 2.048000 
376.394365 2.048000  380.428551 2.048000 
381.394365 2.048000  385.402736 2.048000 
386.394365 2.048000  390.422348 2.048000 
391.394365 2.048000  395.452902 2.048000 
396.394365 2.048000  400.447662 2.048000 
401.394365 2.048000  405.440145 2.048000 
406.394365 2.048000  410.431145 2.048000 
411.394365 2.048000  415.461085 2.048000 
416.394365 2.048000  420.467763 2.048000 
421.394365 2.048000  425.413597 2.048000 
426.394365 2.048000  430.453420 2.048000 
431.394365 2.048000  435.446941 2.048000 
436.394365 2.048000  440.433046 2.048000 
441.394365 2.048000  445.441951 2.048000 
446.394365 2.048000  450.427755 2.048000 
451.394365 2.048000  455.447816 2.048000 
456.394365 2.048000  460.487005 2.048000 
461.394365 2.048000  465.527530 2.048000 
466.394365 2.048000  470.486657 2.048000 
471.394365 2.048000  475.451400 2.048000 
476.394365 2.048000  480.403555 2.048000 
481.394365 2.048000  485.271892 2.048000 
486.394365 2.048000  490.324207 2.048000 
491.394365 2.048000  495.366390 2.048000 
496.394365 2.048000  500.423668 2.048000 
501.394365 2.048000  505.424892 2.048000 
506.394365 2.048000  510.465796 2.048000 
511.394365 2.048000  515.437658 2.048000 
516.394365 2.048000  520.497370 2.048000 
521.394365 2.048000  525.455309 2.048000 
526.394365 2.048000  530.458983 2.048000 
531.394365 2.048000  535.376996 2.048000 
536.394365 2.048000  540.421752 2.048000 
541.394365 2.048000  545.433370 2.048000 
546.394365 1.792000  549.796397 1.792000 
551.394365 1.792000  554.763211 1.792000 
556.394365 1.792000  559.713865 1.792000 
561.394365 1.792000  564.637235 1.792000 
566.394365 2.048000  570.162657 2.048000 
571.394365 2.048000  575.228338 2.048000 
576.394365 2.048000  580.292290 2.048000 
581.394365 2.048000  585.345808 2.048000 
586.394365 2.048000  590.412596 2.048000 
591.394365 2.048000  595.418642 2.048000 
596.394365 2.048000  600.440882 2.048000 
601.394365 2.048000  605.424748 2.048000 
606.394365 2.048000  610.444102 2.048000 
611.394365 2.048000  615.422072 2.048000 
616.394365 2.048000  620.425813 2.048000 
621.394365 2.048000  625.457332 2.048000 
626.394365 1.792000  629.842763 1.792000 
631.394365 1.792000  634.805804 1.792000 
636.394365 1.792000  639.847062 1.792000 
641.394365 1.792000  644.807539 1.792000 
646.394365 1.792000  649.818061 1.792000 
651.394365 1.792000  654.836760 1.792000 
656.394365 1.792000  659.824230 1.792000 
661.394365 1.792000  664.803394 1.792000 
666.394365 1.792000  669.820124 1.792000 
671.394365 1.792000  674.837722 1.792000 
676.394365 1.792000  679.821416 1.792000 
681.394365 1.792000  684.824064 1.792000 
686.394365 1.792000  689.826905 1.792000 
691.394365 1.792000  694.815077 1.792000 
696.394365 1.792000  699.808037 1.792000 
701.394365 1.792000  704.821539 1.792000 
706.394365 1.792000  709.834787 1.792000 
711.394365 1.792000  714.846078 1.792000 
716.394365 1.792000  719.830235 1.792000 
721.394365 1.792000  724.821819 1.792000 
726.394365 1.792000  729.802540 1.792000 
731.394365 1.792000  734.855565 1.792000 
736.394365 1.792000  739.831331 1.792000 
741.394365 2.048000  745.391088 2.048000 
746.394365 2.048000  750.417501 2.048000 
751.394365 1.792000  754.805999 1.792000 
756.394365 2.048000  760.422619 2.048000 
761.394365 2.048000  765.436018 2.048000 
766.394365 2.048000  770.432527 2.048000 
771.394365 2.048000  775.444394 2.048000 
776.394365 2.048000  780.465988 2.048000 
781.394365 2.048000  785.471039 2.048000 
786.394365 2.048000  790.453044 2.048000 
791.394365 2.048000  795.439094 2.048000 
796.394365 2.048000  800.451625 2.048000 
801.394365 2.048000  805.456442 2.048000 
806.394365 1.792000  809.801005 1.792000 
811.394365 2.048000  815.410933 2.048000 
816.394365 2.048000  820.457610 2.048000 
821.394365 2.048000  825.444250 2.048000 
826.394365 2.048000  830.458858 2.048000 
