# AIMDClient mimuroto
1.188339 0.128000  1.327926 0.128000 
1.327926 0.256000  1.595283 0.256000 
1.595283 0.384000  1.939776 0.384000 
6.595283 0.512000  7.114439 0.512000 
11.595283 0.640000  12.273777 0.640000 
16.595283 0.768000  17.478733 0.768000 
21.595283 0.896000  22.603506 0.896000 
26.595283 1.024000  27.723648 1.024000 
31.595283 1.280000  33.368840 1.280000 
36.595283 1.536000  39.026571 1.536000 
41.595283 1.792000  44.561796 1.792000 
46.595283 1.792000  49.735985 1.792000 
51.595283 1.792000  54.601536 1.792000 
56.595283 1.792000  59.870422 1.792000 
61.595283 1.792000  64.932022 1.792000 
66.595283 1.792000  69.891199 1.792000 
71.595283 1.792000  74.886585 1.792000 
76.595283 1.792000  79.886579 1.792000 
81.595283 1.792000  84.925187 1.792000 
86.595283 1.792000  89.957592 1.792000 
91.595283 1.792000  94.979405 1.792000 
96.595283 1.792000  99.992390 1.792000 
101.595283 1.792000  105.109026 1.792000 
106.595283 1.792000  110.051372 1.792000 
111.595283 1.792000  114.899289 1.792000 
116.595283 1.792000  119.815231 1.792000 
121.595283 1.792000  124.721750 1.792000 
126.595283 1.792000  129.733513 1.792000 
131.595283 1.792000  134.763510 1.792000 
136.595283 1.792000  139.828657 1.792000 
141.595283 1.792000  144.824596 1.792000 
146.595283 1.792000  149.905448 1.792000 
151.595283 1.792000  154.994799 1.792000 
156.595283 1.792000  160.011728 1.792000 
161.595283 1.792000  165.007590 1.792000 
166.595283 1.792000  170.002896 1.792000 
171.595283 1.792000  175.008665 1.792000 
176.595283 1.792000  180.004226 1.792000 
181.595283 1.792000  184.997698 1.792000 
186.595283 1.792000  190.026799 1.792000 
191.595283 1.792000  195.016319 1.792000 
196.595283 1.792000  200.019136 1.792000 
201.595283 1.792000  204.990831 1.792000 
206.595283 1.792000  209.995999 1.792000 
211.595283 1.792000  215.029984 1.792000 
216.595283 1.792000  220.014530 1.792000 
221.595283 1.792000  225.058838 1.792000 
226.595283 1.792000  230.082301 1.792000 
231.595283 1.792000  235.061260 1.792000 
236.595283 1.792000  240.071716 1.792000 
241.595283 1.792000  245.045146 1.792000 
246.595283 1.792000  250.043378 1.792000 
251.595283 1.792000  255.037416 1.792000 
256.595283 1.792000  260.132592 1.792000 
261.595283 1.792000  265.070425 1.792000 
266.595283 1.792000  270.087895 1.792000 
271.595283 1.792000  275.089487 1.792000 
276.595283 1.792000  280.115006 1.792000 
281.595283 1.792000  285.122514 1.792000 
286.595283 1.792000  290.077427 1.792000 
291.595283 1.792000  295.059237 1.792000 
296.595283 1.792000  300.082890 1.792000 
301.595283 1.792000  305.102576 1.792000 
306.595283 1.792000  310.087562 1.792000 
311.595283 1.792000  315.070243 1.792000 
316.595283 1.792000  320.121558 1.792000 
321.595283 1.792000  325.114504 1.792000 
326.595283 1.792000  330.086225 1.792000 
331.595283 1.792000  335.108490 1.792000 
336.595283 1.792000  340.104298 1.792000 
341.595283 1.792000  345.119580 1.792000 
346.595283 1.792000  350.112097 1.792000 
351.595283 1.792000  355.150055 1.792000 
356.595283 1.792000  360.101457 1.792000 
361.595283 1.792000  365.101121 1.792000 
366.595283 1.792000  370.108764 1.792000 
371.595283 1.792000  375.131845 1.792000 
376.595283 1.792000  380.103081 1.792000 
381.595283 1.792000  385.076049 1.792000 
386.595283 1.792000  390.087631 1.792000 
391.595283 1.792000  395.108589 1.792000 
396.595283 1.792000  400.115813 1.792000 
401.595283 1.792000  405.106253 1.792000 
406.595283 1.792000  410.089204 1.792000 
411.595283 1.792000  415.125387 1.792000 
416.595283 1.792000  420.126670 1.792000 
421.595283 1.792000  425.078794 1.792000 
426.595283 1.792000  430.105755 1.792000 
431.595283 1.792000  435.114890 1.792000 
436.595283 1.792000  440.084387 1.792000 
441.595283 1.792000  445.099229 1.792000 
446.595283 1.792000  450.088258 1.792000 
451.595283 1.792000  455.115745 1.792000 
456.595283 1.792000  460.139568 1.792000 
461.595283 1.792000  465.173379 1.792000 
466.595283 1.792000  470.102040 1.792000 
471.595283 1.792000  475.093460 1.792000 
476.595283 1.792000  480.046259 1.792000 
481.595283 1.792000  484.968730 1.792000 
486.595283 1.792000  489.991066 1.792000 
491.595283 1.792000  495.024382 1.792000 
496.595283 1.792000  500.085241 1.792000 
501.595283 1.792000  505.077774 1.792000 
506.595283 1.792000  510.119336 1.792000 
511.595283 1.792000  515.098235 1.792000 
516.595283 1.792000  520.150983 1.792000 
521.595283 1.792000  525.121662 1.792000 
526.595283 1.792000  530.123315 1.792000 
531.595283 1.792000  535.030969 1.792000 
536.595283 1.792000  540.081040 1.792000 
541.595283 1.792000  545.080123 1.792000 
546.595283 1.792000  550.063495 1.792000 
551.595283 1.792000  555.026985 1.792000 
556.595283 1.792000  559.969175 1.792000 
561.595283 1.792000  564.892468 1.792000 
566.595283 1.792000  569.835687 1.792000 
571.595283 1.792000  574.883336 1.792000 
576.595283 1.792000  579.933969 1.792000 
581.595283 1.792000  584.991741 1.792000 
586.595283 1.792000  590.068829 1.792000 
591.595283 1.792000  595.088388 1.792000 
596.595283 1.792000  600.117428 1.792000 
601.595283 1.792000  605.086518 1.792000 
606.595283 1.792000  610.108250 1.792000 
611.595283 1.792000  615.076310 1.792000 
