# VLDDashClient mimuroto
1.021191 0.128000  1.181614 0.128000 
1.181614 3.840000  7.291419 3.840000 
7.291419 3.072000  11.009953 3.072000 
11.009953 3.328000  16.064464 3.328000 
21.009953 3.328000  26.050442 3.328000 
31.009953 3.328000  36.076871 3.328000 
36.076871 3.328000  41.172003 3.328000 
41.172003 3.328000  48.403886 3.328000 
48.403886 3.072000  53.287745 3.072000 
53.403886 3.072000  60.491765 3.072000 
60.491765 2.816000  65.995426 2.816000 
65.995426 2.816000  71.259654 2.816000 
71.259654 2.816000  76.945984 2.816000 
76.945984 2.816000  82.956695 2.816000 
82.956695 2.816000  89.390139 2.816000 
89.390139 2.560000  94.653425 2.560000 
94.653425 2.560000  99.992926 2.560000 
99.992926 2.560000  105.330213 2.560000 
105.330213 2.560000  109.953056 2.560000 
110.330213 2.560000  114.641129 2.560000 
115.330213 2.560000  119.435723 2.560000 
120.330213 2.560000  123.858198 2.560000 
125.330213 2.560000  128.912957 2.560000 
130.330213 2.560000  134.101814 2.560000 
135.330213 2.816000  140.068371 2.816000 
140.330213 2.816000  145.217979 2.816000 
145.330213 2.816000  150.316662 2.816000 
150.330213 2.816000  155.389840 2.816000 
155.389840 2.816000  160.454979 2.816000 
160.454979 2.816000  165.532338 2.816000 
165.532338 2.816000  170.588949 2.816000 
170.588949 2.816000  175.671169 2.816000 
175.671169 2.816000  180.754805 2.816000 
180.754805 2.816000  185.831100 2.816000 
185.831100 2.816000  190.931601 2.816000 
190.931601 2.816000  196.016193 2.816000 
196.016193 2.816000  201.098976 2.816000 
201.098976 2.816000  206.152182 2.816000 
206.152182 2.816000  211.206265 2.816000 
211.206265 2.816000  216.344691 2.816000 
216.344691 2.816000  221.487896 2.816000 
221.487896 2.560000  226.150499 2.560000 
226.487896 2.560000  231.177324 2.560000 
231.487896 2.560000  236.106432 2.560000 
236.487896 2.560000  241.082343 2.560000 
241.487896 2.560000  246.023572 2.560000 
246.487896 2.560000  251.017733 2.560000 
251.487896 2.560000  255.961543 2.560000 
256.487896 2.560000  261.091329 2.560000 
261.487896 2.560000  266.128622 2.560000 
266.487896 2.560000  271.167861 2.560000 
271.487896 2.560000  276.170210 2.560000 
276.487896 2.560000  281.192379 2.560000 
281.487896 2.560000  286.183925 2.560000 
286.487896 2.560000  291.166681 2.560000 
291.487896 2.560000  296.115698 2.560000 
296.487896 2.560000  301.165171 2.560000 
301.487896 2.560000  306.187141 2.560000 
306.487896 2.560000  311.170003 2.560000 
311.487896 2.560000  316.156427 2.560000 
316.487896 2.560000  321.215166 2.560000 
321.487896 2.560000  326.206433 2.560000 
326.487896 2.560000  331.168865 2.560000 
331.487896 2.560000  336.202253 2.560000 
336.487896 2.560000  341.200050 2.560000 
341.487896 2.560000  346.200076 2.560000 
346.487896 2.560000  351.175174 2.560000 
