#play delay
11.009953 6.009953
36.076871 0.066918
41.172003 0.095132
48.403886 2.231883
60.491765 2.087879
65.995426 0.503661
71.259654 0.264228
76.945984 0.686330
82.956695 1.010711
89.390139 1.433444
94.653425 0.263286
99.992926 0.339501
105.330213 0.337287
155.389840 0.059627
160.454979 0.065139
165.532338 0.077359
170.588949 0.056611
175.671169 0.082220
180.754805 0.083636
185.831100 0.076295
190.931601 0.100501
196.016193 0.084592
201.098976 0.082783
206.152182 0.053206
211.206265 0.054083
216.344691 0.138426
221.487896 0.143205
