# AndroidClient mimuroto
1.059848 0.128000  1.404433 0.128000 
1.404433 1.280000  3.612740 1.280000 
6.404433 2.048000  9.815226 2.048000 
11.404433 2.304000  15.311301 2.304000 
16.404433 2.304000  20.399951 2.304000 
21.404433 2.304000  25.464712 2.304000 
26.404433 2.304000  30.615913 2.304000 
31.404433 2.048000  35.329333 2.048000 
36.404433 2.048000  40.423190 2.048000 
41.404433 2.048000  45.523356 2.048000 
46.404433 2.048000  50.535573 2.048000 
51.404433 2.048000  55.535426 2.048000 
56.404433 2.048000  60.484864 2.048000 
61.404433 2.048000  65.427798 2.048000 
66.404433 2.048000  70.360929 2.048000 
71.404433 2.048000  75.316774 2.048000 
76.404433 2.048000  80.300954 2.048000 
81.404433 2.048000  85.283781 2.048000 
86.404433 2.048000  90.275250 2.048000 
91.404433 2.048000  95.393359 2.048000 
96.404433 2.048000  100.487833 2.048000 
101.404433 2.048000  105.449577 2.048000 
106.404433 2.048000  110.451473 2.048000 
111.404433 2.048000  115.415086 2.048000 
116.404433 2.048000  120.368903 2.048000 
121.404433 2.048000  125.352062 2.048000 
126.404433 2.048000  130.408337 2.048000 
131.404433 2.048000  135.449681 2.048000 
136.404433 2.048000  140.435717 2.048000 
141.404433 2.048000  145.386310 2.048000 
146.404433 2.048000  150.387655 2.048000 
151.404433 2.048000  155.343378 2.048000 
156.404433 2.048000  160.439503 2.048000 
161.404433 2.048000  165.409237 2.048000 
166.404433 2.048000  170.454220 2.048000 
171.404433 2.048000  175.390416 2.048000 
176.404433 2.048000  180.343816 2.048000 
181.404433 2.048000  185.348048 2.048000 
186.404433 2.048000  190.444716 2.048000 
191.404433 2.048000  195.429440 2.048000 
196.404433 2.048000  200.473614 2.048000 
201.404433 2.048000  205.369930 2.048000 
206.404433 2.048000  210.325094 2.048000 
211.404433 2.048000  215.460906 2.048000 
216.404433 2.048000  220.454639 2.048000 
221.404433 2.048000  225.462214 2.048000 
226.404433 2.048000  230.392963 2.048000 
231.404433 2.048000  235.321357 2.048000 
236.404433 2.048000  240.311591 2.048000 
241.404433 2.048000  245.297328 2.048000 
246.404433 2.048000  250.277661 2.048000 
251.404433 2.048000  255.254274 2.048000 
256.404433 2.048000  260.399734 2.048000 
261.404433 2.048000  265.497369 2.048000 
266.404433 2.048000  270.485584 2.048000 
271.404433 2.048000  275.437358 2.048000 
276.404433 2.048000  280.411744 2.048000 
281.404433 2.048000  285.352067 2.048000 
286.404433 2.048000  290.277391 2.048000 
291.404433 2.048000  295.338751 2.048000 
296.404433 2.048000  300.385574 2.048000 
301.404433 2.048000  305.475565 2.048000 
306.404433 2.048000  310.480127 2.048000 
311.404433 2.048000  315.385324 2.048000 
316.404433 2.048000  320.304158 2.048000 
321.404433 2.048000  325.187688 2.048000 
326.404433 2.048000  330.242904 2.048000 
331.404433 2.048000  335.317604 2.048000 
336.404433 2.048000  340.430510 2.048000 
341.404433 2.048000  345.425267 2.048000 
346.404433 2.048000  350.459080 2.048000 
351.404433 2.048000  355.440812 2.048000 
356.404433 2.048000  360.469796 2.048000 
361.404433 2.048000  365.473472 2.048000 
366.404433 2.048000  370.320411 2.048000 
371.404433 2.048000  375.247557 2.048000 
376.404433 2.048000  380.127765 2.048000 
381.404433 2.048000  385.004231 2.048000 
386.404433 2.048000  390.064433 2.048000 
391.404433 2.048000  395.138870 2.048000 
396.404433 2.048000  400.194802 2.048000 
401.404433 2.048000  405.297042 2.048000 
406.404433 2.048000  410.374421 2.048000 
411.404433 2.048000  415.410073 2.048000 
416.404433 2.048000  420.424706 2.048000 
421.404433 2.048000  425.445385 2.048000 
426.404433 2.048000  430.450494 2.048000 
431.404433 2.048000  435.421014 2.048000 
436.404433 2.048000  440.484715 2.048000 
441.404433 2.048000  445.425486 2.048000 
446.404433 2.048000  450.449654 2.048000 
451.404433 2.048000  455.405515 2.048000 
456.404433 2.048000  460.428408 2.048000 
461.404433 2.048000  465.391654 2.048000 
466.404433 2.048000  470.429160 2.048000 
471.404433 2.048000  475.413380 2.048000 
476.404433 2.048000  480.443543 2.048000 
481.404433 2.048000  485.493761 2.048000 
486.404433 2.048000  490.465029 2.048000 
491.404433 2.048000  495.414763 2.048000 
496.404433 2.048000  500.305529 2.048000 
501.404433 2.048000  505.291404 2.048000 
506.404433 2.048000  510.197270 2.048000 
511.404433 2.048000  515.142381 2.048000 
516.404433 2.048000  520.050432 2.048000 
521.404433 2.048000  524.978502 2.048000 
526.404433 2.048000  530.078437 2.048000 
531.404433 2.048000  535.126210 2.048000 
536.404433 2.048000  540.208627 2.048000 
541.404433 2.048000  545.249696 2.048000 
546.404433 2.048000  550.308416 2.048000 
551.404433 2.048000  555.401070 2.048000 
556.404433 2.048000  560.448546 2.048000 
561.404433 2.048000  565.542728 2.048000 
566.404433 2.048000  570.487784 2.048000 
571.404433 2.048000  575.513528 2.048000 
576.404433 2.048000  580.497325 2.048000 
581.404433 2.048000  585.559359 2.048000 
586.404433 2.048000  590.520238 2.048000 
591.404433 2.048000  595.497626 2.048000 
596.404433 2.048000  600.512170 2.048000 
601.404433 2.048000  605.502429 2.048000 
606.404433 2.048000  610.488835 2.048000 
611.404433 2.048000  615.491378 2.048000 
616.404433 2.048000  620.500520 2.048000 
621.404433 2.048000  625.521430 2.048000 
626.404433 2.048000  630.509200 2.048000 
631.404433 2.048000  635.493136 2.048000 
636.404433 2.048000  640.522107 2.048000 
641.404433 2.048000  645.541207 2.048000 
646.404433 2.048000  650.510566 2.048000 
651.404433 2.048000  655.511499 2.048000 
656.404433 2.048000  660.468652 2.048000 
661.404433 2.048000  665.486752 2.048000 
666.404433 2.048000  670.502041 2.048000 
671.404433 2.048000  675.527350 2.048000 
676.404433 2.048000  680.514305 2.048000 
681.404433 2.048000  685.476266 2.048000 
686.404433 2.048000  690.501959 2.048000 
691.404433 2.048000  695.531337 2.048000 
696.404433 2.048000  700.484383 2.048000 
701.404433 2.048000  705.495361 2.048000 
706.404433 2.048000  710.513033 2.048000 
711.404433 2.048000  715.535373 2.048000 
716.404433 2.048000  720.522523 2.048000 
721.404433 2.048000  725.533341 2.048000 
726.404433 2.048000  730.518123 2.048000 
731.404433 2.048000  735.513358 2.048000 
736.404433 2.048000  740.503028 2.048000 
741.404433 2.048000  745.515306 2.048000 
746.404433 2.048000  750.519625 2.048000 
751.404433 2.048000  755.494812 2.048000 
756.404433 1.792000  760.132255 1.792000 
761.404433 1.792000  765.118919 1.792000 
766.404433 1.792000  770.123275 1.792000 
771.404433 1.792000  775.118379 1.792000 
776.404433 1.792000  780.086690 1.792000 
781.404433 1.792000  785.160092 1.792000 
786.404433 1.792000  790.121232 1.792000 
791.404433 1.792000  795.133931 1.792000 
796.404433 1.792000  800.118945 1.792000 
801.404433 1.792000  805.111846 1.792000 
806.404433 1.792000  810.123264 1.792000 
811.404433 1.792000  815.099830 1.792000 
816.404433 1.792000  820.118679 1.792000 
821.404433 1.792000  825.112320 1.792000 
826.404433 1.792000  830.112147 1.792000 
831.404433 1.792000  835.113567 1.792000 
836.404433 1.792000  840.130021 1.792000 
841.404433 1.792000  845.122417 1.792000 
846.404433 1.792000  850.113409 1.792000 
851.404433 1.792000  855.132743 1.792000 
856.404433 1.792000  860.113544 1.792000 
861.404433 1.792000  865.128238 1.792000 
866.404433 1.792000  870.087938 1.792000 
871.404433 1.792000  875.150781 1.792000 
876.404433 1.792000  880.123557 1.792000 
881.404433 1.792000  885.146261 1.792000 
886.404433 1.792000  890.126787 1.792000 
891.404433 1.792000  895.093102 1.792000 
