# AIMDClient mimuroto
1.206765 0.128000  1.557965 0.128000 
1.557965 0.256000  2.144867 0.256000 
6.557965 0.384000  7.439827 0.384000 
11.557965 0.512000  12.728157 0.512000 
16.557965 0.640000  18.008647 0.640000 
21.557965 0.768000  23.309808 0.768000 
26.557965 0.896000  28.652641 0.896000 
31.557965 1.024000  33.941426 1.024000 
36.557965 1.280000  39.473445 1.280000 
41.557965 1.280000  44.512204 1.280000 
46.557965 1.280000  49.521499 1.280000 
51.557965 1.280000  54.525774 1.280000 
56.557965 1.280000  59.472964 1.280000 
61.557965 1.280000  64.448902 1.280000 
66.557965 1.280000  69.371989 1.280000 
71.557965 1.280000  74.346857 1.280000 
76.557965 1.280000  79.343220 1.280000 
81.557965 1.280000  84.310256 1.280000 
86.557965 1.280000  89.305882 1.280000 
91.557965 1.280000  94.420630 1.280000 
96.557965 1.280000  99.496209 1.280000 
101.557965 1.280000  104.477074 1.280000 
106.557965 1.280000  109.462339 1.280000 
111.557965 1.280000  114.420572 1.280000 
116.557965 1.280000  119.391902 1.280000 
121.557965 1.280000  124.352856 1.280000 
126.557965 1.280000  129.446135 1.280000 
131.557965 1.280000  134.467191 1.280000 
136.557965 1.280000  139.452011 1.280000 
141.557965 1.280000  144.390190 1.280000 
146.557965 1.280000  149.390712 1.280000 
151.557965 1.280000  154.342586 1.280000 
156.557965 1.280000  159.447496 1.280000 
161.557965 1.280000  164.439105 1.280000 
166.557965 1.280000  169.473504 1.280000 
171.557965 1.280000  174.398789 1.280000 
176.557965 1.280000  179.360228 1.280000 
181.557965 1.280000  184.367396 1.280000 
186.557965 1.280000  189.458287 1.280000 
191.557965 1.280000  194.452062 1.280000 
196.557965 1.280000  199.469276 1.280000 
201.557965 1.280000  204.418280 1.280000 
206.557965 1.280000  209.345250 1.280000 
211.557965 1.280000  214.466855 1.280000 
216.557965 1.280000  219.464235 1.280000 
221.557965 1.280000  224.457366 1.280000 
226.557965 1.280000  229.483962 1.280000 
231.557965 1.280000  234.432672 1.280000 
236.557965 1.280000  239.424215 1.280000 
241.557965 1.280000  244.413017 1.280000 
246.557965 1.280000  249.396912 1.280000 
251.557965 1.280000  254.384139 1.280000 
256.557965 1.280000  259.442717 1.280000 
261.557965 1.280000  264.507032 1.280000 
266.557965 1.280000  269.525508 1.280000 
271.557965 1.280000  274.498891 1.280000 
276.557965 1.280000  279.507887 1.280000 
281.557965 1.280000  284.445433 1.280000 
286.557965 1.280000  289.405198 1.280000 
291.557965 1.280000  294.460822 1.280000 
296.557965 1.280000  299.484465 1.280000 
301.557965 1.280000  304.537928 1.280000 
306.557965 1.280000  309.505301 1.280000 
311.557965 1.280000  314.449320 1.280000 
316.557965 1.280000  319.420820 1.280000 
321.557965 1.280000  324.357939 1.280000 
326.557965 1.280000  329.415204 1.280000 
331.557965 1.280000  334.454977 1.280000 
336.557965 1.280000  339.524380 1.280000 
341.557965 1.280000  344.503073 1.280000 
346.557965 1.280000  349.526672 1.280000 
351.557965 1.280000  354.492324 1.280000 
356.557965 1.280000  359.509941 1.280000 
361.557965 1.280000  364.512993 1.280000 
366.557965 1.280000  369.477813 1.280000 
371.557965 1.280000  374.494468 1.280000 
