# VLDDashClient mimuroto
1.093193 0.128000  1.432964 0.128000 
1.432964 1.792000  4.041482 1.792000 
6.432964 3.072000  10.690323 3.072000 
11.432964 3.328000  16.190755 3.328000 
16.432964 3.328000  21.280778 3.328000 
21.432964 3.328000  26.340332 3.328000 
26.432964 3.328000  31.525291 3.328000 
31.525291 3.328000  36.463962 3.328000 
36.525291 3.328000  41.779311 3.328000 
41.779311 3.328000  47.236870 3.328000 
47.236870 3.328000  52.778506 3.328000 
52.778506 3.072000  57.671954 3.072000 
57.778506 3.072000  62.534953 3.072000 
62.778506 3.072000  67.344986 3.072000 
67.778506 3.072000  72.235547 3.072000 
72.778506 3.072000  77.094911 3.072000 
77.778506 3.072000  82.072812 3.072000 
82.778506 3.072000  86.982601 3.072000 
87.778506 3.328000  92.525992 3.328000 
92.778506 3.328000  97.911051 3.328000 
97.911051 3.328000  103.197310 3.328000 
103.197310 3.328000  108.431800 3.328000 
108.431800 3.072000  113.111154 3.072000 
113.431800 3.072000  117.956072 3.072000 
118.431800 3.072000  122.933838 3.072000 
123.431800 3.328000  128.361675 3.328000 
128.431800 3.328000  133.533397 3.328000 
133.533397 3.328000  138.722839 3.328000 
138.722839 3.072000  143.319526 3.072000 
143.722839 3.072000  148.243381 3.072000 
148.722839 3.072000  153.179893 3.072000 
153.722839 3.328000  158.631870 3.328000 
158.722839 3.328000  163.897909 3.328000 
163.897909 3.328000  169.027611 3.328000 
169.027611 3.072000  173.676925 3.072000 
174.027611 3.072000  178.570406 3.072000 
179.027611 3.072000  183.322415 3.072000 
184.027611 3.328000  189.003374 3.328000 
189.027611 3.328000  194.214546 3.328000 
194.214546 3.328000  199.342187 3.328000 
199.342187 3.072000  204.011691 3.072000 
204.342187 3.072000  208.717714 3.072000 
209.342187 3.328000  214.126438 3.328000 
214.342187 3.328000  219.547811 3.328000 
219.547811 3.328000  224.714250 3.328000 
224.714250 3.072000  229.510656 3.072000 
229.714250 3.072000  234.391969 3.072000 
234.714250 3.072000  239.285862 3.072000 
239.714250 3.072000  244.316123 3.072000 
244.714250 3.072000  249.254061 3.072000 
249.714250 3.072000  254.184864 3.072000 
254.714250 3.328000  259.634558 3.328000 
259.714250 3.328000  264.903685 3.328000 
264.903685 3.072000  269.779799 3.072000 
269.903685 3.072000  274.778490 3.072000 
274.903685 3.072000  279.700323 3.072000 
279.903685 3.072000  284.647803 3.072000 
284.903685 3.072000  289.510171 3.072000 
289.903685 3.072000  294.516197 3.072000 
294.903685 3.072000  299.608889 3.072000 
299.903685 3.072000  304.695479 3.072000 
304.903685 3.072000  309.777476 3.072000 
309.903685 3.072000  314.735510 3.072000 
314.903685 3.072000  319.562249 3.072000 
319.903685 3.072000  324.420825 3.072000 
324.903685 3.072000  329.376152 3.072000 
329.903685 3.072000  334.462522 3.072000 
334.903685 3.072000  339.619849 3.072000 
339.903685 3.072000  344.709796 3.072000 
344.903685 3.072000  349.724794 3.072000 
349.903685 3.072000  354.739293 3.072000 
354.903685 3.072000  359.715694 3.072000 
359.903685 3.072000  364.784976 3.072000 
364.903685 3.072000  369.670981 3.072000 
369.903685 3.072000  374.543302 3.072000 
374.903685 3.072000  379.486092 3.072000 
379.903685 3.072000  384.300685 3.072000 
384.903685 3.072000  389.189132 3.072000 
389.903685 3.072000  394.266174 3.072000 
394.903685 3.072000  399.367355 3.072000 
399.903685 3.072000  404.481953 3.072000 
404.903685 3.072000  409.586394 3.072000 
409.903685 3.072000  414.642322 3.072000 
414.903685 3.072000  419.671027 3.072000 
419.903685 3.072000  424.748081 3.072000 
424.903685 3.072000  429.762881 3.072000 
429.903685 3.072000  434.712754 3.072000 
434.903685 3.072000  439.753585 3.072000 
439.903685 3.072000  444.732700 3.072000 
444.903685 3.072000  449.707145 3.072000 
449.903685 3.072000  454.670736 3.072000 
454.903685 3.072000  459.680348 3.072000 
459.903685 3.072000  464.663800 3.072000 
464.903685 3.072000  469.672837 3.072000 
469.903685 3.072000  474.671026 3.072000 
474.903685 3.072000  479.692345 3.072000 
479.903685 3.072000  484.713105 3.072000 
484.903685 3.072000  489.792678 3.072000 
489.903685 3.072000  494.605669 3.072000 
494.903685 3.072000  499.307815 3.072000 
499.903685 3.072000  503.956489 3.072000 
504.903685 3.072000  508.794003 3.072000 
509.903685 3.072000  513.421679 3.072000 
514.903685 3.072000  518.131716 3.072000 
519.903685 3.072000  522.730954 3.072000 
524.903685 3.328000  528.108635 3.328000 
529.903685 3.328000  533.370184 3.328000 
534.903685 3.328000  538.700088 3.328000 
539.903685 3.328000  543.976024 3.328000 
544.903685 3.328000  549.281156 3.328000 
549.903685 3.328000  554.509035 3.328000 
554.903685 3.328000  559.770587 3.328000 
559.903685 3.328000  564.990247 3.328000 
564.990247 3.328000  570.273723 3.328000 
570.273723 3.328000  575.356896 3.328000 
575.356896 3.328000  580.484038 3.328000 
580.484038 3.328000  585.632595 3.328000 
585.632595 3.328000  590.807481 3.328000 
590.807481 3.328000  595.887268 3.328000 
595.887268 3.328000  600.961121 3.328000 
600.961121 3.328000  606.055885 3.328000 
606.055885 3.328000  611.096257 3.328000 
611.096257 3.328000  616.158169 3.328000 
616.158169 3.328000  621.225452 3.328000 
621.225452 3.328000  626.302907 3.328000 
626.302907 3.328000  631.418049 3.328000 
631.418049 3.328000  636.525409 3.328000 
636.525409 3.328000  641.927528 3.328000 
641.927528 3.328000  647.524535 3.328000 
647.524535 3.328000  652.829080 3.328000 
652.829080 3.328000  658.080325 3.328000 
658.080325 3.328000  663.065651 3.328000 
663.080325 3.328000  668.163475 3.328000 
668.163475 3.328000  673.367159 3.328000 
673.367159 3.328000  678.756275 3.328000 
678.756275 3.328000  684.014619 3.328000 
684.014619 3.328000  688.998109 3.328000 
689.014619 3.328000  694.217748 3.328000 
694.217748 3.328000  699.532358 3.328000 
699.532358 3.328000  704.572719 3.328000 
704.572719 3.328000  709.632928 3.328000 
