#play delay
11.271724 0.000000
21.316857 0.045133
26.460181 0.143324
32.756475 1.296294
38.155116 0.398641
44.036525 0.881409
49.489362 0.452837
54.869026 0.379664
60.179447 0.310421
65.339091 0.159644
70.350886 0.011795
100.507130 0.156244
105.611435 0.104305
110.698815 0.087380
115.757890 0.059075
130.793894 0.036004
135.866656 0.072762
140.954974 0.088318
145.966475 0.011501
150.969229 0.002754
161.024643 0.055414
166.069952 0.045309
171.148597 0.078645
176.172488 0.023891
191.257292 0.084804
196.311455 0.054163
201.404317 0.092862
216.544084 0.139767
221.783660 0.239576
227.033405 0.249745
232.096567 0.063162
262.322556 0.225989
267.681906 0.359350
273.031631 0.349725
278.256169 0.224538
303.318316 0.062147
308.667928 0.349612
343.864529 0.196601
349.050016 0.185487
354.309676 0.259660
359.500443 0.190767
364.721337 0.220894
414.755166 0.033829
419.817973 0.062807
424.963252 0.145279
430.165626 0.202374
435.300849 0.135223
440.495174 0.194325
445.597249 0.102075
450.678286 0.081037
455.712371 0.034085
460.778780 0.066409
465.801636 0.022856
470.870319 0.068683
475.908653 0.038334
480.974208 0.065555
486.097540 0.123332
646.100626 0.003086
