# AndroidClient mimuroto
1.219260 0.128000  1.566099 0.128000 
1.566099 1.280000  3.976605 1.280000 
6.566099 1.792000  9.736933 1.792000 
11.566099 2.048000  14.183165 2.048000 
16.566099 2.304000  20.138546 2.304000 
21.566099 2.304000  24.724143 2.304000 
26.566099 2.560000  30.716254 2.560000 
31.566099 2.304000  36.108887 2.304000 
36.566099 2.304000  40.551679 2.304000 
41.566099 2.304000  46.129194 2.304000 
46.566099 2.304000  51.051183 2.304000 
51.566099 2.304000  56.070466 2.304000 
56.566099 2.304000  61.092046 2.304000 
61.566099 2.048000  65.696747 2.048000 
66.566099 2.048000  70.613251 2.048000 
71.566099 2.048000  75.598584 2.048000 
76.566099 2.048000  80.612172 2.048000 
81.566099 2.048000  85.627289 2.048000 
86.566099 2.048000  90.587103 2.048000 
91.566099 2.048000  95.633290 2.048000 
96.566099 2.048000  100.554009 2.048000 
101.566099 2.048000  105.516010 2.048000 
106.566099 2.048000  110.524857 2.048000 
111.566099 2.048000  115.606691 2.048000 
116.566099 2.048000  120.616778 2.048000 
121.566099 2.048000  125.552514 2.048000 
126.566099 2.048000  130.518142 2.048000 
131.566099 2.048000  135.452975 2.048000 
136.566099 2.048000  140.559819 2.048000 
141.566099 2.048000  145.600923 2.048000 
146.566099 2.048000  150.587065 2.048000 
151.566099 2.048000  155.617239 2.048000 
156.566099 2.048000  160.589210 2.048000 
161.566099 2.048000  165.525529 2.048000 
166.566099 2.048000  170.483080 2.048000 
171.566099 2.048000  175.586527 2.048000 
176.566099 2.048000  180.603370 2.048000 
181.566099 2.048000  185.617720 2.048000 
186.566099 2.048000  190.529606 2.048000 
191.566099 2.048000  195.524859 2.048000 
196.566099 2.048000  200.468233 2.048000 
201.566099 2.048000  205.538599 2.048000 
206.566099 2.048000  210.590006 2.048000 
211.566099 2.048000  215.609721 2.048000 
216.566099 2.048000  220.593834 2.048000 
221.566099 2.048000  225.563479 2.048000 
226.566099 2.048000  230.507520 2.048000 
231.566099 2.048000  235.481749 2.048000 
236.566099 2.048000  240.572214 2.048000 
241.566099 2.048000  245.603768 2.048000 
246.566099 2.048000  250.571569 2.048000 
251.566099 2.048000  255.500360 2.048000 
256.566099 2.048000  260.552867 2.048000 
261.566099 2.048000  265.609559 2.048000 
266.566099 2.048000  270.641418 2.048000 
271.566099 2.048000  275.590564 2.048000 
276.566099 2.048000  280.598830 2.048000 
281.566099 2.048000  285.600571 2.048000 
286.566099 2.048000  290.624584 2.048000 
291.566099 2.048000  295.584498 2.048000 
296.566099 2.048000  300.623434 2.048000 
301.566099 2.048000  305.571598 2.048000 
306.566099 2.048000  310.512229 2.048000 
311.566099 2.048000  315.372012 2.048000 
316.566099 2.048000  320.278078 2.048000 
321.566099 2.048000  325.353794 2.048000 
326.566099 2.048000  330.421553 2.048000 
331.566099 2.048000  335.505757 2.048000 
336.566099 2.048000  340.611912 2.048000 
341.566099 2.048000  345.623198 2.048000 
346.566099 2.048000  350.588585 2.048000 
351.566099 2.048000  355.568052 2.048000 
356.566099 2.048000  360.588871 2.048000 
361.566099 2.048000  365.590481 2.048000 
366.566099 2.048000  370.613651 2.048000 
371.566099 2.048000  375.579220 2.048000 
376.566099 2.048000  380.581431 2.048000 
381.566099 2.048000  385.572123 2.048000 
386.566099 2.048000  390.567314 2.048000 
391.566099 2.048000  395.565945 2.048000 
396.566099 2.048000  400.617241 2.048000 
401.566099 2.048000  405.557836 2.048000 
406.566099 2.048000  410.606772 2.048000 
411.566099 2.048000  415.618287 2.048000 
416.566099 2.048000  420.612077 2.048000 
421.566099 2.048000  425.580647 2.048000 
426.566099 2.048000  430.539050 2.048000 
431.566099 2.048000  435.466091 2.048000 
436.566099 2.048000  440.399694 2.048000 
441.566099 2.048000  445.440807 2.048000 
446.566099 2.048000  450.448924 2.048000 
451.566099 2.048000  455.500338 2.048000 
456.566099 2.048000  460.544349 2.048000 
461.566099 2.048000  465.615273 2.048000 
466.566099 2.048000  470.689041 2.048000 
471.566099 2.048000  475.666546 2.048000 
476.566099 2.048000  480.668527 2.048000 
481.566099 2.048000  485.673387 2.048000 
486.566099 2.048000  490.638358 2.048000 
491.566099 2.048000  495.638010 2.048000 
496.566099 2.048000  500.654236 2.048000 
501.566099 2.048000  505.665221 2.048000 
506.566099 2.048000  510.685062 2.048000 
511.566099 2.048000  515.643563 2.048000 
516.566099 2.048000  520.634730 2.048000 
521.566099 2.048000  525.636105 2.048000 
526.566099 1.792000  530.299005 1.792000 
531.566099 1.792000  535.307462 1.792000 
536.566099 1.792000  540.250276 1.792000 
541.566099 1.792000  545.279023 1.792000 
546.566099 1.792000  550.276451 1.792000 
551.566099 1.792000  555.254666 1.792000 
556.566099 1.792000  560.243212 1.792000 
561.566099 1.792000  565.241659 1.792000 
566.566099 1.792000  570.253918 1.792000 
571.566099 1.792000  575.245936 1.792000 
576.566099 1.792000  580.258643 1.792000 
581.566099 1.792000  585.261293 1.792000 
586.566099 1.792000  590.264192 1.792000 
591.566099 1.792000  595.291036 1.792000 
596.566099 1.792000  600.277518 1.792000 
601.566099 1.792000  605.255162 1.792000 
606.566099 1.792000  610.279350 1.792000 
611.566099 1.792000  615.241411 1.792000 
616.566099 1.792000  620.278420 1.792000 
621.566099 1.792000  625.285629 1.792000 
626.566099 1.792000  630.265228 1.792000 
631.566099 1.792000  635.278016 1.792000 
636.566099 1.792000  640.260017 1.792000 
641.566099 1.792000  645.300645 1.792000 
646.566099 1.792000  650.256166 1.792000 
651.566099 1.792000  655.257213 1.792000 
656.566099 1.792000  660.253167 1.792000 
661.566099 1.792000  665.284971 1.792000 
666.566099 1.792000  670.251544 1.792000 
671.566099 1.792000  675.278397 1.792000 
676.566099 1.792000  680.294706 1.792000 
681.566099 1.792000  685.277804 1.792000 
686.566099 1.792000  690.290923 1.792000 
691.566099 1.792000  695.262916 1.792000 
696.566099 1.792000  700.264794 1.792000 
701.566099 1.792000  705.272520 1.792000 
706.566099 1.792000  710.289534 1.792000 
711.566099 1.792000  715.275334 1.792000 
716.566099 1.792000  720.269358 1.792000 
721.566099 1.792000  725.276057 1.792000 
726.566099 1.792000  730.310300 1.792000 
731.566099 1.792000  735.236367 1.792000 
736.566099 1.792000  740.276660 1.792000 
741.566099 1.792000  745.241778 1.792000 
746.566099 1.792000  750.242238 1.792000 
751.566099 1.792000  755.250094 1.792000 
756.566099 1.792000  760.273944 1.792000 
761.566099 1.792000  765.265796 1.792000 
766.566099 1.792000  770.255045 1.792000 
771.566099 1.792000  775.277525 1.792000 
776.566099 1.792000  780.245775 1.792000 
781.566099 1.792000  785.258974 1.792000 
786.566099 1.792000  790.263540 1.792000 
791.566099 1.792000  795.271784 1.792000 
796.566099 1.792000  800.254212 1.792000 
801.566099 1.792000  805.272259 1.792000 
806.566099 1.792000  810.265708 1.792000 
811.566099 1.792000  815.252664 1.792000 
816.566099 1.792000  820.278058 1.792000 
821.566099 1.792000  825.287139 1.792000 
826.566099 1.792000  830.235156 1.792000 
831.566099 1.792000  835.262105 1.792000 
836.566099 1.792000  840.294211 1.792000 
841.566099 1.792000  845.260147 1.792000 
846.566099 1.792000  850.308167 1.792000 
851.566099 1.792000  855.273185 1.792000 
856.566099 1.792000  860.270014 1.792000 
861.566099 1.792000  865.282426 1.792000 
866.566099 1.792000  870.285657 1.792000 
871.566099 1.792000  875.258768 1.792000 
876.566099 1.792000  880.255239 1.792000 
881.566099 1.792000  885.320791 1.792000 
886.566099 1.792000  890.290584 1.792000 
891.566099 1.792000  894.283464 1.792000 
