# AIMDClient mimuroto
1.206765 0.128000  1.557965 0.128000 
1.557965 0.256000  2.151566 0.256000 
2.151566 0.384000  3.025811 0.384000 
7.151566 0.512000  8.362147 0.512000 
12.151566 0.640000  13.241533 0.640000 
17.151566 0.768000  18.663315 0.768000 
22.151566 0.896000  23.872700 0.896000 
27.151566 1.024000  29.233909 1.024000 
32.151566 1.280000  35.149487 1.280000 
37.151566 1.280000  39.818624 1.280000 
42.151566 1.280000  45.145115 1.280000 
47.151566 1.280000  50.093852 1.280000 
52.151566 1.280000  55.105978 1.280000 
57.151566 1.280000  60.125038 1.280000 
62.151566 1.280000  65.095091 1.280000 
67.151566 1.280000  70.070216 1.280000 
72.151566 1.280000  75.065248 1.280000 
77.151566 1.280000  80.077628 1.280000 
82.151566 1.280000  85.083126 1.280000 
87.151566 1.280000  90.060203 1.280000 
92.151566 1.280000  95.080246 1.280000 
97.151566 1.280000  100.000056 1.280000 
102.151566 1.280000  104.969092 1.280000 
107.151566 1.280000  109.963617 1.280000 
112.151566 1.280000  115.062339 1.280000 
117.151566 1.280000  120.069579 1.280000 
122.151566 1.280000  124.998107 1.280000 
127.151566 1.280000  129.958297 1.280000 
132.151566 1.280000  134.924309 1.280000 
137.151566 1.280000  139.999402 1.280000 
142.151566 1.280000  145.054115 1.280000 
147.151566 1.280000  150.047894 1.280000 
152.151566 1.280000  155.086519 1.280000 
157.151566 1.280000  160.051394 1.280000 
162.151566 1.280000  164.985121 1.280000 
167.151566 1.280000  169.941107 1.280000 
172.151566 1.280000  175.029440 1.280000 
177.151566 1.280000  180.056379 1.280000 
182.151566 1.280000  185.057716 1.280000 
187.151566 1.280000  189.989853 1.280000 
192.151566 1.280000  194.976774 1.280000 
197.151566 1.280000  199.940640 1.280000 
202.151566 1.280000  205.039194 1.280000 
207.151566 1.280000  210.041782 1.280000 
212.151566 1.280000  215.071804 1.280000 
217.151566 1.280000  220.048506 1.280000 
222.151566 1.280000  225.015615 1.280000 
227.151566 1.280000  229.958449 1.280000 
232.151566 1.280000  234.945183 1.280000 
237.151566 1.280000  240.028465 1.280000 
242.151566 1.280000  245.066221 1.280000 
247.151566 1.280000  250.048456 1.280000 
252.151566 1.280000  254.993079 1.280000 
