# VLDDashClient mimuroto
1.093193 0.128000  1.432964 0.128000 
1.432964 1.792000  4.335291 1.792000 
4.335291 2.816000  6.547358 2.816000 
6.547358 4.096000  11.644103 4.096000 
16.547358 4.096000  21.554044 4.096000 
26.547358 4.096000  32.425429 4.096000 
32.425429 3.840000  38.435961 3.840000 
38.435961 3.584000  44.137937 3.584000 
44.137937 3.584000  50.628710 3.584000 
50.628710 3.328000  56.170350 3.328000 
56.170350 3.328000  61.647712 3.328000 
61.647712 3.328000  67.034244 3.328000 
67.034244 3.328000  72.273600 3.328000 
72.273600 3.328000  77.506220 3.328000 
77.506220 3.328000  82.795496 3.328000 
82.795496 3.328000  88.040806 3.328000 
88.040806 3.328000  93.232654 3.328000 
93.232654 3.072000  97.923781 3.072000 
98.232654 3.072000  102.776443 3.072000 
103.232654 3.072000  107.630062 3.072000 
108.232654 3.328000  113.204625 3.328000 
113.232654 3.328000  118.462367 3.328000 
118.462367 3.072000  123.115954 3.072000 
123.462367 3.072000  127.986598 3.072000 
128.462367 3.072000  132.873434 3.072000 
133.462367 3.328000  138.082764 3.328000 
138.462367 3.328000  143.580581 3.328000 
143.580581 3.328000  148.716184 3.328000 
148.716184 3.328000  153.852323 3.328000 
153.852323 3.328000  159.076799 3.328000 
159.076799 3.072000  163.652131 3.072000 
164.076799 3.072000  168.437657 3.072000 
169.076799 3.328000  173.954416 3.328000 
174.076799 3.328000  179.248712 3.328000 
179.248712 3.328000  184.477998 3.328000 
184.477998 3.072000  189.111342 3.072000 
189.477998 3.072000  193.998415 3.072000 
194.477998 3.072000  198.905000 3.072000 
199.477998 3.328000  204.376389 3.328000 
204.477998 3.328000  209.577719 3.328000 
209.577719 3.328000  214.736191 3.328000 
214.736191 3.328000  219.957421 3.328000 
219.957421 3.072000  224.599643 3.072000 
224.957421 3.072000  229.500833 3.072000 
229.957421 3.072000  234.409853 3.072000 
234.957421 3.328000  239.909666 3.328000 
239.957421 3.328000  245.095488 3.328000 
245.095488 3.072000  249.812181 3.072000 
250.095488 3.072000  254.678521 3.072000 
255.095488 3.072000  259.693542 3.072000 
260.095488 3.072000  264.751505 3.072000 
265.095488 3.072000  269.851255 3.072000 
270.095488 3.072000  274.924999 3.072000 
275.095488 3.072000  279.802456 3.072000 
280.095488 3.072000  284.807399 3.072000 
285.095488 3.072000  289.862498 3.072000 
290.095488 3.072000  294.820734 3.072000 
295.095488 3.072000  299.850799 3.072000 
300.095488 3.072000  304.834325 3.072000 
305.095488 3.072000  309.751138 3.072000 
310.095488 3.072000  314.619157 3.072000 
315.095488 3.072000  319.398424 3.072000 
320.095488 3.072000  324.337797 3.072000 
325.095488 3.072000  329.448886 3.072000 
330.095488 3.072000  334.606633 3.072000 
335.095488 3.072000  339.702909 3.072000 
340.095488 3.072000  344.842653 3.072000 
345.095488 3.072000  349.844686 3.072000 
350.095488 3.072000  354.781121 3.072000 
355.095488 3.072000  359.753311 3.072000 
360.095488 3.072000  364.800575 3.072000 
365.095488 3.072000  369.796242 3.072000 
370.095488 3.072000  374.865334 3.072000 
375.095488 3.072000  379.775357 3.072000 
380.095488 3.072000  384.745927 3.072000 
