#play delay
8.452356 3.452356
18.452356 0.000000
45.276107 1.823751
51.430347 1.154240
58.277659 1.847312
64.954662 1.677003
70.349227 0.394565
75.510219 0.160992
80.630445 0.120226
85.745925 0.115480
90.804852 0.058927
95.915087 0.110235
100.949095 0.034008
116.025453 0.076358
121.120918 0.095465
126.140454 0.019536
141.170547 0.030093
146.238023 0.067476
151.282771 0.044748
156.368806 0.086035
161.445321 0.076515
176.542892 0.097571
181.686536 0.143644
186.853164 0.166628
191.869310 0.016146
206.932318 0.063008
212.024600 0.092282
217.220058 0.195458
222.417319 0.197261
227.495548 0.078229
242.660230 0.164682
247.890238 0.230008
252.996911 0.106673
263.071620 0.074709
268.292289 0.220669
273.650147 0.357858
278.833748 0.183601
284.069443 0.235695
289.310545 0.241102
294.555963 0.245418
299.778922 0.222959
339.798800 0.019878
345.008173 0.209373
350.173667 0.165494
355.282853 0.109186
360.371747 0.088894
365.493049 0.121302
370.608549 0.115500
375.680220 0.071671
380.736263 0.056043
385.774727 0.038464
390.827231 0.052504
395.862992 0.035761
400.967148 0.104156
406.010449 0.043301
411.092824 0.082375
416.192580 0.099756
