# AndroidClient mimuroto
1.360184 0.128000  1.425633 0.128000 
1.425633 5.120000  11.503485 5.120000 
11.503485 2.048000  14.385152 2.048000 
16.503485 2.048000  18.950119 2.048000 
21.503485 2.304000  24.573479 2.304000 
26.503485 2.304000  29.839409 2.304000 
31.503485 2.304000  35.214977 2.304000 
36.503485 2.304000  40.039903 2.304000 
41.503485 2.304000  45.546760 2.304000 
46.503485 2.304000  49.886220 2.304000 
51.503485 2.304000  55.629247 2.304000 
56.503485 2.304000  60.733420 2.304000 
61.503485 2.304000  65.735323 2.304000 
66.503485 2.304000  70.821286 2.304000 
71.503485 2.304000  75.890344 2.304000 
76.503485 2.304000  80.916136 2.304000 
81.503485 2.304000  85.919418 2.304000 
86.503485 2.304000  90.955508 2.304000 
91.503485 2.304000  96.002630 2.304000 
96.503485 2.304000  101.054977 2.304000 
101.503485 2.304000  106.107222 2.304000 
106.503485 2.048000  110.468548 2.048000 
111.503485 2.048000  115.508839 2.048000 
116.503485 2.048000  120.498352 2.048000 
121.503485 2.048000  125.454984 2.048000 
126.503485 2.048000  130.466148 2.048000 
131.503485 2.048000  135.496740 2.048000 
136.503485 2.048000  140.493519 2.048000 
141.503485 2.048000  145.437964 2.048000 
146.503485 2.048000  150.505810 2.048000 
151.503485 2.048000  155.507727 2.048000 
156.503485 2.048000  160.482013 2.048000 
161.503485 2.048000  165.505340 2.048000 
166.503485 2.048000  170.477510 2.048000 
171.503485 2.048000  175.504337 2.048000 
176.503485 2.048000  180.472147 2.048000 
181.503485 2.048000  185.511166 2.048000 
186.503485 2.048000  190.502216 2.048000 
191.503485 2.048000  195.492106 2.048000 
196.503485 2.048000  200.521562 2.048000 
201.503485 2.048000  205.499906 2.048000 
206.503485 2.048000  210.471464 2.048000 
211.503485 2.048000  215.502616 2.048000 
216.503485 2.048000  220.487906 2.048000 
221.503485 2.048000  225.476828 2.048000 
226.503485 2.048000  230.478797 2.048000 
231.503485 2.048000  235.475745 2.048000 
236.503485 2.048000  240.480012 2.048000 
241.503485 2.048000  245.479844 2.048000 
246.503485 2.048000  250.487268 2.048000 
251.503485 2.048000  255.511641 2.048000 
256.503485 2.048000  260.516508 2.048000 
261.503485 2.048000  265.542714 2.048000 
266.503485 2.048000  270.531984 2.048000 
271.503485 2.048000  275.552090 2.048000 
276.503485 2.048000  280.551176 2.048000 
281.503485 2.048000  285.524214 2.048000 
286.503485 2.048000  290.673495 2.048000 
291.503485 2.048000  295.590906 2.048000 
296.503485 2.048000  300.545318 2.048000 
301.503485 2.048000  305.577133 2.048000 
306.503485 2.048000  310.675997 2.048000 
311.503485 2.048000  315.602861 2.048000 
316.503485 2.048000  320.562100 2.048000 
321.503485 2.048000  325.458929 2.048000 
326.503485 2.048000  330.542618 2.048000 
331.503485 2.048000  335.607498 2.048000 
336.503485 2.048000  340.614561 2.048000 
341.503485 2.048000  345.686294 2.048000 
346.503485 2.048000  350.562318 2.048000 
351.503485 2.048000  355.713778 2.048000 
356.503485 2.048000  360.558501 2.048000 
361.503485 2.048000  365.612222 2.048000 
366.503485 2.048000  370.721024 2.048000 
371.503485 2.048000  375.572304 2.048000 
376.503485 2.048000  380.638757 2.048000 
381.503485 2.048000  385.644772 2.048000 
386.503485 2.048000  390.528770 2.048000 
391.503485 2.048000  395.582411 2.048000 
396.503485 2.048000  400.680324 2.048000 
401.503485 2.048000  405.604224 2.048000 
406.503485 2.048000  410.531169 2.048000 
411.503485 2.048000  415.578963 2.048000 
416.503485 2.048000  420.634910 2.048000 
421.503485 2.048000  425.636089 2.048000 
426.503485 2.048000  430.637522 2.048000 
431.503485 2.048000  435.608314 2.048000 
436.503485 2.048000  440.536616 2.048000 
441.503485 2.048000  445.620100 2.048000 
446.503485 2.048000  450.580372 2.048000 
451.503485 2.048000  455.621429 2.048000 
456.503485 2.048000  460.689922 2.048000 
461.503485 2.048000  465.584535 2.048000 
466.503485 2.048000  470.628685 2.048000 
471.503485 2.048000  475.622214 2.048000 
476.503485 2.048000  480.743056 2.048000 
481.503485 2.048000  485.731533 2.048000 
486.503485 2.048000  490.683342 2.048000 
491.503485 2.048000  495.610727 2.048000 
