# AIMDClient mimuroto
1.247922 0.128000  1.359011 0.128000 
1.359011 0.256000  1.623759 0.256000 
1.623759 0.384000  1.921466 0.384000 
6.623759 0.512000  7.025808 0.512000 
11.623759 0.640000  12.134004 0.640000 
16.623759 0.768000  17.219091 0.768000 
21.623759 0.896000  22.353723 0.896000 
26.623759 1.024000  27.500460 1.024000 
31.623759 1.280000  32.896520 1.280000 
36.623759 1.536000  38.324869 1.536000 
41.623759 1.792000  44.101434 1.792000 
46.623759 2.048000  49.403134 2.048000 
51.623759 2.048000  54.892932 2.048000 
56.623759 2.048000  59.988071 2.048000 
61.623759 2.048000  64.980900 2.048000 
66.623759 2.048000  70.043231 2.048000 
71.623759 2.048000  75.082751 2.048000 
76.623759 2.048000  80.112002 2.048000 
81.623759 2.048000  85.103474 2.048000 
86.623759 2.048000  90.130986 2.048000 
91.623759 2.048000  95.159350 2.048000 
96.623759 2.048000  100.185071 2.048000 
101.623759 2.048000  105.225062 2.048000 
106.623759 2.048000  110.591704 2.048000 
111.623759 2.048000  115.621661 2.048000 
116.623759 2.048000  120.618916 2.048000 
121.623759 2.048000  125.569464 2.048000 
126.623759 2.048000  130.595100 2.048000 
131.623759 2.048000  135.620070 2.048000 
136.623759 2.048000  140.616438 2.048000 
141.623759 2.048000  145.561351 2.048000 
146.623759 2.048000  150.627306 2.048000 
151.623759 2.048000  155.623795 2.048000 
156.623759 2.048000  160.599532 2.048000 
161.623759 2.048000  165.619314 2.048000 
166.623759 2.048000  170.598445 2.048000 
171.623759 2.048000  175.630549 2.048000 
176.623759 2.048000  180.594922 2.048000 
181.623759 2.048000  185.633894 2.048000 
186.623759 2.048000  190.622300 2.048000 
191.623759 2.048000  195.611414 2.048000 
196.623759 2.048000  200.640164 2.048000 
201.623759 2.048000  205.618236 2.048000 
206.623759 2.048000  210.594391 2.048000 
211.623759 2.048000  215.621009 2.048000 
216.623759 2.048000  220.609604 2.048000 
221.623759 2.048000  225.599735 2.048000 
226.623759 2.048000  230.602732 2.048000 
231.623759 2.048000  235.595331 2.048000 
236.623759 2.048000  240.601904 2.048000 
241.623759 2.048000  245.606532 2.048000 
246.623759 2.048000  250.610540 2.048000 
251.623759 2.048000  255.635830 2.048000 
256.623759 2.048000  260.643092 2.048000 
261.623759 2.048000  265.663646 2.048000 
266.623759 2.048000  270.654481 2.048000 
271.623759 2.048000  275.666032 2.048000 
276.623759 2.048000  280.663611 2.048000 
281.623759 2.048000  285.650136 2.048000 
286.623759 2.048000  290.798026 2.048000 
291.623759 2.048000  295.735482 2.048000 
296.623759 2.048000  300.709438 2.048000 
301.623759 2.048000  305.731875 2.048000 
306.623759 2.048000  310.830862 2.048000 
311.623759 2.048000  315.800387 2.048000 
316.623759 2.048000  320.772845 2.048000 
321.623759 2.048000  325.658820 2.048000 
326.623759 2.048000  330.719573 2.048000 
331.623759 2.048000  335.757923 2.048000 
336.623759 2.048000  340.765083 2.048000 
341.623759 2.048000  345.846531 2.048000 
346.623759 2.048000  350.714761 2.048000 
351.623759 2.048000  355.863871 2.048000 
356.623759 2.048000  360.705990 2.048000 
361.623759 2.048000  365.757947 2.048000 
366.623759 2.048000  370.842307 2.048000 
371.623759 2.048000  375.706541 2.048000 
376.623759 2.048000  380.786977 2.048000 
381.623759 2.048000  385.810521 2.048000 
386.623759 2.048000  390.672954 2.048000 
391.623759 2.048000  395.750753 2.048000 
396.623759 2.048000  400.822802 2.048000 
401.623759 2.048000  405.777075 2.048000 
406.623759 2.048000  410.690174 2.048000 
411.623759 2.048000  415.732067 2.048000 
416.623759 2.048000  420.792857 2.048000 
421.623759 2.048000  425.797168 2.048000 
426.623759 2.048000  430.777448 2.048000 
431.623759 2.048000  435.767753 2.048000 
436.623759 2.048000  440.672128 2.048000 
441.623759 2.048000  445.775010 2.048000 
446.623759 2.048000  450.749396 2.048000 
451.623759 2.048000  455.772796 2.048000 
456.623759 2.048000  460.796403 2.048000 
461.623759 2.048000  465.746992 2.048000 
466.623759 2.048000  470.780199 2.048000 
471.623759 2.048000  475.772674 2.048000 
476.623759 2.048000  480.888798 2.048000 
481.623759 2.048000  485.845915 2.048000 
486.623759 2.048000  490.798430 2.048000 
491.623759 2.048000  495.763154 2.048000 
496.623759 2.048000  500.795863 2.048000 
501.623759 2.048000  505.751741 2.048000 
506.623759 2.048000  510.778101 2.048000 
511.623759 2.048000  515.782838 2.048000 
516.623759 2.048000  520.872810 2.048000 
521.623759 2.048000  525.885076 2.048000 
526.623759 2.048000  530.771156 2.048000 
531.623759 2.048000  535.708592 2.048000 
536.623759 2.048000  540.678620 2.048000 
541.623759 2.048000  545.692180 2.048000 
546.623759 2.048000  550.670566 2.048000 
551.623759 2.048000  555.745556 2.048000 
556.623759 2.048000  560.671464 2.048000 
561.623759 2.048000  565.671270 2.048000 
566.623759 2.048000  570.701585 2.048000 
571.623759 2.048000  575.719785 2.048000 
576.623759 2.048000  580.704883 2.048000 
581.623759 2.048000  585.885337 2.048000 
586.623759 2.048000  590.877943 2.048000 
591.623759 2.048000  595.726654 2.048000 
596.623759 2.048000  600.889395 2.048000 
601.623759 2.048000  605.863866 2.048000 
606.623759 2.048000  610.776775 2.048000 
611.623759 2.048000  615.827415 2.048000 
616.623759 2.048000  620.876200 2.048000 
621.623759 2.048000  625.893754 2.048000 
626.623759 2.048000  630.909730 2.048000 
631.623759 2.048000  635.701967 2.048000 
636.623759 2.048000  640.888727 2.048000 
641.623759 2.048000  645.803936 2.048000 
646.623759 2.048000  650.770847 2.048000 
651.623759 2.048000  655.886249 2.048000 
656.623759 2.048000  660.892340 2.048000 
661.623759 2.048000  665.927884 2.048000 
666.623759 2.048000  670.714435 2.048000 
671.623759 2.048000  675.872606 2.048000 
676.623759 2.048000  680.799948 2.048000 
681.623759 2.048000  685.798350 2.048000 
686.623759 2.048000  690.874801 2.048000 
691.623759 2.048000  695.893728 2.048000 
696.623759 2.048000  700.919462 2.048000 
701.623759 2.048000  705.685453 2.048000 
706.623759 2.048000  710.881740 2.048000 
711.623759 2.048000  715.866371 2.048000 
716.623759 2.048000  720.701022 2.048000 
721.623759 2.048000  725.881037 2.048000 
726.623759 2.048000  730.859798 2.048000 
731.623759 2.048000  735.755418 2.048000 
736.623759 2.048000  740.767618 2.048000 
741.623759 2.048000  745.884789 2.048000 
746.623759 2.048000  750.906789 2.048000 
751.623759 2.048000  755.767810 2.048000 
756.623759 2.048000  760.856469 2.048000 
761.623759 2.048000  765.808975 2.048000 
766.623759 2.048000  770.867849 2.048000 
771.623759 2.048000  775.876637 2.048000 
776.623759 2.048000  780.878672 2.048000 
781.623759 2.048000  785.815591 2.048000 
786.623759 2.048000  790.895978 2.048000 
791.623759 2.048000  795.807078 2.048000 
796.623759 2.048000  800.898842 2.048000 
801.623759 2.048000  805.916719 2.048000 
806.623759 2.048000  810.902832 2.048000 
811.623759 2.048000  815.904200 2.048000 
