# VLDDashClient mimuroto
1.117154 0.128000  1.240468 0.128000 
1.240468 5.120000  11.494191 5.120000 
11.494191 2.304000  14.823108 2.304000 
14.823108 2.560000  16.422189 2.560000 
19.823108 3.072000  21.282968 3.072000 
24.823108 3.840000  28.910263 3.840000 
29.823108 3.840000  35.582170 3.840000 
39.823108 3.840000  45.638851 3.840000 
49.823108 3.584000  53.357179 3.584000 
54.823108 3.840000  65.413068 3.840000 
65.413068 3.328000  72.876118 3.328000 
72.876118 3.072000  80.969132 3.072000 
80.969132 3.072000  88.032171 3.072000 
88.032171 2.816000  95.005277 2.816000 
95.005277 2.816000  101.165327 2.816000 
101.165327 2.816000  108.007884 2.816000 
108.007884 2.560000  113.279018 2.560000 
113.279018 2.560000  118.627282 2.560000 
118.627282 2.560000  123.981687 2.560000 
123.981687 2.560000  129.099632 2.560000 
129.099632 2.560000  134.339946 2.560000 
134.339946 2.560000  139.639131 2.560000 
139.639131 2.560000  144.917928 2.560000 
144.917928 2.560000  150.044508 2.560000 
150.044508 2.560000  155.407993 2.560000 
155.407993 2.560000  160.615204 2.560000 
160.615204 2.560000  165.688814 2.560000 
165.688814 2.560000  170.755974 2.560000 
170.755974 2.560000  175.850178 2.560000 
175.850178 2.560000  180.919600 2.560000 
180.919600 2.560000  186.029213 2.560000 
186.029213 2.560000  191.126331 2.560000 
191.126331 2.560000  196.198412 2.560000 
196.198412 2.560000  201.307661 2.560000 
201.307661 2.560000  206.379410 2.560000 
206.379410 2.560000  211.448912 2.560000 
211.448912 2.560000  216.613273 2.560000 
216.613273 2.560000  221.923630 2.560000 
221.923630 2.560000  227.138924 2.560000 
227.138924 2.560000  232.421849 2.560000 
232.421849 2.560000  237.651808 2.560000 
237.651808 2.560000  242.976110 2.560000 
242.976110 2.560000  248.261543 2.560000 
248.261543 2.560000  253.566670 2.560000 
253.566670 2.560000  259.012498 2.560000 
259.012498 2.560000  264.489385 2.560000 
264.489385 2.560000  270.070139 2.560000 
270.070139 2.560000  275.582646 2.560000 
275.582646 2.560000  280.784951 2.560000 
280.784951 2.560000  285.908510 2.560000 
285.908510 2.560000  291.244103 2.560000 
291.244103 2.560000  296.416551 2.560000 
296.416551 2.560000  301.471682 2.560000 
301.471682 2.560000  306.633792 2.560000 
306.633792 2.304000  311.419890 2.304000 
311.633792 2.304000  316.408217 2.304000 
316.633792 2.304000  321.346384 2.304000 
321.633792 2.304000  326.196757 2.304000 
326.633792 2.304000  331.248005 2.304000 
331.633792 2.304000  336.285847 2.304000 
336.633792 2.304000  341.285945 2.304000 
341.633792 2.304000  346.434620 2.304000 
346.633792 2.304000  351.264432 2.304000 
351.633792 2.304000  356.447102 2.304000 
356.633792 2.304000  361.241126 2.304000 
361.633792 2.304000  366.288596 2.304000 
366.633792 2.304000  371.437159 2.304000 
371.633792 2.304000  376.240458 2.304000 
376.633792 2.304000  381.313047 2.304000 
381.633792 2.304000  386.402448 2.304000 
386.633792 2.304000  391.206194 2.304000 
391.633792 2.304000  396.285102 2.304000 
396.633792 2.304000  401.350686 2.304000 
401.633792 2.304000  406.367890 2.304000 
406.633792 2.304000  411.214331 2.304000 
411.633792 2.304000  416.258288 2.304000 
416.633792 2.304000  421.321203 2.304000 
421.633792 2.304000  426.413263 2.304000 
426.633792 2.304000  431.311670 2.304000 
431.633792 2.304000  436.363013 2.304000 
436.633792 2.304000  441.223930 2.304000 
441.633792 2.304000  446.307746 2.304000 
446.633792 2.304000  451.277108 2.304000 
451.633792 2.304000  456.359775 2.304000 
456.633792 2.304000  461.245260 2.304000 
461.633792 2.304000  466.280533 2.304000 
466.633792 2.304000  471.317495 2.304000 
471.633792 2.304000  476.321710 2.304000 
476.633792 2.304000  481.227473 2.304000 
481.633792 2.304000  486.143583 2.304000 
486.633792 2.304000  491.101777 2.304000 
491.633792 2.304000  496.184224 2.304000 
496.633792 2.304000  501.321791 2.304000 
501.633792 2.304000  506.271441 2.304000 
506.633792 2.304000  511.311895 2.304000 
511.633792 2.304000  516.328752 2.304000 
516.633792 2.304000  521.322144 2.304000 
521.633792 2.304000  526.332789 2.304000 
526.633792 2.304000  531.216361 2.304000 
531.633792 2.304000  536.155274 2.304000 
536.633792 2.304000  541.137970 2.304000 
541.633792 2.304000  546.135686 2.304000 
546.633792 2.304000  551.120343 2.304000 
551.633792 2.304000  556.193032 2.304000 
556.633792 2.304000  561.121736 2.304000 
561.633792 2.304000  566.127832 2.304000 
566.633792 2.304000  571.155306 2.304000 
571.633792 2.304000  576.157631 2.304000 
576.633792 2.304000  581.146897 2.304000 
581.633792 2.304000  586.311161 2.304000 
586.633792 2.304000  591.315666 2.304000 
591.633792 2.304000  596.182669 2.304000 
596.633792 2.304000  601.331803 2.304000 
601.633792 2.304000  606.308368 2.304000 
606.633792 2.304000  611.225610 2.304000 
611.633792 2.304000  616.272703 2.304000 
616.633792 2.304000  621.323688 2.304000 
621.633792 2.304000  626.344501 2.304000 
626.633792 2.304000  631.351180 2.304000 
631.633792 2.304000  636.152512 2.304000 
636.633792 2.304000  641.336550 2.304000 
641.633792 2.304000  646.232457 2.304000 
646.633792 2.304000  651.225004 2.304000 
651.633792 2.304000  656.328571 2.304000 
656.633792 2.304000  661.330587 2.304000 
661.633792 2.304000  666.382702 2.304000 
666.633792 2.304000  671.155374 2.304000 
671.633792 2.304000  676.308761 2.304000 
676.633792 2.304000  681.241960 2.304000 
681.633792 2.304000  686.238965 2.304000 
686.633792 2.304000  691.314203 2.304000 
691.633792 2.304000  696.338071 2.304000 
696.633792 2.304000  701.368597 2.304000 
701.633792 2.304000  706.139918 2.304000 
706.633792 2.304000  711.332287 2.304000 
711.633792 2.304000  716.301126 2.304000 
716.633792 2.304000  721.156089 2.304000 
721.633792 2.304000  726.317451 2.304000 
726.633792 2.304000  731.296015 2.304000 
731.633792 2.304000  736.204257 2.304000 
736.633792 2.304000  741.210917 2.304000 
741.633792 2.304000  746.335308 2.304000 
746.633792 2.304000  751.350129 2.304000 
751.633792 2.304000  756.223163 2.304000 
756.633792 2.304000  761.296085 2.304000 
761.633792 2.304000  766.271974 2.304000 
766.633792 2.304000  771.304650 2.304000 
771.633792 2.304000  776.324261 2.304000 
776.633792 2.304000  781.328692 2.304000 
781.633792 2.304000  786.256772 2.304000 
786.633792 2.304000  791.336368 2.304000 
791.633792 2.304000  796.250532 2.304000 
796.633792 2.304000  801.351703 2.304000 
801.633792 2.304000  806.362508 2.304000 
806.633792 2.304000  811.356166 2.304000 
811.633792 2.304000  816.348560 2.304000 
816.633792 2.304000  821.215913 2.304000 
821.633792 2.304000  826.266806 2.304000 
826.633792 2.304000  831.336406 2.304000 
831.633792 2.304000  836.387440 2.304000 
836.633792 2.304000  841.350267 2.304000 
841.633792 2.304000  846.360191 2.304000 
846.633792 2.304000  851.212800 2.304000 
851.633792 2.304000  856.323220 2.304000 
856.633792 2.304000  861.207306 2.304000 
861.633792 2.304000  866.340861 2.304000 
866.633792 2.304000  871.309849 2.304000 
871.633792 2.304000  876.315646 2.304000 
