#play delay
10.831160 5.831160
56.168969 0.337809
61.787768 0.618799
69.457856 2.670088
75.251004 0.793148
80.968044 0.717040
86.314154 0.346110
92.459264 1.145110
99.588054 2.128790
104.810238 0.222184
110.606026 0.795788
115.701885 0.095859
120.797374 0.095489
125.838893 0.041519
130.898417 0.059524
135.991170 0.092753
141.066127 0.074957
146.094557 0.028430
151.180432 0.085875
156.280948 0.100516
161.339347 0.058399
166.415749 0.076402
171.488950 0.073201
176.744601 0.255651
182.002896 0.258295
187.473530 0.470634
192.779889 0.306359
198.063120 0.283231
203.447618 0.384498
208.691541 0.243923
213.952611 0.261070
219.348874 0.396263
224.667867 0.318993
229.886117 0.218250
235.162783 0.276666
240.407175 0.244392
245.618443 0.211268
250.697026 0.078583
255.804001 0.106975
260.928882 0.124881
266.077279 0.148397
271.205035 0.127756
276.368010 0.162975
281.510068 0.142058
286.951785 0.441717
337.196039 0.244254
342.548683 0.352644
352.736751 0.188068
362.737210 0.000459
367.892586 0.155376
383.403864 0.511278
398.682550 0.278686
404.444218 0.761668
419.458758 0.014540
425.076038 0.617280
435.555705 0.479667
450.806302 0.250597
455.894739 0.088437
465.925055 0.030316
471.006817 0.081762
476.137725 0.130908
506.244733 0.107008
511.307738 0.063005
516.386315 0.078577
