# AndroidClient mimuroto
1.227072 0.128000  1.498927 0.128000 
1.498927 1.792000  4.490249 1.792000 
6.498927 2.304000  9.925326 2.304000 
11.498927 2.304000  14.296875 2.304000 
16.498927 2.560000  19.668397 2.560000 
21.498927 2.816000  25.725395 2.816000 
26.498927 2.816000  30.272451 2.816000 
31.498927 2.816000  36.187905 2.816000 
36.498927 2.560000  40.477138 2.560000 
41.498927 2.560000  46.080903 2.560000 
46.498927 2.560000  51.416699 2.560000 
51.498927 2.560000  56.432856 2.560000 
56.498927 2.304000  61.049067 2.304000 
61.498927 2.304000  66.056729 2.304000 
66.498927 2.304000  71.104049 2.304000 
71.498927 2.304000  76.122834 2.304000 
76.498927 2.304000  81.123358 2.304000 
81.498927 2.304000  86.116063 2.304000 
86.498927 2.304000  91.110606 2.304000 
91.498927 2.304000  96.174521 2.304000 
96.498927 2.048000  100.665932 2.048000 
101.498927 2.048000  105.670456 2.048000 
106.498927 2.048000  110.675681 2.048000 
111.498927 2.048000  115.704266 2.048000 
116.498927 2.048000  120.689741 2.048000 
121.498927 2.048000  125.666551 2.048000 
126.498927 2.048000  130.695044 2.048000 
131.498927 2.048000  135.695268 2.048000 
136.498927 2.048000  140.732682 2.048000 
141.498927 2.048000  145.599827 2.048000 
146.498927 2.048000  150.523905 2.048000 
151.498927 2.048000  155.581667 2.048000 
156.498927 2.048000  160.673628 2.048000 
161.498927 2.048000  165.653307 2.048000 
166.498927 2.048000  170.704974 2.048000 
171.498927 2.048000  175.728349 2.048000 
176.498927 2.048000  180.640464 2.048000 
181.498927 2.048000  185.559918 2.048000 
186.498927 2.048000  190.689116 2.048000 
191.498927 2.048000  195.679918 2.048000 
196.498927 2.048000  200.711114 2.048000 
201.498927 2.048000  205.554975 2.048000 
206.498927 2.048000  210.594609 2.048000 
211.498927 2.048000  215.689098 2.048000 
216.498927 2.048000  220.680305 2.048000 
221.498927 2.048000  225.563665 2.048000 
226.498927 2.048000  230.692491 2.048000 
231.498927 2.048000  235.712826 2.048000 
236.498927 2.048000  240.603559 2.048000 
241.498927 2.048000  245.705163 2.048000 
246.498927 2.048000  250.695005 2.048000 
251.498927 2.048000  255.597737 2.048000 
256.498927 2.048000  260.614614 2.048000 
261.498927 2.048000  265.740023 2.048000 
266.498927 2.048000  270.750786 2.048000 
271.498927 2.048000  275.751267 2.048000 
