# AIMDClient mimuroto
1.212741 0.128000  1.493253 0.128000 
1.493253 0.256000  1.902921 0.256000 
1.902921 0.384000  2.530413 0.384000 
6.902921 0.512000  7.674375 0.512000 
11.902921 0.640000  12.887243 0.640000 
16.902921 0.768000  17.983470 0.768000 
21.902921 0.896000  23.300628 0.896000 
26.902921 1.024000  28.371735 1.024000 
31.902921 1.280000  34.056173 1.280000 
36.902921 1.536000  39.362473 1.536000 
41.902921 1.792000  45.138753 1.792000 
46.902921 1.792000  50.335416 1.792000 
51.902921 1.792000  55.353656 1.792000 
56.902921 1.792000  60.467276 1.792000 
61.902921 1.792000  65.472418 1.792000 
66.902921 1.792000  70.503032 1.792000 
71.902921 1.792000  75.518501 1.792000 
76.902921 1.792000  80.514511 1.792000 
81.902921 1.792000  85.502516 1.792000 
86.902921 1.792000  90.499844 1.792000 
91.902921 1.792000  95.540901 1.792000 
96.902921 1.792000  100.579335 1.792000 
101.902921 1.792000  105.582928 1.792000 
106.902921 1.792000  110.590723 1.792000 
111.902921 1.792000  115.612683 1.792000 
116.902921 1.792000  120.602694 1.792000 
121.902921 1.792000  125.581920 1.792000 
126.902921 1.792000  130.605528 1.792000 
131.902921 1.792000  135.596377 1.792000 
136.902921 1.792000  140.636463 1.792000 
141.902921 1.792000  145.536093 1.792000 
146.902921 1.792000  150.490316 1.792000 
151.902921 1.792000  155.531879 1.792000 
156.902921 1.792000  160.585317 1.792000 
161.902921 1.792000  165.574523 1.792000 
166.902921 1.792000  170.612792 1.792000 
171.902921 1.792000  175.629907 1.792000 
176.902921 1.792000  180.547928 1.792000 
181.902921 1.792000  185.457122 1.792000 
186.902921 1.792000  190.595840 1.792000 
191.902921 1.792000  195.578974 1.792000 
196.902921 1.792000  200.623312 1.792000 
201.902921 1.792000  205.460298 1.792000 
206.902921 1.792000  210.500444 1.792000 
211.902921 1.792000  215.599182 1.792000 
216.902921 1.792000  220.593071 1.792000 
221.902921 1.792000  225.477265 1.792000 
226.902921 1.792000  230.599416 1.792000 
231.902921 1.792000  235.625006 1.792000 
236.902921 1.792000  240.506236 1.792000 
241.902921 1.792000  245.617202 1.792000 
246.902921 1.792000  250.592321 1.792000 
251.902921 1.792000  255.503208 1.792000 
256.902921 1.792000  260.526139 1.792000 
261.902921 1.792000  265.653594 1.792000 
266.902921 1.792000  270.661595 1.792000 
271.902921 1.792000  275.667845 1.792000 
276.902921 1.792000  280.629345 1.792000 
281.902921 1.792000  285.537934 1.792000 
286.902921 1.792000  290.449427 1.792000 
291.902921 1.792000  295.482328 1.792000 
296.902921 1.792000  300.524347 1.792000 
301.902921 1.792000  305.582636 1.792000 
306.902921 1.792000  310.621774 1.792000 
311.902921 1.792000  315.610155 1.792000 
316.902921 1.792000  320.642778 1.792000 
321.902921 1.792000  325.646365 1.792000 
326.902921 1.792000  330.635136 1.792000 
331.902921 1.792000  335.625195 1.792000 
336.902921 1.792000  340.645991 1.792000 
341.902921 1.792000  345.648003 1.792000 
346.902921 1.792000  350.657502 1.792000 
351.902921 1.792000  355.618972 1.792000 
356.902921 1.792000  360.664317 1.792000 
361.902921 1.792000  365.594739 1.792000 
366.902921 1.792000  370.633591 1.792000 
371.902921 1.792000  375.508398 1.792000 
376.902921 1.792000  380.466083 1.792000 
381.902921 1.792000  385.415971 1.792000 
386.902921 1.792000  390.332582 1.792000 
391.902921 1.792000  395.487914 1.792000 
396.902921 1.792000  400.531480 1.792000 
401.902921 1.792000  405.529069 1.792000 
406.902921 1.792000  410.540502 1.792000 
411.902921 1.792000  415.603093 1.792000 
416.902921 1.792000  420.512711 1.792000 
421.902921 1.792000  425.478368 1.792000 
426.902921 1.792000  430.529471 1.792000 
431.902921 1.792000  435.470190 1.792000 
436.902921 1.792000  440.483506 1.792000 
441.902921 1.792000  445.458324 1.792000 
446.902921 1.792000  450.437716 1.792000 
451.902921 1.792000  455.401116 1.792000 
456.902921 1.792000  460.379939 1.792000 
461.902921 1.792000  465.423017 1.792000 
466.902921 1.792000  470.458064 1.792000 
471.902921 1.792000  475.424983 1.792000 
476.902921 1.792000  480.348488 1.792000 
481.902921 1.792000  485.417568 1.792000 
486.902921 1.792000  490.440208 1.792000 
491.902921 1.792000  495.468372 1.792000 
496.902921 1.792000  500.502789 1.792000 
501.902921 1.792000  505.445542 1.792000 
506.902921 1.792000  510.408055 1.792000 
511.902921 1.792000  515.336251 1.792000 
516.902921 1.792000  520.357898 1.792000 
521.902921 1.792000  525.336693 1.792000 
526.902921 1.792000  530.285369 1.792000 
531.902921 1.792000  535.354979 1.792000 
536.902921 1.792000  540.356892 1.792000 
541.902921 1.792000  545.318943 1.792000 
546.902921 1.792000  550.333362 1.792000 
551.902921 1.792000  555.327841 1.792000 
556.902921 1.792000  560.346531 1.792000 
561.902921 1.792000  565.292921 1.792000 
566.902921 1.792000  570.370980 1.792000 
571.902921 1.792000  575.313764 1.792000 
576.902921 1.792000  580.328887 1.792000 
581.902921 1.792000  585.338490 1.792000 
586.902921 1.792000  590.378238 1.792000 
591.902921 1.792000  595.325801 1.792000 
596.902921 1.792000  600.313670 1.792000 
601.902921 1.792000  605.316489 1.792000 
606.902921 1.792000  610.344229 1.792000 
611.902921 1.792000  615.312607 1.792000 
616.902921 1.792000  620.337417 1.792000 
621.902921 1.792000  625.373421 1.792000 
626.902921 1.792000  630.331159 1.792000 
631.902921 1.792000  635.316445 1.792000 
636.902921 1.792000  640.334758 1.792000 
641.902921 1.792000  645.298026 1.792000 
646.902921 1.792000  650.322415 1.792000 
651.902921 1.792000  655.351548 1.792000 
656.902921 1.792000  660.352918 1.792000 
661.902921 1.792000  665.354174 1.792000 
666.902921 1.792000  670.308735 1.792000 
671.902921 1.792000  675.339603 1.792000 
676.902921 1.792000  680.338520 1.792000 
681.902921 1.792000  685.332885 1.792000 
686.902921 1.792000  690.359442 1.792000 
691.902921 1.792000  695.336220 1.792000 
696.902921 1.792000  700.309137 1.792000 
701.902921 1.792000  705.337525 1.792000 
706.902921 1.792000  710.300451 1.792000 
711.902921 1.792000  715.324853 1.792000 
716.902921 1.792000  720.410807 1.792000 
721.902921 1.792000  725.415906 1.792000 
726.902921 1.792000  730.433719 1.792000 
731.902921 1.792000  735.415340 1.792000 
736.902921 1.792000  740.445235 1.792000 
741.902921 1.792000  745.429430 1.792000 
746.902921 1.792000  750.471122 1.792000 
751.902921 1.792000  755.430629 1.792000 
756.902921 1.792000  760.425375 1.792000 
761.902921 1.792000  765.404837 1.792000 
766.902921 1.792000  770.436918 1.792000 
771.902921 1.792000  775.433089 1.792000 
776.902921 1.792000  780.448017 1.792000 
781.902921 1.792000  785.550624 1.792000 
786.902921 1.792000  790.528087 1.792000 
791.902921 1.792000  795.527780 1.792000 
796.902921 1.792000  800.570813 1.792000 
801.902921 1.792000  805.579622 1.792000 
