# VLDDashClient mimuroto
1.087085 0.128000  1.411476 0.128000 
1.411476 1.792000  4.468591 1.792000 
4.468591 2.816000  6.878555 2.816000 
6.878555 3.840000  12.961396 3.840000 
16.878555 3.584000  21.066779 3.584000 
21.878555 3.584000  26.319244 3.584000 
26.878555 3.584000  31.452964 3.584000 
31.878555 3.840000  39.858594 3.840000 
41.878555 3.328000  48.830058 3.328000 
48.830058 3.072000  55.535805 3.072000 
55.535805 3.072000  61.435306 3.072000 
61.435306 3.072000  67.713619 3.072000 
67.713619 2.816000  73.455882 2.816000 
73.455882 2.816000  79.269235 2.816000 
79.269235 2.816000  85.118216 2.816000 
85.118216 2.816000  90.722797 2.816000 
90.722797 2.816000  96.211674 2.816000 
96.211674 2.816000  101.262305 2.816000 
101.262305 2.816000  106.302850 2.816000 
106.302850 2.816000  111.379604 2.816000 
111.379604 2.816000  116.512352 2.816000 
116.512352 2.816000  121.670592 2.816000 
121.670592 2.816000  126.790997 2.816000 
126.790997 2.816000  132.034389 2.816000 
132.034389 2.816000  137.352557 2.816000 
137.352557 2.560000  141.799815 2.560000 
142.352557 2.560000  146.622255 2.560000 
147.352557 2.816000  152.170298 2.816000 
152.352557 2.816000  157.344054 2.816000 
157.352557 2.816000  162.558215 2.816000 
162.558215 2.816000  167.715032 2.816000 
167.715032 2.816000  173.009438 2.816000 
173.009438 2.560000  177.413791 2.560000 
178.009438 2.560000  182.219761 2.560000 
183.009438 2.816000  187.975403 2.816000 
188.009438 2.816000  193.279237 2.816000 
193.279237 2.816000  198.493966 2.816000 
198.493966 2.560000  202.822533 2.560000 
203.493966 2.816000  208.343450 2.816000 
208.493966 2.816000  213.526520 2.816000 
213.526520 2.816000  218.777331 2.816000 
218.777331 2.560000  223.043582 2.560000 
223.777331 2.816000  228.791942 2.816000 
228.791942 2.816000  234.091838 2.816000 
234.091838 2.560000  238.470671 2.560000 
239.091838 2.816000  244.113539 2.816000 
244.113539 2.816000  249.407244 2.816000 
249.407244 2.560000  253.673247 2.560000 
254.407244 2.560000  258.502576 2.560000 
259.407244 2.816000  264.607833 2.816000 
264.607833 2.816000  270.074461 2.816000 
270.074461 2.560000  274.776531 2.560000 
275.074461 2.560000  279.643518 2.560000 
280.074461 2.560000  284.400762 2.560000 
285.074461 2.560000  288.872889 2.560000 
290.074461 2.816000  294.202246 2.816000 
295.074461 2.816000  299.361371 2.816000 
300.074461 2.816000  304.661094 2.816000 
305.074461 2.816000  309.972412 2.816000 
310.074461 2.816000  315.224491 2.816000 
315.224491 2.816000  320.330436 2.816000 
320.330436 2.816000  325.620398 2.816000 
325.620398 2.816000  330.716845 2.816000 
330.716845 2.816000  335.756149 2.816000 
335.756149 2.816000  340.861769 2.816000 
340.861769 2.816000  345.950760 2.816000 
345.950760 2.816000  351.078161 2.816000 
351.078161 2.816000  356.119993 2.816000 
356.119993 2.816000  361.259775 2.816000 
361.259775 2.816000  366.235442 2.816000 
366.259775 2.816000  371.334451 2.816000 
371.334451 2.816000  376.168708 2.816000 
376.334451 2.816000  381.081230 2.816000 
381.334451 2.816000  385.963171 2.816000 
386.334451 2.816000  390.790828 2.816000 
391.334451 2.816000  396.092787 2.816000 
396.334451 2.816000  401.199274 2.816000 
401.334451 2.816000  406.260215 2.816000 
406.334451 2.816000  411.367586 2.816000 
411.367586 2.816000  416.458870 2.816000 
416.458870 2.816000  421.390805 2.816000 
421.458870 2.816000  426.301035 2.816000 
426.458870 2.816000  431.343272 2.816000 
431.458870 2.816000  436.202112 2.816000 
436.458870 2.816000  441.122684 2.816000 
441.458870 2.816000  446.012172 2.816000 
446.458870 2.816000  450.957173 2.816000 
451.458870 2.816000  455.874895 2.816000 
456.458870 2.816000  460.851010 2.816000 
461.458870 2.816000  465.911358 2.816000 
466.458870 2.816000  470.987821 2.816000 
471.458870 2.816000  475.914182 2.816000 
476.458870 2.816000  480.814167 2.816000 
481.458870 2.816000  485.894134 2.816000 
486.458870 2.816000  490.936151 2.816000 
491.458870 2.816000  496.023769 2.816000 
496.458870 2.816000  501.081818 2.816000 
501.458870 2.816000  505.954268 2.816000 
506.458870 2.816000  510.902314 2.816000 
511.458870 2.816000  515.795269 2.816000 
516.458870 2.816000  520.809641 2.816000 
521.458870 2.816000  525.793546 2.816000 
526.458870 2.816000  530.749084 2.816000 
531.458870 2.816000  535.809549 2.816000 
536.458870 2.816000  540.821006 2.816000 
541.458870 2.816000  545.768075 2.816000 
546.458870 2.816000  550.793412 2.816000 
551.458870 2.816000  555.780644 2.816000 
556.458870 2.816000  560.796919 2.816000 
561.458870 2.816000  565.748951 2.816000 
566.458870 2.816000  570.840961 2.816000 
571.458870 2.816000  575.763648 2.816000 
576.458870 2.816000  580.784608 2.816000 
581.458870 2.816000  585.776620 2.816000 
586.458870 2.816000  590.838793 2.816000 
591.458870 2.816000  595.772189 2.816000 
596.458870 2.816000  600.763539 2.816000 
601.458870 2.816000  605.774021 2.816000 
606.458870 2.816000  610.806190 2.816000 
611.458870 2.816000  615.774703 2.816000 
616.458870 2.816000  620.795003 2.816000 
621.458870 2.816000  625.865236 2.816000 
626.458870 2.816000  630.789657 2.816000 
631.458870 2.816000  635.787128 2.816000 
636.458870 2.816000  640.795845 2.816000 
641.458870 2.816000  645.763230 2.816000 
646.458870 2.816000  650.773578 2.816000 
651.458870 2.816000  655.802619 2.816000 
656.458870 2.816000  660.801373 2.816000 
661.458870 2.816000  665.814130 2.816000 
666.458870 2.816000  670.768590 2.816000 
671.458870 2.816000  675.790580 2.816000 
676.458870 2.816000  680.799588 2.816000 
681.458870 2.816000  685.783732 2.816000 
686.458870 2.816000  690.806068 2.816000 
691.458870 2.816000  695.793539 2.816000 
696.458870 2.816000  700.763466 2.816000 
701.458870 2.816000  705.791924 2.816000 
706.458870 2.816000  710.749732 2.816000 
711.458870 2.816000  715.787233 2.816000 
716.458870 2.816000  720.901860 2.816000 
721.458870 2.816000  725.917675 2.816000 
726.458870 2.816000  730.979082 2.816000 
731.458870 2.816000  736.049222 2.816000 
736.458870 2.816000  741.149741 2.816000 
741.458870 2.816000  746.212296 2.816000 
746.458870 2.816000  751.325256 2.816000 
751.458870 2.816000  756.293376 2.816000 
756.458870 2.816000  761.286428 2.816000 
761.458870 2.816000  766.253397 2.816000 
766.458870 2.816000  771.283106 2.816000 
771.458870 2.816000  776.326824 2.816000 
776.458870 2.816000  781.321040 2.816000 
781.458870 2.816000  786.466884 2.816000 
786.466884 2.816000  791.403248 2.816000 
791.466884 2.816000  796.393038 2.816000 
796.466884 2.816000  801.540608 2.816000 
801.540608 2.816000  806.623877 2.816000 
806.623877 2.816000  811.754068 2.816000 
811.754068 2.816000  816.899152 2.816000 
816.899152 2.816000  822.115961 2.816000 
822.115961 2.816000  827.221690 2.816000 
827.221690 2.816000  832.392105 2.816000 
832.392105 2.816000  837.587661 2.816000 
837.587661 2.816000  842.799079 2.816000 
842.799079 2.816000  848.029965 2.816000 
848.029965 2.816000  853.281832 2.816000 
853.281832 2.816000  858.449441 2.816000 
858.449441 2.816000  863.706481 2.816000 
863.706481 2.816000  868.920377 2.816000 
868.920377 2.816000  874.153516 2.816000 
874.153516 2.816000  879.283413 2.816000 
879.283413 2.816000  884.464733 2.816000 
884.464733 2.816000  888.882137 2.816000 
889.464733 2.816000  892.919010 2.816000 
894.464733 2.816000  895.564940 2.816000 
899.464733 2.816000  900.578108 2.816000 
904.464733 2.816000  905.573401 2.816000 
909.464733 2.816000  910.579656 2.816000 
914.464733 2.816000  915.585984 2.816000 
