#play delay
6.878555 1.878555
48.830058 1.951503
55.535805 1.705747
61.435306 0.899501
67.713619 1.278313
73.455882 0.742263
79.269235 0.813353
85.118216 0.848981
90.722797 0.604581
96.211674 0.488877
101.262305 0.050631
106.302850 0.040545
111.379604 0.076754
116.512352 0.132748
121.670592 0.158240
126.790997 0.120405
132.034389 0.243392
137.352557 0.318168
162.558215 0.205658
167.715032 0.156817
173.009438 0.294406
193.279237 0.269799
198.493966 0.214729
213.526520 0.032554
218.777331 0.250811
228.791942 0.014611
234.091838 0.299896
244.113539 0.021701
249.407244 0.293705
264.607833 0.200589
270.074461 0.466628
315.224491 0.150030
320.330436 0.105945
325.620398 0.289962
330.716845 0.096447
335.756149 0.039304
340.861769 0.105620
345.950760 0.088991
351.078161 0.127401
356.119993 0.041832
361.259775 0.139782
371.334451 0.074676
411.367586 0.033135
416.458870 0.091284
516.458870 0.000000
786.466884 0.008014
801.540608 0.073724
806.623877 0.083269
811.754068 0.130191
816.899152 0.145084
822.115961 0.216809
827.221690 0.105729
832.392105 0.170415
837.587661 0.195556
842.799079 0.211418
848.029965 0.230886
853.281832 0.251867
858.449441 0.167609
863.706481 0.257040
868.920377 0.213896
874.153516 0.233139
879.283413 0.129897
884.464733 0.181320
