# AndroidClient mimuroto
1.139760 0.128000  1.257443 0.128000 
1.257443 4.096000  7.736921 4.096000 
7.736921 2.560000  9.934829 2.560000 
12.736921 3.072000  16.604615 3.072000 
17.736921 3.072000  19.660033 3.072000 
22.736921 3.328000  26.472476 3.328000 
27.736921 3.328000  30.412655 3.328000 
32.736921 3.584000  40.609579 3.584000 
40.609579 3.072000  45.683319 3.072000 
45.683319 3.072000  52.346914 3.072000 
52.346914 2.816000  57.531760 2.816000 
57.531760 2.560000  62.731410 2.560000 
62.731410 2.560000  68.055348 2.560000 
68.055348 2.560000  73.667931 2.560000 
73.667931 2.560000  79.628275 2.560000 
79.628275 2.304000  84.003316 2.304000 
84.628275 2.304000  88.934208 2.304000 
89.628275 2.304000  93.931312 2.304000 
94.628275 2.304000  98.942696 2.304000 
99.628275 2.304000  103.976258 2.304000 
104.628275 2.304000  109.128091 2.304000 
109.628275 2.304000  114.381682 2.304000 
114.628275 2.304000  119.520480 2.304000 
119.628275 2.304000  124.669560 2.304000 
124.669560 2.304000  129.782741 2.304000 
129.782741 2.048000  133.543166 2.048000 
134.782741 2.048000  138.353857 2.048000 
139.782741 2.048000  143.115439 2.048000 
144.782741 2.048000  147.885412 2.048000 
149.782741 2.304000  153.802731 2.304000 
154.782741 2.304000  158.896663 2.304000 
159.782741 2.304000  164.056577 2.304000 
164.782741 2.048000  168.044983 2.048000 
169.782741 2.304000  173.906674 2.304000 
174.782741 2.048000  177.923031 2.048000 
179.782741 2.304000  183.792680 2.304000 
184.782741 2.304000  188.698703 2.304000 
189.782741 2.304000  194.185980 2.304000 
194.782741 2.304000  199.326401 2.304000 
199.782741 2.048000  203.239862 2.048000 
204.782741 2.048000  207.993416 2.048000 
209.782741 2.048000  212.516576 2.048000 
214.782741 2.304000  218.682894 2.304000 
219.782741 2.304000  223.858057 2.304000 
224.782741 2.304000  228.901977 2.304000 
229.782741 2.304000  234.219082 2.304000 
234.782741 2.304000  239.483957 2.304000 
239.782741 2.048000  243.543609 2.048000 
244.782741 2.048000  248.339190 2.048000 
249.782741 2.048000  253.050535 2.048000 
