# AIMDClient mimuroto
1.229678 0.128000  1.380719 0.128000 
1.380719 0.256000  1.665428 0.256000 
1.665428 0.384000  1.990680 0.384000 
6.665428 0.512000  7.033734 0.512000 
11.665428 0.640000  12.129301 0.640000 
16.665428 0.768000  17.250560 0.768000 
21.665428 0.896000  22.394026 0.896000 
26.665428 1.024000  27.463586 1.024000 
31.665428 1.280000  32.811400 1.280000 
36.665428 1.536000  38.334406 1.536000 
41.665428 1.792000  43.634031 1.792000 
46.665428 2.048000  49.621077 2.048000 
51.665428 2.048000  54.521571 2.048000 
56.665428 2.048000  59.997296 2.048000 
61.665428 2.048000  65.079489 2.048000 
66.665428 2.048000  70.045982 2.048000 
71.665428 2.048000  75.221953 2.048000 
76.665428 2.048000  80.184457 2.048000 
81.665428 2.048000  85.132573 2.048000 
86.665428 2.048000  90.079805 2.048000 
91.665428 2.048000  95.115313 2.048000 
96.665428 2.048000  100.111944 2.048000 
101.665428 2.048000  105.168707 2.048000 
106.665428 2.048000  110.189371 2.048000 
111.665428 2.048000  115.471679 2.048000 
116.665428 2.048000  120.594063 2.048000 
121.665428 2.048000  125.719045 2.048000 
126.665428 2.048000  130.568968 2.048000 
131.665428 2.048000  135.346359 2.048000 
136.665428 2.048000  140.110639 2.048000 
141.665428 2.048000  144.887691 2.048000 
146.665428 2.048000  149.682167 2.048000 
151.665428 2.048000  154.832372 2.048000 
156.665428 2.048000  159.972231 2.048000 
161.665428 2.048000  165.113065 2.048000 
166.665428 2.048000  169.828385 2.048000 
171.665428 2.048000  174.986677 2.048000 
176.665428 2.048000  179.708586 2.048000 
181.665428 2.048000  184.813271 2.048000 
186.665428 2.048000  190.019662 2.048000 
191.665428 2.048000  195.201924 2.048000 
196.665428 2.048000  200.319289 2.048000 
201.665428 2.048000  205.016600 2.048000 
206.665428 2.048000  209.784112 2.048000 
211.665428 2.048000  214.821920 2.048000 
216.665428 2.048000  219.806107 2.048000 
221.665428 2.048000  225.053392 2.048000 
226.665428 2.048000  230.121997 2.048000 
231.665428 2.048000  235.406544 2.048000 
236.665428 2.048000  240.611494 2.048000 
241.665428 2.048000  245.353463 2.048000 
246.665428 2.048000  250.234842 2.048000 
251.665428 2.048000  255.041784 2.048000 
256.665428 2.048000  259.918442 2.048000 
261.665428 2.048000  265.147934 2.048000 
266.665428 2.048000  270.336625 2.048000 
271.665428 2.048000  275.523014 2.048000 
276.665428 2.048000  280.275698 2.048000 
281.665428 2.048000  285.151387 2.048000 
286.665428 2.048000  290.056569 2.048000 
291.665428 2.048000  295.271145 2.048000 
296.665428 2.048000  300.336099 2.048000 
301.665428 2.048000  305.406428 2.048000 
306.665428 2.048000  310.469542 2.048000 
311.665428 2.048000  315.586553 2.048000 
316.665428 2.048000  320.380851 2.048000 
321.665428 2.048000  325.324710 2.048000 
326.665428 2.048000  330.283519 2.048000 
331.665428 2.048000  335.166630 2.048000 
336.665428 2.048000  340.097703 2.048000 
341.665428 2.048000  344.932788 2.048000 
346.665428 2.048000  349.824947 2.048000 
351.665428 2.048000  355.097109 2.048000 
356.665428 2.048000  360.351310 2.048000 
361.665428 2.048000  365.507518 2.048000 
366.665428 2.048000  370.854097 2.048000 
371.665428 2.048000  375.480576 2.048000 
376.665428 2.048000  380.383265 2.048000 
381.665428 2.048000  385.342765 2.048000 
386.665428 2.048000  390.257611 2.048000 
391.665428 2.048000  395.220797 2.048000 
396.665428 2.048000  400.149791 2.048000 
401.665428 2.048000  405.052936 2.048000 
406.665428 2.048000  409.947156 2.048000 
411.665428 2.048000  414.883627 2.048000 
416.665428 2.048000  420.174545 2.048000 
421.665428 2.048000  425.310775 2.048000 
426.665428 2.048000  430.463513 2.048000 
431.665428 2.048000  435.719566 2.048000 
436.665428 2.048000  440.414354 2.048000 
441.665428 2.048000  445.365602 2.048000 
446.665428 2.048000  450.284404 2.048000 
451.665428 2.048000  455.172392 2.048000 
456.665428 2.048000  460.067551 2.048000 
461.665428 2.048000  464.993024 2.048000 
466.665428 2.048000  470.041397 2.048000 
471.665428 2.048000  475.310082 2.048000 
476.665428 2.048000  480.578736 2.048000 
481.665428 2.048000  485.595508 2.048000 
486.665428 2.048000  490.403885 2.048000 
491.665428 2.048000  495.332475 2.048000 
496.665428 2.048000  500.240090 2.048000 
501.665428 2.048000  505.164794 2.048000 
506.665428 2.048000  510.073019 2.048000 
511.665428 2.048000  515.191891 2.048000 
516.665428 2.048000  520.257580 2.048000 
521.665428 2.048000  525.163270 2.048000 
526.665428 2.048000  530.044468 2.048000 
531.665428 2.048000  534.948094 2.048000 
536.665428 2.048000  539.866140 2.048000 
541.665428 2.048000  544.778418 2.048000 
546.665428 2.048000  549.730839 2.048000 
551.665428 2.048000  554.695657 2.048000 
556.665428 2.048000  559.639143 2.048000 
561.665428 2.048000  564.596774 2.048000 
566.665428 2.048000  569.775063 2.048000 
571.665428 2.048000  574.978462 2.048000 
576.665428 2.048000  580.163776 2.048000 
581.665428 2.048000  585.347125 2.048000 
586.665428 2.048000  590.553054 2.048000 
591.665428 2.048000  595.748975 2.048000 
596.665428 2.048000  600.742661 2.048000 
