# VLDDashClient mimuroto
1.021191 0.128000  1.141028 0.128000 
1.141028 5.120000  14.637462 5.120000 
14.637462 1.792000  15.766634 1.792000 
15.766634 2.304000  18.042845 2.304000 
20.766634 2.560000  23.396908 2.560000 
25.766634 2.816000  28.796586 2.816000 
30.766634 3.072000  35.026107 3.072000 
35.766634 3.072000  41.373741 3.072000 
45.766634 3.072000  52.571412 3.072000 
55.766634 2.816000  62.184460 2.816000 
62.184460 2.816000  69.697682 2.816000 
69.697682 2.560000  75.351688 2.560000 
75.351688 2.560000  80.977176 2.560000 
80.977176 2.560000  86.586766 2.560000 
86.586766 2.560000  92.483991 2.560000 
92.483991 2.560000  98.486475 2.560000 
98.486475 2.560000  104.340003 2.560000 
104.340003 2.304000  108.773849 2.304000 
109.340003 2.304000  114.028524 2.304000 
114.340003 2.304000  119.161053 2.304000 
119.340003 2.304000  124.338769 2.304000 
124.340003 2.304000  129.508787 2.304000 
129.508787 2.304000  134.510166 2.304000 
134.510166 2.304000  139.279082 2.304000 
139.510166 2.304000  144.042431 2.304000 
144.510166 2.304000  148.819022 2.304000 
149.510166 2.304000  153.420585 2.304000 
154.510166 2.304000  158.595906 2.304000 
159.510166 2.304000  163.750139 2.304000 
164.510166 2.304000  168.992682 2.304000 
169.510166 2.304000  173.611532 2.304000 
174.510166 2.304000  178.858216 2.304000 
179.510166 2.304000  183.435718 2.304000 
184.510166 2.560000  189.871815 2.560000 
189.871815 2.304000  194.256085 2.304000 
194.871815 2.304000  199.396370 2.304000 
199.871815 2.304000  204.489790 2.304000 
204.871815 2.304000  209.225499 2.304000 
209.871815 2.304000  214.069396 2.304000 
214.871815 2.560000  220.089055 2.560000 
220.089055 2.304000  224.329719 2.304000 
225.089055 2.560000  230.507523 2.560000 
230.507523 2.304000  235.240741 2.304000 
235.507523 2.304000  240.403071 2.304000 
240.507523 2.304000  245.451936 2.304000 
245.507523 2.304000  250.254235 2.304000 
250.507523 2.304000  255.075240 2.304000 
255.507523 2.304000  259.956247 2.304000 
260.507523 2.304000  264.997226 2.304000 
265.507523 2.304000  270.188683 2.304000 
270.507523 2.304000  275.348767 2.304000 
275.507523 2.304000  280.334441 2.304000 
280.507523 2.304000  285.190616 2.304000 
285.507523 2.304000  290.081986 2.304000 
290.507523 2.304000  295.102003 2.304000 
295.507523 2.304000  300.299738 2.304000 
300.507523 2.304000  305.340477 2.304000 
305.507523 2.304000  310.410892 2.304000 
310.507523 2.304000  315.544064 2.304000 
315.544064 2.304000  320.494371 2.304000 
320.544064 2.304000  325.371173 2.304000 
325.544064 2.304000  330.353946 2.304000 
330.544064 2.304000  335.257549 2.304000 
335.544064 2.304000  340.168753 2.304000 
340.544064 2.304000  345.011280 2.304000 
345.544064 2.304000  349.894203 2.304000 
350.544064 2.304000  354.987938 2.304000 
355.544064 2.304000  360.259486 2.304000 
360.544064 2.304000  365.380838 2.304000 
365.544064 2.304000  370.728187 2.304000 
370.728187 2.304000  375.824513 2.304000 
375.824513 2.304000  380.762863 2.304000 
380.824513 2.304000  385.720139 2.304000 
385.824513 2.304000  390.617676 2.304000 
390.824513 2.304000  395.572307 2.304000 
395.824513 2.304000  400.486145 2.304000 
400.824513 2.304000  405.411730 2.304000 
405.824513 2.304000  410.293875 2.304000 
410.824513 2.304000  415.188073 2.304000 
415.824513 2.304000  420.363581 2.304000 
420.824513 2.304000  425.507044 2.304000 
425.824513 2.304000  430.663891 2.304000 
430.824513 2.304000  435.933538 2.304000 
435.933538 2.304000  440.887485 2.304000 
440.933538 2.304000  445.835418 2.304000 
445.933538 2.304000  450.716896 2.304000 
450.933538 2.304000  455.604466 2.304000 
455.933538 2.304000  460.505117 2.304000 
460.933538 2.304000  465.396647 2.304000 
465.933538 2.304000  470.388230 2.304000 
470.933538 2.304000  475.599027 2.304000 
475.933538 2.304000  480.882908 2.304000 
480.933538 2.304000  486.029043 2.304000 
486.029043 2.304000  490.972559 2.304000 
491.029043 2.304000  495.883524 2.304000 
496.029043 2.304000  500.788583 2.304000 
501.029043 2.304000  505.694714 2.304000 
506.029043 2.304000  510.580016 2.304000 
511.029043 2.304000  515.634545 2.304000 
