#play delay
15.766634 10.766634
35.766634 0.000000
62.184460 1.417826
69.697682 2.513222
75.351688 0.654006
80.977176 0.625488
86.586766 0.609590
92.483991 0.897225
98.486475 1.002484
104.340003 0.853528
129.508787 0.168784
134.510166 0.001379
189.871815 0.361649
220.089055 0.217240
230.507523 0.418468
315.544064 0.036541
370.728187 0.184123
375.824513 0.096326
435.933538 0.109025
486.029043 0.095505
596.159288 0.130245
601.323529 0.164241
606.461278 0.137749
611.607562 0.146284
616.790600 0.183038
622.011225 0.220625
627.176310 0.165085
632.368346 0.192036
637.658659 0.290313
642.755210 0.096551
792.992061 0.236851
798.693338 0.701277
809.291898 0.598560
819.335145 0.043247
824.921208 0.586063
835.291752 0.370544
845.454307 0.162555
855.544730 0.090423
860.643715 0.098985
865.657812 0.014097
870.805963 0.148151
875.875007 0.069044
880.931828 0.056821
