# AndroidClient mimuroto
1.303360 0.128000  1.521203 0.128000 
1.521203 2.304000  3.392297 2.304000 
6.521203 4.608000  15.060225 4.608000 
15.060225 2.560000  17.182816 2.560000 
20.060225 2.816000  23.025697 2.816000 
25.060225 3.072000  29.978673 3.072000 
30.060225 2.816000  34.477964 2.816000 
35.060225 2.816000  39.991229 2.816000 
40.060225 2.816000  45.485009 2.816000 
45.485009 2.560000  50.392338 2.560000 
50.485009 2.560000  55.521355 2.560000 
55.521355 2.560000  60.607382 2.560000 
60.607382 2.304000  64.976378 2.304000 
65.607382 2.304000  69.924598 2.304000 
70.607382 2.304000  74.902702 2.304000 
75.607382 2.304000  79.911152 2.304000 
80.607382 2.304000  84.863306 2.304000 
85.607382 2.304000  89.902769 2.304000 
90.607382 2.304000  94.889098 2.304000 
95.607382 2.304000  99.891863 2.304000 
100.607382 2.304000  104.901108 2.304000 
105.607382 2.304000  109.939105 2.304000 
110.607382 2.304000  114.887144 2.304000 
115.607382 2.304000  119.843213 2.304000 
120.607382 2.304000  124.890842 2.304000 
125.607382 2.304000  129.838462 2.304000 
130.607382 2.304000  134.889691 2.304000 
135.607382 2.304000  140.015440 2.304000 
140.607382 2.048000  144.132784 2.048000 
145.607382 2.048000  148.890119 2.048000 
150.607382 2.304000  154.517047 2.304000 
155.607382 2.304000  160.058060 2.304000 
160.607382 2.048000  163.914059 2.048000 
165.607382 2.048000  168.894872 2.048000 
170.607382 2.304000  175.012539 2.304000 
175.607382 2.048000  179.016275 2.048000 
180.607382 2.048000  184.002679 2.048000 
185.607382 2.304000  190.355901 2.304000 
190.607382 2.048000  194.041023 2.048000 
195.607382 2.048000  199.140179 2.048000 
200.607382 2.048000  204.066662 2.048000 
205.607382 2.048000  209.072471 2.048000 
210.607382 2.048000  213.995145 2.048000 
215.607382 2.048000  218.988302 2.048000 
220.607382 2.048000  223.997023 2.048000 
225.607382 2.304000  230.331839 2.304000 
230.607382 2.048000  234.093163 2.048000 
235.607382 2.048000  239.134393 2.048000 
240.607382 2.048000  244.110685 2.048000 
245.607382 2.048000  249.126582 2.048000 
250.607382 2.048000  254.171246 2.048000 
255.607382 2.048000  259.221494 2.048000 
260.607382 2.048000  264.257425 2.048000 
265.607382 2.048000  269.316445 2.048000 
270.607382 2.048000  274.253822 2.048000 
275.607382 2.048000  279.278212 2.048000 
280.607382 2.048000  284.280746 2.048000 
285.607382 2.048000  289.283317 2.048000 
290.607382 2.048000  294.306931 2.048000 
295.607382 2.048000  299.299844 2.048000 
300.607382 2.048000  304.305188 2.048000 
305.607382 2.048000  309.312705 2.048000 
310.607382 2.048000  314.306494 2.048000 
315.607382 2.048000  319.318357 2.048000 
320.607382 2.048000  324.294578 2.048000 
325.607382 2.048000  329.310263 2.048000 
330.607382 2.048000  334.321828 2.048000 
335.607382 2.048000  339.344893 2.048000 
340.607382 2.048000  344.328618 2.048000 
345.607382 2.048000  349.372555 2.048000 
350.607382 2.048000  354.274475 2.048000 
355.607382 2.048000  359.184848 2.048000 
360.607382 2.048000  364.080219 2.048000 
365.607382 2.048000  368.914563 2.048000 
370.607382 2.048000  373.597487 2.048000 
375.607382 2.048000  378.715264 2.048000 
380.607382 2.048000  384.020465 2.048000 
385.607382 2.048000  388.628138 2.048000 
390.607382 2.048000  393.764394 2.048000 
395.607382 2.048000  399.036536 2.048000 
400.607382 2.048000  403.677933 2.048000 
405.607382 2.048000  408.857888 2.048000 
410.607382 2.304000  415.276066 2.304000 
415.607382 2.048000  418.981411 2.048000 
420.607382 2.048000  424.350312 2.048000 
425.607382 2.048000  429.200500 2.048000 
430.607382 2.048000  433.843440 2.048000 
435.607382 2.048000  439.144722 2.048000 
440.607382 2.048000  443.960661 2.048000 
445.607382 2.304000  450.012756 2.304000 
450.607382 2.048000  454.089704 2.048000 
455.607382 2.048000  459.353499 2.048000 
460.607382 2.048000  464.166110 2.048000 
465.607382 2.048000  469.013729 2.048000 
470.607382 2.048000  473.657889 2.048000 
475.607382 2.304000  480.027746 2.304000 
480.607382 2.048000  484.047128 2.048000 
485.607382 2.048000  489.281182 2.048000 
490.607382 2.048000  494.082891 2.048000 
495.607382 2.048000  498.934177 2.048000 
500.607382 2.304000  504.839230 2.304000 
505.607382 2.048000  509.182473 2.048000 
510.607382 2.048000  514.037378 2.048000 
515.607382 2.048000  518.937752 2.048000 
520.607382 2.048000  523.722924 2.048000 
525.607382 2.048000  528.501630 2.048000 
530.607382 2.048000  533.364259 2.048000 
535.607382 2.048000  538.294709 2.048000 
540.607382 2.048000  543.252205 2.048000 
545.607382 2.048000  548.163573 2.048000 
550.607382 2.048000  553.217089 2.048000 
555.607382 2.304000  559.266888 2.304000 
560.607382 2.304000  564.484312 2.304000 
565.607382 2.304000  570.040192 2.304000 
570.607382 2.304000  575.436270 2.304000 
575.607382 2.304000  580.765773 2.304000 
580.765773 2.304000  585.894471 2.304000 
585.894471 2.304000  591.067136 2.304000 
591.067136 2.048000  595.101764 2.048000 
596.067136 2.048000  600.036354 2.048000 
