# VLDDashClient mimuroto
1.183866 0.128000  1.318646 0.128000 
1.318646 4.608000  10.297514 4.608000 
10.297514 2.560000  12.474364 2.560000 
15.297514 3.072000  18.877466 3.072000 
20.297514 3.328000  24.872408 3.328000 
25.297514 3.328000  31.518929 3.328000 
31.518929 3.072000  37.993581 3.072000 
37.993581 3.072000  44.497611 3.072000 
44.497611 2.816000  50.467025 2.816000 
50.467025 2.816000  56.875237 2.816000 
56.875237 2.816000  64.642184 2.816000 
64.642184 2.560000  69.901140 2.560000 
69.901140 2.560000  75.066509 2.560000 
75.066509 2.560000  80.215104 2.560000 
80.215104 2.560000  85.332992 2.560000 
85.332992 2.560000  90.485719 2.560000 
90.485719 2.560000  95.652633 2.560000 
95.652633 2.560000  100.855555 2.560000 
100.855555 2.560000  106.051011 2.560000 
106.051011 2.560000  111.279652 2.560000 
111.279652 2.560000  116.487839 2.560000 
116.487839 2.560000  121.714165 2.560000 
121.714165 2.560000  127.000854 2.560000 
127.000854 2.560000  132.225292 2.560000 
132.225292 2.560000  137.616472 2.560000 
137.616472 2.304000  141.459068 2.304000 
142.616472 2.560000  147.965404 2.560000 
147.965404 2.560000  152.091856 2.560000 
152.965404 2.560000  157.612745 2.560000 
157.965404 2.560000  164.002171 2.560000 
164.002171 2.560000  169.552400 2.560000 
169.552400 2.304000  173.582882 2.304000 
174.552400 2.560000  180.188437 2.560000 
180.188437 2.304000  184.488402 2.304000 
185.188437 2.304000  189.580856 2.304000 
190.188437 2.560000  195.547411 2.560000 
195.547411 2.304000  200.348855 2.304000 
200.547411 2.304000  205.284498 2.304000 
205.547411 2.304000  210.265662 2.304000 
210.547411 2.304000  215.206142 2.304000 
215.547411 2.304000  220.193713 2.304000 
220.547411 2.304000  225.231108 2.304000 
225.547411 2.304000  230.260770 2.304000 
230.547411 2.304000  235.291309 2.304000 
235.547411 2.304000  240.334934 2.304000 
240.547411 2.304000  245.337562 2.304000 
245.547411 2.304000  250.359494 2.304000 
250.547411 2.304000  255.377465 2.304000 
255.547411 2.304000  260.439698 2.304000 
260.547411 2.304000  265.527844 2.304000 
265.547411 2.304000  270.582320 2.304000 
270.582320 2.304000  275.569145 2.304000 
275.582320 2.304000  280.576474 2.304000 
280.582320 2.304000  285.608415 2.304000 
285.608415 2.304000  290.632911 2.304000 
290.632911 2.304000  295.685926 2.304000 
295.685926 2.304000  300.700591 2.304000 
300.700591 2.304000  305.737469 2.304000 
305.737469 2.304000  310.762270 2.304000 
310.762270 2.304000  315.819606 2.304000 
315.819606 2.304000  320.906828 2.304000 
320.906828 2.304000  325.970368 2.304000 
325.970368 2.304000  331.035462 2.304000 
331.035462 2.304000  336.094785 2.304000 
336.094785 2.304000  341.211383 2.304000 
341.211383 2.304000  346.379741 2.304000 
346.379741 2.304000  351.270454 2.304000 
351.379741 2.304000  356.211000 2.304000 
356.379741 2.304000  361.134191 2.304000 
361.379741 2.304000  365.988960 2.304000 
366.379741 2.304000  370.841895 2.304000 
371.379741 2.304000  375.920873 2.304000 
376.379741 2.304000  381.065377 2.304000 
381.379741 2.304000  385.871458 2.304000 
386.379741 2.304000  390.916105 2.304000 
391.379741 2.304000  396.103820 2.304000 
396.379741 2.304000  400.881316 2.304000 
401.379741 2.304000  406.047474 2.304000 
406.379741 2.304000  411.114315 2.304000 
411.379741 2.304000  416.089534 2.304000 
416.379741 2.304000  421.333868 2.304000 
421.379741 2.304000  426.248307 2.304000 
426.379741 2.304000  431.034152 2.304000 
431.379741 2.304000  436.183417 2.304000 
436.379741 2.304000  441.044052 2.304000 
441.379741 2.304000  445.943264 2.304000 
446.379741 2.304000  451.206354 2.304000 
451.379741 2.304000  456.356980 2.304000 
456.379741 2.304000  461.228052 2.304000 
461.379741 2.304000  466.085765 2.304000 
466.379741 2.304000  470.882433 2.304000 
471.379741 2.304000  475.969575 2.304000 
476.379741 2.304000  481.182358 2.304000 
481.379741 2.304000  486.271219 2.304000 
486.379741 2.304000  491.159090 2.304000 
491.379741 2.304000  496.028494 2.304000 
496.379741 2.304000  500.848745 2.304000 
501.379741 2.304000  506.171947 2.304000 
506.379741 2.304000  511.105542 2.304000 
511.379741 2.304000  516.040776 2.304000 
516.379741 2.304000  520.864741 2.304000 
521.379741 2.304000  525.701609 2.304000 
526.379741 2.304000  530.557108 2.304000 
531.379741 2.304000  535.498848 2.304000 
536.379741 2.304000  540.461324 2.304000 
541.379741 2.304000  545.348732 2.304000 
546.379741 2.304000  550.404828 2.304000 
551.379741 2.304000  555.474312 2.304000 
556.379741 2.304000  560.615234 2.304000 
561.379741 2.304000  565.934892 2.304000 
566.379741 2.304000  571.181380 2.304000 
571.379741 2.304000  576.341385 2.304000 
576.379741 2.304000  581.566970 2.304000 
581.566970 2.304000  586.786219 2.304000 
586.786219 2.304000  592.185693 2.304000 
592.185693 2.304000  597.097446 2.304000 
597.185693 2.304000  601.829972 2.304000 
602.185693 2.304000  606.673303 2.304000 
607.185693 2.304000  611.478759 2.304000 
612.185693 2.304000  616.464631 2.304000 
617.185693 2.304000  621.291547 2.304000 
622.185693 2.304000  626.200945 2.304000 
627.185693 2.304000  631.012138 2.304000 
632.185693 2.304000  635.965916 2.304000 
637.185693 2.304000  641.091352 2.304000 
642.185693 2.304000  646.149948 2.304000 
647.185693 2.304000  651.029369 2.304000 
652.185693 2.304000  656.152984 2.304000 
657.185693 2.304000  661.177713 2.304000 
662.185693 2.304000  666.291451 2.304000 
667.185693 2.304000  671.379151 2.304000 
672.185693 2.304000  676.457477 2.304000 
