# AIMDClient mimuroto
1.218674 0.128000  1.672416 0.128000 
1.672416 0.256000  2.003882 0.256000 
6.672416 0.384000  6.881453 0.384000 
11.672416 0.512000  11.986259 0.512000 
16.672416 0.640000  17.098793 0.640000 
21.672416 0.768000  22.223734 0.768000 
26.672416 0.896000  27.359130 0.896000 
31.672416 1.024000  32.551354 1.024000 
36.672416 1.280000  37.871522 1.280000 
41.672416 1.536000  43.450140 1.536000 
46.672416 1.792000  49.077583 1.792000 
51.672416 2.048000  54.920202 2.048000 
56.672416 2.048000  60.232505 2.048000 
61.672416 2.048000  65.405276 2.048000 
66.672416 2.048000  70.349929 2.048000 
71.672416 2.048000  75.300451 2.048000 
76.672416 2.048000  80.272795 2.048000 
81.672416 2.048000  85.338666 2.048000 
86.672416 2.048000  90.462758 2.048000 
91.672416 2.048000  95.560772 2.048000 
96.672416 2.048000  100.817371 2.048000 
101.672416 2.048000  105.813941 2.048000 
106.672416 2.048000  110.861619 2.048000 
111.672416 2.048000  115.652414 2.048000 
116.672416 2.048000  120.472549 2.048000 
121.672416 2.048000  125.203169 2.048000 
126.672416 2.048000  130.158807 2.048000 
131.672416 2.048000  135.138227 2.048000 
136.672416 2.048000  140.111470 2.048000 
141.672416 2.048000  145.020148 2.048000 
146.672416 2.048000  150.167684 2.048000 
151.672416 2.048000  155.288140 2.048000 
156.672416 2.048000  160.368710 2.048000 
161.672416 2.048000  165.443564 2.048000 
166.672416 2.048000  170.349172 2.048000 
171.672416 2.048000  175.364404 2.048000 
176.672416 2.048000  180.327063 2.048000 
181.672416 2.048000  185.486013 2.048000 
186.672416 2.048000  190.487328 2.048000 
191.672416 2.048000  195.454467 2.048000 
196.672416 2.048000  200.456839 2.048000 
201.672416 2.048000  205.411876 2.048000 
206.672416 2.048000  210.402417 2.048000 
211.672416 2.048000  215.432729 2.048000 
216.672416 2.048000  220.447256 2.048000 
221.672416 2.048000  225.461307 2.048000 
226.672416 2.048000  230.468448 2.048000 
231.672416 2.048000  235.494476 2.048000 
236.672416 2.048000  240.649950 2.048000 
241.672416 2.048000  245.646066 2.048000 
246.672416 2.048000  250.623442 2.048000 
251.672416 2.048000  255.570019 2.048000 
256.672416 2.048000  260.624475 2.048000 
261.672416 2.048000  265.644786 2.048000 
266.672416 2.048000  270.668681 2.048000 
271.672416 2.048000  275.676523 2.048000 
276.672416 2.048000  280.737649 2.048000 
281.672416 2.048000  285.789074 2.048000 
286.672416 2.048000  290.899392 2.048000 
291.672416 2.048000  295.861254 2.048000 
296.672416 2.048000  300.881729 2.048000 
301.672416 2.048000  305.919105 2.048000 
306.672416 2.048000  310.831246 2.048000 
311.672416 2.048000  315.883202 2.048000 
316.672416 2.048000  320.953044 2.048000 
