#play delay
17.149918 0.454612
32.521702 0.371784
42.711044 0.189342
58.065481 0.354437
63.923119 0.857638
99.000661 0.077542
129.000661 0.000000
294.123714 0.123053
299.166268 0.042554
304.286073 0.119805
309.412303 0.126230
314.418884 0.006581
319.539830 0.120946
514.539830 0.000000
604.545073 0.005243
609.576436 0.031363
614.636128 0.059692
619.701320 0.065192
624.811947 0.110627
629.916353 0.104406
634.973179 0.056826
640.067662 0.094483
820.099598 0.031936
825.252778 0.153180
830.408737 0.155959
835.500062 0.091325
