# AndroidClient mimuroto
1.069664 0.128000  1.504863 0.128000 
1.554863 1.280000  3.080345 0.896000 
3.080345 2.560000  7.436508 2.560000 
7.436508 2.816000  12.242752 2.816000 
12.242752 2.816000  17.048331 2.816000 
17.048331 2.816000  21.797050 2.816000 
21.797050 2.816000  26.579551 2.816000 
26.579551 2.816000  34.649058 2.816000 
34.649058 2.560000  42.401522 1.280000 
42.451522 2.048000  45.542138 0.384000 
45.542138 2.048000  60.972866 2.048000 
61.022866 1.536000  61.663765 0.128000 
61.663765 1.536000  62.973817 0.128000 
62.973817 1.536000  64.157480 0.128000 
66.022866 1.536000  74.613206 0.768000 
74.613206 1.536000  75.968306 0.128000 
76.022866 1.536000  81.490293 0.640000 
81.490293 1.280000  87.396817 1.280000 
87.396817 1.280000  90.966432 0.512000 
91.022866 1.280000  94.706381 0.384000 
96.022866 1.280000  106.734495 1.280000 
106.734495 1.280000  108.339883 0.128000 
108.339883 1.280000  110.721008 0.256000 
111.022866 1.024000  119.960767 1.024000 
119.960767 1.024000  121.215661 0.128000 
121.215661 1.024000  129.160616 0.896000 
129.160616 1.024000  131.573722 0.256000 
131.573722 1.024000  136.093139 0.384000 
136.093139 1.024000  139.472880 0.384000 
141.022866 1.024000  144.385413 0.384000 
146.022866 1.024000  150.389406 0.512000 
151.022866 1.024000  157.199906 0.640000 
157.199906 1.024000  161.500693 0.384000 
161.500693 1.024000  172.704781 1.024000 
172.704781 0.896000  173.986500 0.128000 
173.986500 0.896000  176.783814 0.256000 
176.783814 0.896000  180.528697 0.384000 
181.022866 0.896000  185.692261 0.512000 
186.022866 0.896000  194.396787 0.896000 
194.396787 0.896000  201.672970 0.640000 
201.672970 0.896000  203.140953 0.128000 
203.140953 0.896000  206.253655 0.256000 
206.253655 0.896000  210.989411 0.512000 
211.022866 0.896000  216.346455 0.512000 
216.346455 0.896000  220.130273 0.384000 
221.022866 0.896000  227.987753 0.768000 
227.987753 0.768000  229.395872 0.128000 
231.022866 0.768000  238.039672 0.640000 
238.039672 0.768000  245.794154 0.768000 
245.794154 0.768000  247.235139 0.128000 
247.235139 0.768000  251.573351 0.384000 
251.573351 0.768000  256.888552 0.512000 
256.888552 0.768000  261.160424 0.512000 
261.160424 0.768000  269.026339 0.768000 
269.026339 0.768000  276.414188 0.768000 
276.414188 0.768000  277.631882 0.128000 
277.631882 0.768000  282.174375 0.384000 
282.174375 0.768000  286.565999 0.384000 
286.565999 0.768000  293.514988 0.768000 
293.514988 0.768000  296.480445 0.256000 
296.480445 0.768000  300.589162 0.384000 
301.022866 0.768000  309.030629 0.768000 
309.030629 0.768000  315.725489 0.640000 
315.725489 0.768000  316.885432 0.128000 
316.885432 0.768000  325.863726 0.768000 
325.863726 0.640000  327.284684 0.128000 
327.284684 0.640000  334.661025 0.640000 
334.661025 0.640000  335.822921 0.128000 
336.022866 0.640000  341.892397 0.512000 
341.892397 0.640000  346.067108 0.384000 
346.067108 0.640000  351.385523 0.512000 
351.385523 0.640000  357.660085 0.640000 
357.660085 0.640000  361.742043 0.384000 
361.742043 0.640000  364.406162 0.256000 
366.022866 0.640000  372.629261 0.512000 
372.629261 0.640000  380.190355 0.640000 
380.190355 0.640000  383.309444 0.384000 
383.309444 0.640000  387.541369 0.384000 
387.541369 0.640000  394.301240 0.640000 
394.301240 0.640000  395.555208 0.128000 
396.022866 0.640000  399.955424 0.384000 
401.022866 0.640000  404.258272 0.384000 
406.022866 0.640000  411.474836 0.640000 
411.474836 0.640000  416.311358 0.512000 
416.311358 0.640000  423.846479 0.640000 
423.846479 0.640000  426.822768 0.256000 
426.822768 0.640000  430.411574 0.384000 
431.022866 0.640000  434.813439 0.384000 
436.022866 0.640000  440.903749 0.512000 
441.022866 0.640000  446.801027 0.640000 
446.801027 0.640000  453.192302 0.640000 
453.192302 0.640000  455.990223 0.256000 
456.022866 0.640000  461.163276 0.512000 
461.163276 0.640000  466.458948 0.512000 
466.458948 0.640000  468.627942 0.256000 
471.022866 0.640000  478.061661 0.640000 
478.061661 0.640000  480.342065 0.256000 
481.022866 0.640000  482.120431 0.128000 
486.022866 0.640000  492.380281 0.640000 
492.380281 0.640000  496.228697 0.384000 
496.228697 0.640000  501.397620 0.512000 
501.397620 0.640000  503.822351 0.256000 
506.022866 0.512000  508.697901 0.384000 
511.022866 0.512000  512.754923 0.384000 
516.022866 0.512000  517.331737 0.512000 
521.022866 0.512000  524.513958 0.512000 
526.022866 0.512000  531.572464 0.512000 
531.572464 0.512000  535.604602 0.512000 
536.022866 0.512000  538.880316 0.512000 
541.022866 0.512000  543.343978 0.512000 
546.022866 0.512000  550.771558 0.512000 
551.022866 0.512000  555.319120 0.512000 
556.022866 0.512000  560.558816 0.512000 
561.022866 0.512000  564.047113 0.512000 
566.022866 0.512000  566.932361 0.512000 
571.022866 0.512000  571.197125 0.512000 
576.022866 0.512000  576.174811 0.512000 
581.022866 0.512000  581.173852 0.512000 
586.022866 0.512000  586.172137 0.512000 
591.022866 0.512000  591.171049 0.512000 
596.022866 0.512000  596.169616 0.512000 
601.022866 0.512000  601.173081 0.512000 
606.022866 0.512000  606.172924 0.512000 
611.022866 0.512000  611.172323 0.512000 
616.022866 0.512000  616.173396 0.512000 
621.022866 0.512000  621.170299 0.512000 
626.022866 0.512000  626.172250 0.512000 
631.022866 0.512000  631.171072 0.512000 
636.022866 0.512000  636.169837 0.512000 
641.022866 0.512000  641.175293 0.512000 
646.022866 0.512000  646.173329 0.512000 
651.022866 0.512000  651.178402 0.512000 
656.022866 0.512000  656.173465 0.512000 
661.022866 0.640000  661.209661 0.640000 
666.022866 0.640000  666.209304 0.640000 
671.022866 0.640000  671.213636 0.640000 
676.022866 0.640000  676.204348 0.640000 
681.022866 0.640000  681.214345 0.640000 
686.022866 0.640000  686.210160 0.640000 
691.022866 0.640000  691.203579 0.640000 
696.022866 0.640000  696.209474 0.640000 
701.022866 0.640000  701.212519 0.640000 
706.022866 0.640000  706.204374 0.640000 
711.022866 0.640000  711.209235 0.640000 
716.022866 0.768000  716.247864 0.768000 
721.022866 0.768000  721.247044 0.768000 
726.022866 0.768000  726.245555 0.768000 
731.022866 0.768000  731.246867 0.768000 
736.022866 0.768000  736.253889 0.768000 
741.022866 0.768000  741.248719 0.768000 
746.022866 0.768000  746.247321 0.768000 
751.022866 0.896000  751.281963 0.896000 
756.022866 0.896000  756.284427 0.896000 
761.022866 0.896000  761.284539 0.896000 
766.022866 0.896000  766.283744 0.896000 
771.022866 0.896000  771.281095 0.896000 
776.022866 1.024000  776.323973 1.024000 
781.022866 1.024000  781.320192 1.024000 
786.022866 1.024000  786.326194 1.024000 
791.022866 1.024000  791.320344 1.024000 
796.022866 1.024000  796.320518 1.024000 
801.022866 1.024000  801.320858 1.024000 
806.022866 1.024000  806.325835 1.024000 
811.022866 1.024000  811.327656 1.024000 
816.022866 1.280000  816.389596 1.280000 
821.022866 1.280000  821.390360 1.280000 
826.022866 1.280000  826.393774 1.280000 
831.022866 1.280000  831.391560 1.280000 
836.022866 1.280000  836.390159 1.280000 
841.022866 1.536000  841.521858 1.536000 
846.022866 1.536000  846.525955 1.536000 
851.022866 1.536000  851.532390 1.536000 
856.022866 1.536000  856.522951 1.536000 
861.022866 1.792000  861.942780 1.792000 
866.022866 1.792000  866.962752 1.792000 
871.022866 1.792000  872.030639 1.792000 
876.022866 2.048000  877.377865 2.048000 
881.022866 2.048000  882.777391 2.048000 
886.022866 2.048000  886.705587 2.048000 
891.022866 2.304000  891.681574 2.304000 
