# VLDDashClient mimuroto
1.157036 0.128000  1.498354 0.128000 
1.548354 1.792000  3.707822 1.280000 
3.707822 2.560000  8.064000 2.560000 
8.064000 2.816000  12.962446 2.816000 
12.962446 2.816000  17.775043 2.816000 
17.775043 2.816000  22.541903 2.816000 
22.541903 2.816000  27.294810 2.816000 
27.294810 2.816000  32.105452 2.816000 
32.105452 2.816000  36.863691 2.816000 
36.863691 2.816000  41.605907 2.816000 
41.605907 2.816000  46.039176 2.816000 
46.039176 2.816000  50.561088 2.816000 
50.561088 2.816000  55.118579 2.816000 
55.118579 2.816000  59.642635 2.816000 
59.642635 2.816000  64.267125 2.816000 
64.267125 2.816000  68.576844 2.816000 
68.576844 2.816000  73.110738 2.816000 
73.110738 2.816000  77.633722 2.816000 
77.633722 2.816000  81.890845 2.816000 
81.890845 2.816000  86.403902 2.816000 
86.548354 2.816000  91.304886 2.816000 
91.548354 2.816000  95.866729 2.816000 
96.548354 2.816000  101.147253 2.816000 
101.548354 2.816000  106.054018 2.816000 
106.548354 2.816000  111.015845 2.816000 
111.548354 2.816000  116.110700 2.816000 
116.548354 2.816000  121.009576 2.816000 
121.548354 2.816000  126.131975 2.816000 
126.548354 2.816000  131.078680 2.816000 
131.548354 2.816000  135.998614 2.816000 
136.548354 2.816000  140.930604 2.816000 
141.548354 2.816000  145.854048 2.816000 
146.548354 3.072000  151.275016 3.072000 
151.548354 3.072000  156.529160 3.072000 
156.548354 3.072000  161.496513 3.072000 
161.548354 3.072000  166.405590 3.072000 
166.548354 3.072000  171.485030 3.072000 
171.548354 3.072000  176.471227 3.072000 
176.548354 3.072000  181.439501 3.072000 
181.548354 3.072000  186.528798 3.072000 
186.548354 3.072000  191.655526 3.072000 
191.655526 3.072000  196.805811 3.072000 
196.805811 3.072000  201.720684 3.072000 
201.720684 3.072000  206.671230 3.072000 
206.671230 3.072000  211.727472 3.072000 
211.727472 3.072000  216.866767 3.072000 
216.866767 3.072000  221.615545 3.072000 
221.615545 3.072000  226.589513 3.072000 
226.589513 3.072000  231.342778 3.072000 
231.548354 3.072000  236.398980 3.072000 
236.548354 3.072000  241.425091 3.072000 
241.548354 3.072000  246.559393 3.072000 
246.559393 3.072000  251.567778 3.072000 
251.567778 3.072000  256.604262 3.072000 
256.604262 3.072000  261.776712 3.072000 
261.776712 3.072000  266.867104 3.072000 
266.867104 3.072000  271.918288 3.072000 
271.918288 3.072000  277.042335 3.072000 
277.042335 3.072000  282.173055 3.072000 
282.173055 3.072000  287.077772 3.072000 
287.077772 3.072000  292.218742 3.072000 
292.218742 3.072000  297.121044 3.072000 
297.121044 3.072000  302.072956 3.072000 
302.072956 3.072000  307.204005 3.072000 
307.204005 3.072000  312.124585 3.072000 
312.124585 3.072000  317.219783 3.072000 
317.219783 3.072000  322.232572 3.072000 
322.232572 3.072000  327.230594 3.072000 
327.230594 3.072000  332.177161 3.072000 
332.177161 3.072000  337.057723 3.072000 
337.057723 3.072000  341.947771 3.072000 
341.947771 3.072000  346.966770 3.072000 
