# AndroidClient mimuroto
1.222266 0.128000  1.481564 0.128000 
1.531564 2.304000  5.380955 2.304000 
5.380955 2.816000  10.196962 2.816000 
10.196962 2.816000  14.856458 2.816000 
14.856458 2.816000  19.599106 2.816000 
19.599106 2.816000  24.336387 2.816000 
24.336387 2.816000  29.063324 2.816000 
29.063324 2.816000  33.873053 2.816000 
33.873053 2.816000  38.505316 2.816000 
38.505316 2.816000  42.954572 2.816000 
42.954572 2.816000  47.359256 2.816000 
47.359256 2.816000  51.844620 2.816000 
51.844620 2.816000  56.358544 2.816000 
56.358544 2.816000  60.948829 2.816000 
60.948829 2.816000  65.610433 2.816000 
65.610433 2.816000  70.271068 2.816000 
70.271068 2.816000  74.781406 2.816000 
74.781406 2.816000  79.338200 2.816000 
79.338200 2.816000  83.967503 2.816000 
83.967503 2.816000  88.681312 2.816000 
88.681312 2.816000  93.088320 2.816000 
93.088320 2.816000  97.759213 2.816000 
97.759213 2.816000  102.316656 2.816000 
102.316656 2.816000  106.422686 2.816000 
106.531564 2.816000  111.022529 2.816000 
111.531564 2.816000  116.010889 2.816000 
116.531564 2.816000  120.923554 2.816000 
121.531564 3.072000  126.174147 3.072000 
126.531564 3.072000  131.098360 3.072000 
131.531564 3.072000  136.296927 3.072000 
136.531564 3.072000  141.272124 3.072000 
141.531564 3.072000  146.180109 3.072000 
146.531564 3.072000  151.319298 3.072000 
151.531564 3.072000  156.234827 3.072000 
156.531564 3.072000  161.196781 3.072000 
161.531564 3.072000  166.335075 3.072000 
166.531564 3.072000  171.372494 3.072000 
171.531564 3.072000  176.343487 3.072000 
176.531564 3.072000  181.268262 3.072000 
181.531564 3.072000  186.326783 3.072000 
186.531564 3.072000  191.218931 3.072000 
191.531564 3.072000  196.304971 3.072000 
196.531564 3.072000  201.197854 3.072000 
201.531564 3.072000  206.312977 3.072000 
206.531564 3.072000  211.412116 3.072000 
211.531564 3.072000  216.405160 3.072000 
216.531564 3.072000  221.475694 3.072000 
221.531564 3.072000  226.459279 3.072000 
226.531564 3.072000  231.344457 3.072000 
231.531564 3.072000  236.401605 3.072000 
236.531564 3.072000  241.341319 3.072000 
241.531564 3.072000  246.454116 3.072000 
246.531564 3.072000  251.338753 3.072000 
251.531564 3.072000  256.344474 3.072000 
256.531564 3.072000  261.308421 3.072000 
261.531564 3.072000  266.259670 3.072000 
266.531564 3.072000  271.313793 3.072000 
271.531564 3.072000  276.370490 3.072000 
276.531564 3.072000  281.332293 3.072000 
281.531564 3.072000  286.324932 3.072000 
286.531564 3.072000  291.408823 3.072000 
