# VLDDashClient mimuroto
1.157036 0.128000  1.498354 0.128000 
1.548354 1.792000  4.487521 1.792000 
4.487521 2.816000  9.313822 2.816000 
9.313822 2.816000  14.054876 2.816000 
14.054876 2.816000  18.790705 2.816000 
18.790705 2.816000  23.518908 2.816000 
23.518908 2.816000  28.364894 2.816000 
28.364894 2.816000  33.033521 2.816000 
33.033521 2.816000  37.720666 2.816000 
37.720666 2.816000  42.245859 2.816000 
42.245859 2.816000  46.711320 2.816000 
46.711320 2.816000  51.230346 2.816000 
51.230346 2.816000  55.724698 2.816000 
55.724698 2.816000  60.258599 2.816000 
60.258599 2.816000  65.094758 2.816000 
65.094758 2.816000  69.687934 2.816000 
69.687934 2.816000  74.165772 2.816000 
74.165772 2.816000  78.736166 2.816000 
78.736166 2.816000  83.327275 2.816000 
83.327275 2.816000  88.125339 2.816000 
88.125339 2.816000  92.704452 2.816000 
92.704452 2.816000  97.408361 2.816000 
97.408361 2.816000  101.973841 2.816000 
101.973841 2.816000  106.284116 2.816000 
106.548354 2.816000  111.010053 2.816000 
111.548354 2.816000  115.913835 2.816000 
116.548354 2.816000  120.945237 2.816000 
121.548354 2.816000  126.102123 2.816000 
126.548354 2.816000  131.030712 2.816000 
131.548354 2.816000  136.150774 2.816000 
136.548354 2.816000  141.160384 2.816000 
141.548354 2.816000  145.910923 2.816000 
146.548354 2.816000  151.121545 2.816000 
151.548354 2.816000  156.043304 2.816000 
156.548354 2.816000  161.044712 2.816000 
161.548354 2.816000  166.166608 2.816000 
166.548354 2.816000  171.142645 2.816000 
171.548354 2.816000  176.138392 2.816000 
176.548354 2.816000  181.117885 2.816000 
181.548354 2.816000  186.200030 2.816000 
186.548354 2.816000  191.013517 2.816000 
191.548354 2.816000  196.129979 2.816000 
196.548354 2.816000  201.011789 2.816000 
201.548354 3.072000  206.333871 3.072000 
206.548354 3.072000  211.394176 3.072000 
211.548354 3.072000  216.451975 3.072000 
216.548354 3.072000  221.501147 3.072000 
221.548354 3.072000  226.468091 3.072000 
226.548354 3.072000  231.385172 3.072000 
231.548354 3.072000  236.412072 3.072000 
236.548354 3.072000  241.296073 3.072000 
241.548354 3.072000  246.455013 3.072000 
246.548354 3.072000  251.379092 3.072000 
251.548354 3.072000  256.341239 3.072000 
256.548354 3.072000  261.286174 3.072000 
261.548354 3.072000  266.273634 3.072000 
266.548354 3.072000  271.312473 3.072000 
271.548354 3.072000  276.376760 3.072000 
276.548354 3.072000  281.365134 3.072000 
281.548354 3.072000  286.278976 3.072000 
286.548354 3.072000  291.432307 3.072000 
291.548354 3.072000  296.520330 3.072000 
296.548354 3.072000  301.435630 3.072000 
301.548354 3.072000  306.485294 3.072000 
306.548354 3.072000  311.476075 3.072000 
311.548354 3.072000  316.518699 3.072000 
316.548354 3.072000  321.475706 3.072000 
321.548354 3.072000  326.387100 3.072000 
326.548354 3.072000  331.338088 3.072000 
331.548354 3.072000  336.445752 3.072000 
336.548354 3.072000  341.384111 3.072000 
341.548354 3.072000  346.423584 3.072000 
346.548354 3.072000  351.578872 3.072000 
351.578872 3.072000  356.494984 3.072000 
356.548354 3.072000  361.622325 3.072000 
361.622325 3.072000  366.646285 3.072000 
366.646285 3.072000  371.565115 3.072000 
371.565115 3.072000  376.651501 3.072000 
376.651501 3.072000  381.599823 3.072000 
381.599823 3.072000  386.590434 3.072000 
386.590434 3.072000  391.509490 3.072000 
391.548354 3.072000  396.683285 3.072000 
396.683285 3.072000  401.636114 3.072000 
401.636114 3.072000  406.495254 3.072000 
406.548354 3.072000  411.475558 3.072000 
411.548354 3.072000  416.437230 3.072000 
416.548354 3.072000  421.660582 3.072000 
421.660582 3.072000  426.627790 3.072000 
426.627790 3.072000  431.697898 3.072000 
431.697898 3.072000  436.566168 3.072000 
436.566168 3.072000  441.479767 3.072000 
441.548354 3.072000  446.424123 3.072000 
446.548354 3.072000  451.454762 3.072000 
451.548354 3.072000  456.480548 3.072000 
456.548354 3.072000  461.489259 3.072000 
461.548354 3.072000  466.507397 3.072000 
466.548354 3.072000  471.736866 3.072000 
471.736866 3.072000  476.685410 3.072000 
476.685410 3.072000  481.674788 3.072000 
481.674788 3.072000  486.739480 3.072000 
486.739480 3.072000  491.752053 3.072000 
491.752053 3.072000  496.745002 3.072000 
496.745002 3.072000  501.809435 3.072000 
501.809435 3.072000  506.949658 3.072000 
506.949658 3.072000  512.188923 3.072000 
512.188923 3.072000  517.409797 3.072000 
517.409797 3.072000  522.164558 3.072000 
522.164558 3.072000  527.034230 3.072000 
527.034230 3.072000  532.060977 3.072000 
532.060977 3.072000  537.100347 3.072000 
537.100347 3.072000  542.280845 3.072000 
542.280845 3.072000  547.121170 3.072000 
547.121170 3.072000  551.957122 3.072000 
551.957122 3.072000  556.789413 3.072000 
556.789413 3.072000  561.803206 3.072000 
561.803206 3.072000  566.813415 3.072000 
566.813415 3.072000  572.016015 3.072000 
572.016015 3.072000  576.444503 3.072000 
576.548354 3.072000  580.923044 3.072000 
581.548354 3.072000  585.921155 3.072000 
586.548354 3.072000  590.898952 3.072000 
591.548354 3.072000  595.891417 3.072000 
596.548354 3.072000  600.899207 3.072000 
601.548354 3.072000  605.905532 3.072000 
606.548354 3.072000  610.892778 3.072000 
611.548354 3.072000  615.894452 3.072000 
616.548354 3.072000  620.929478 3.072000 
621.548354 3.072000  625.870023 3.072000 
626.548354 3.072000  630.886025 3.072000 
631.548354 3.072000  635.901358 3.072000 
636.548354 3.072000  640.936403 3.072000 
641.548354 3.072000  645.897504 3.072000 
646.548354 3.072000  650.902992 3.072000 
651.548354 3.072000  655.907472 3.072000 
656.548354 3.072000  660.902494 3.072000 
661.548354 3.072000  665.899008 3.072000 
666.548354 3.072000  670.871457 3.072000 
671.548354 3.072000  675.907156 3.072000 
676.548354 3.072000  680.890342 3.072000 
681.548354 3.072000  685.873365 3.072000 
686.548354 3.072000  690.913495 3.072000 
691.548354 3.072000  695.881914 3.072000 
696.548354 3.072000  700.848379 3.072000 
701.548354 3.072000  705.851796 3.072000 
706.548354 3.072000  710.896993 3.072000 
711.548354 3.072000  715.924330 3.072000 
716.548354 3.072000  720.898164 3.072000 
721.548354 3.072000  725.908425 3.072000 
726.548354 3.072000  730.911292 3.072000 
731.548354 3.072000  735.908266 3.072000 
736.548354 3.072000  740.844500 3.072000 
